clid	venue	lon	lat	cat	user	year	doy	dow	hour	txt
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	pure_wings	2015	20	2	22	I'm at CCAC Library Building in Pittsburgh, PA
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	92	3	19	I'm at CCAC Library Building (Pittsburgh, PA)
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	95	6	16	I'm at CCAC Library Building (Pittsburgh, PA)
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	98	2	18	I'm at CCAC Library Building (Pittsburgh, PA)
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	112	2	18	I'm at CCAC Library Building (Pittsburgh, PA)
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	120	3	15	I'm at CCAC Library Building (Pittsburgh, PA)
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	127	3	20	I'm at CCAC Library Building (Pittsburgh, PA)
5	Riverwalk	-80.0108	40.4454	Park {4bf58dd8d48988d163941735}	barbeecain	2015	193	0	22	I'm at Riverwalk in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	artpenguinpoop	2014	52	5	16	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	Nikki14ek	2014	80	5	21	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	ShelbyT20	2014	90	1	17	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	Cait_Mullins	2014	92	3	22	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	ChelsCarbaugh	2014	95	6	20	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	jrmpix	2014	99	3	23	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	Shawn_Rine	2014	103	0	21	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	mandles713	2014	109	6	0	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	DaveColePhoto	2014	117	0	23	I'm at Jerome Bettis' Grille 36 w/
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	MoxieMils	2014	145	0	0	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	mimmoney	2014	147	2	15	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	BAVars914	2014	152	0	22	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA) w/ 2 others
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	CHarrisJunior13	2014	175	2	2	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA) w/ 2 others
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	cdc0320	2014	212	4	22	I'm at Jerome Bettis' Grille 36 (Pittsburgh, PA)
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	BurghJacks	2014	226	4	23	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	OscarMunguia	2014	305	6	22	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	MattMackowiak	2014	306	0	23	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	drewbostwick2	2014	333	6	5	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	SoDamnTiny	2014	360	5	17	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	kingling43	2015	27	2	18	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	mike8120	2015	57	4	0	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	mauraphobia	2015	60	0	23	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	TalkDownie2Me	2015	99	4	21	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	JamesSantelli	2015	103	1	15	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	PsyBri	2015	197	4	22	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	iamandrewgraham	2015	204	4	0	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	MDBeaverhousand	2015	262	6	17	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	LittleJanelle	2015	269	6	22	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	BurghJacks	2015	306	1	16	I'm at Jerome Bettis' Grille 36 in Pittsburgh, PA
5	Jerome Bettis' Grille 36	-80.0116	40.4456	Sports Bar {4bf58dd8d48988d11d941735}	KliffLumpy434	2015	143	6	23	Just posted a photo Grille 36
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	pure_wings	2015	20	2	22	I'm at CCAC Library Building in Pittsburgh, PA
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	92	3	19	I'm at CCAC Library Building (Pittsburgh, PA)
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	95	6	16	I'm at CCAC Library Building (Pittsburgh, PA)
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	98	2	18	I'm at CCAC Library Building (Pittsburgh, PA)
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	112	2	18	I'm at CCAC Library Building (Pittsburgh, PA)
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	120	3	15	I'm at CCAC Library Building (Pittsburgh, PA)
5	CCAC Library Building	-80.0136	40.4497	College Library {4bf58dd8d48988d1a7941735}	philsy28	2014	127	3	20	I'm at CCAC Library Building (Pittsburgh, PA)
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	limina	2014	68	0	19	I'm at Carnegie Science Center (Pittsburgh, PA) w/ 3 others
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	CStawski	2014	74	6	17	I'm at Carnegie Science Center (Pittsburgh, PA)
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	SWSondheimer	2014	79	4	14	I'm at Carnegie Science Center (Pittsburgh, PA)
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	Kelli_Tolocka	2014	80	5	16	I'm at Carnegie Science Center (Pittsburgh, PA) w/ 2 others
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	SWSondheimer	2014	86	4	14	I'm at Carnegie Science Center (Pittsburgh, PA)
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	devinberg	2014	94	5	18	I'm at Carnegie Science Center (Pittsburgh, PA) w/ 3 others
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	bigdawgx2005	2014	95	6	14	I'm at Carnegie Science Center (Pittsburgh, PA)
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	nursejennie1	2014	105	2	14	I'm at Carnegie Science Center w/
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	Tamerica531	2014	115	5	19	I'm at Carnegie Science Center (Pittsburgh, PA)
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	IPhillyBoy2011	2014	133	2	3	I'm at Carnegie Science Center (Pittsburgh, PA)
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	joncmu	2014	137	6	1	I'm at Carnegie Science Center (Pittsburgh, PA) w/ 5 others
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	MGrosvenor	2014	145	0	3	I'm at Carnegie Science Center (Pittsburgh, PA) w/ 2 others
