clid	venue	lon	lat
1	India Garden	-79.9550	40.4390
1	South Oakland	-79.9548	40.4328
1	Carnegie Music Hall	-79.9513	40.4432
1	University of Pittsburgh	-79.9546	40.4444
1	Bates Hill Apartments	-79.9527	40.4391
1	North Oakland	-79.9504	40.4539
1	Mellon Institute Carnegie Mellon University	-79.9515	40.4467
1	One of the things I miss the most when school: noon Mass at St Paul Cathedral Saint Paul Cathedral)	-79.9498	40.4473
1	Wellsford Cave	-79.9553	40.4353
1	Oakland	-79.9619	40.4410
1	PTown Bar	-79.9488	40.4538
1	smile studio dr. Cushman	-79.9622	40.4387
1	Cock Pit	-79.9596	40.4381
2	The Blind Pig Tavern	-79.9739	40.4285
2	Fred's Fortress Of Solitude	-79.9696	40.4265
2	Hofbruhaus Pittsburgh Steak Company	-79.9646	40.4286
2	Philsyland 2.0	-79.9808	40.4275
2	Integrated Fitness	-79.9859	40.4280
2	Southside River Trail	-79.9759	40.4314
2	CoGo's	-79.9709	40.4283
2	In my dreams...	-79.9782	40.4286
2	Italian Beef	-79.9827	40.4288
2	Holiday Inn Express Hotel & Suites Pittsburgh-South Side	-79.9870	40.4295
2	Integrated Fitness	-79.9860	40.4277
2	twelve	-79.9851	40.4281
2	Aerie	-79.9666	40.4274
2	H&M	-79.9667	40.4274
2	Rita's Italian Ice Southside	-79.9698	40.4279
2	George K. Cupples Stadium	-79.9907	40.4286
2	Thunder Dome	-79.9715	40.4280
2	Rizzo's Margaritaville	-79.9746	40.4284
2	NuVision Engineering	-79.9702	40.4296
2	Head Board Shop 412	-79.9658	40.4282
2	Coppertops	-79.9748	40.4284
2	The Strip	-79.9782	40.4287
2	Wings Over Pittsburgh	-79.9704	40.4274
2	Bohanon & Dometakis Casa	-79.9808	40.4275
2	Storexpress	-79.9735	40.4263
2	Redbox	-79.9775	40.4288
2	Crazy Mocha	-79.9656	40.4262
2	Caffe Davio	-79.9690	40.4277
2	Ohiopyle State Park	-79.9657	40.4280
2	The Flats on Carson	-79.9833	40.4287
2	Ibiza Wine and Tapas Restaurant	-79.9735	40.4281
2	toolshed 2	-79.9808	40.4275
2	cup ka joe	-79.9675	40.4259
2	Serbian Club	-79.9693	40.4265
2	Wings Over Pittsburgh	-79.9704	40.4277
2	Southside River Trail	-79.9804	40.4315
2	the government	-79.9808	40.4275
2	Southside River Trail	-79.9746	40.4310
2	Branding Brand	-79.9725	40.4291
2	AlphaLab	-79.9716	40.4283
2	...	-79.9649	40.4315
2	Chicago Illinois	-79.9815	40.4298
2	The jacuzzi tub	-79.9785	40.4274
2	South Side Bike Trail	-79.9781	40.4325
2	H&R Block	-79.9656	40.4262
2	Primanti Brothers	-79.9889	40.4300
2	Cup Ka Joe	-79.9675	40.4260
2	& Wine Bar	-79.9736	40.4281
2	Kinky Friedman	-79.9866	40.4290
2	Just posted a photo	-79.9702	40.4284
2	M & W Rent House 2	-79.9808	40.4275
2	Jimmy D's on Carson City Saloon	-79.9840	40.4290
2	Surf Pittsburgh	-79.9838	40.4290
2	Somewhere in Southside	-79.9720	40.4263
2	NuVision Engineering	-79.9702	40.4299
2	George K. Cupples Stadium	-79.9905	40.4283
2	Santa is coming to town	-79.9782	40.4286
3	Pittsburgh Penguins Foundation Silent Auction	-79.9904	40.4399
3	Pittsburgh Marriott City Center	-79.9912	40.4398
3	Pittsburgh!	-79.9920	40.4386
3	hub	-79.9851	40.4372
3	City View Apartments	-79.9864	40.4401
3	Duquesne University	-79.9909	40.4366
3	my squirrel sistas	-79.9928	40.4369
3	Pittsburgh Penguins Hockey	-79.9905	40.4400
3	Trib Tron	-79.9897	40.4408
3	Hill District	-79.9860	40.4418
3	Aces And Deuces Lounge	-79.9867	40.4385
