clid	venue	lon	lat	cat	user	checkin
0	Fort Pitt Museum	-80.0094	40.4411	Arts & Entertainment	5	5
0	Two Gateway Center	-80.0045	40.4420	Professional & Other Places	2	2
0	Downtown Pittsburgh	-79.9998	40.4412	Food	2	2
0	Pittsburgh CAPA High School	-79.9987	40.4446	College & University	11	15
0	Bar Nine	-79.9972	40.4444	Food	1	10
0	OZA	-79.9964	40.4441	Professional & Other Places	1	4
0	Direct Energy	-79.9935	40.4452	Professional & Other Places	1	1
0	Wiener World	-79.9972	40.4420	Food	2	2
0	KDKA-TV	-80.0070	40.4426	Professional & Other Places	3	23
0	Andys	-80.0019	40.4413	Nightlife Spot	2	2
0	Proper Brick Oven & Tap Room	-80.0004	40.4436	Nightlife Spot	4	10
0	Kwik-E-Mart	-79.9955	40.4440	Shop & Service	2	2
0	The Beer Garden	-79.9964	40.4444	Nightlife Spot	1	1
0	Awesome Books	-79.9968	40.4430	Shop & Service	1	2
0	The Commoner	-79.9965	40.4415	Food	2	2
0	The Westin Convention Center Pittsburgh	-79.9952	40.4441	Travel & Transport	25	58
0	Station to Station/Art Train at Pittsburgh's Union Station	-79.9923	40.4437	Arts & Entertainment	1	1
0	941 Saloon	-79.9963	40.4432	Nightlife Spot	9	9
0	Highmark Gym	-80.0038	40.4424	Outdoors & Recreation	1	1
0	Bigelow Grille	-79.9947	40.4406	Food	6	7
0	A to Z Communications	-79.9953	40.4442	Professional & Other Places	1	6
0	Wood Street Galleries	-79.9996	40.4423	Arts & Entertainment	2	2
0	Thayer Hall	-80.0021	40.4390	College & University	1	1
0	Downtown Pittsburgh	-79.9985	40.4418	Professional & Other Places	8	14
0	Mellon Square Parking Garage	-79.9963	40.4420	Professional & Other Places	1	2
0	Courtyard By Marriot Valet Parking Lot	-79.9956	40.4449	Travel & Transport	1	9
0	U.S. Steel Tower Plaza	-79.9953	40.4409	Outdoors & Recreation	5	5
0	Downtown Pittsburgh	-80.0064	40.4417	Travel & Transport	10	10
0	Perl	-80.0030	40.4411	Nightlife Spot	5	7
0	707 Penn Gallery	-80.0001	40.4433	Arts & Entertainment	2	2
0	Cultural District	-80.0004	40.4432	Outdoors & Recreation	6	6
0	VIP Styles	-79.9993	40.4392	Shop & Service	1	20
0	Pittsburgh Allegheny	-79.9952	40.4441	Travel & Transport	2	2
0	Zorba's	-79.9995	40.4388	Food	1	1
0	Braddock's Bar	-80.0026	40.4438	Nightlife Spot	2	2
0	The Art Institute of Pittsburgh	-79.9997	40.4374	College & University	2	4
0	Simpatico Espresso	-79.9970	40.4412	Food	1	1
0	Moe's Southwest Grill	-80.0022	40.4405	Food	1	3
0	There Ultra Lounge	-79.9967	40.4430	Nightlife Spot	8	12
0	Golden Palace Buffet	-79.9970	40.4427	Food	2	2
0	Family Division	-79.9954	40.4385	Professional & Other Places	2	3
0	West Penn Building	-80.0024	40.4378	College & University	1	2
0	Piatt Place	-80.0000	40.4409	Professional & Other Places	1	1
0	Chinatown Inn	-79.9974	40.4374	Food	4	4
0	Speakeasy	-79.9969	40.4407	Nightlife Spot	5	6
0	Village Park	-80.0021	40.4383	Outdoors & Recreation	1	1
0	Chipotle Mexican Grill	-80.0019	40.4407	Food	9	17
0	One Gateway Center	-80.0052	40.4416	Professional & Other Places	2	2
0	Flamers Charbroiled Burgers	-80.0029	40.4418	Food	1	1
0	Wintergarden Ppg	-80.0034	40.4398	Outdoors & Recreation	2	2
0	PNC Firstside Center	-79.9976	40.4359	Professional & Other Places	2	3
0	David L Lawrence Convention Center Garage	-79.9954	40.4446	Professional & Other Places	1	1
0	Il Pizzaiolo	-80.0025	40.4408	Food	9	9
0	Hampton Inn & Suites Pittsburgh	-79.9923	40.4471	Travel & Transport	6	7
0	PNC Park Suite 43	-79.9960	40.4406	Arts & Entertainment	1	1
0	Downtown Pgh	-80.0001	40.4423	Outdoors & Recreation	2	5
0	Neighborhood Allies	-79.9968	40.4368	Professional & Other Places	1	1
0	Third Avenue Garage	-80.0024	40.4395	Professional & Other Places	1	1
0	Ephesus Pizza	-80.0025	40.4398	Food	1	11
0	Kiddapoloza	-79.9957	40.4458	Arts & Entertainment	1	1
0	Gateway Eye Associates	-80.0040	40.4419	Professional & Other Places	1	1
0	Nola On The Square	-80.0028	40.4410	Food	1	1
0	Diamond Market Bar & Grill	-80.0022	40.4410	Food	9	9
0	T Station	-79.9998	40.4422	Travel & Transport	1	1
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	Food	31	36
0	Omni William Penn Hotel Floor 12	-79.9958	40.4404	Nightlife Spot	2	2
0	Passive Park	-79.9982	40.4363	Outdoors & Recreation	2	2
0	The Grant Street Tavern	-79.9979	40.4376	Nightlife Spot	1	1
0	Space Art Gallery	-79.9984	40.4428	Arts & Entertainment	3	5
0	An SAP Company	-79.9998	40.4420	Professional & Other Places	1	2
