clid	venue	lon	lat	cat	user	checkin
0	Hotel Monaco Pittsburgh	-79.9960	40.4418	NA	1	1
0	Starbucks	-80.0020	40.4426	NA	1	1
0	2 PNC Plaza	-80.0007	40.4419	NA	2	4
0	La Gondola	-80.0023	40.4402	NA	1	1
0	Gourmet Sandwiches	-80.0034	40.4415	NA	1	1
0	Sally Beauty Supply	-79.9997	40.4420	NA	1	4
0	Hampton Inn & Suites Pittsburgh	-79.9923	40.4471	NA	6	7
0	Eleven	-79.9935	40.4459	NA	1	1
0	Braddock's American Brasserie	-80.0027	40.4439	NA	3	3
0	Heinz History Center	-79.9921	40.4467	NA	3	3
0	Downtown Pittsburgh	-79.9984	40.4422	NA	5	7
0	Greyhound Station Pittsburgh	-79.9938	40.4444	NA	1	1
0	Downtown Pittsburgh	-79.9945	40.4411	NA	16	16
0	Ephesus Pizza	-80.0001	40.4391	NA	1	1
0	Two PNC Plaza	-80.0008	40.4417	NA	1	1
0	Anthrocon 2015	-79.9953	40.4443	NA	1	1
0	Three Rivers art Festival	-80.0034	40.4416	NA	1	1
0	ODAR	-79.9934	40.4460	NA	1	1
0	707 Penn Gallery	-80.0001	40.4433	NA	2	2
0	PNC Park Suite 43	-79.9960	40.4406	NA	1	1
0	Vet Tech Institute	-80.0003	40.4436	NA	1	13
0	Tony's Disco Stick HideOut	-79.9920	40.4487	NA	1	4
0	Rite Aid	-79.9976	40.4413	NA	1	1
0	iNetworks	-79.9975	40.4392	NA	1	1
0	Meat & Potatoes	-80.0006	40.4433	NA	1	1
0	Station Square Tunnel	-80.0060	40.4389	NA	1	1
0	Meat and Potatoes	-80.0008	40.4430	NA	21	25
0	Sushi & Rolls	-79.9980	40.4382	NA	1	1
0	GNC World Headquarters	-79.9996	40.4420	NA	5	36
0	Noodles & Company	-80.0020	40.4410	NA	4	5
0	VIP Styles	-79.9993	40.4392	NA	1	20
0	Tonic Bar And Grill	-79.9951	40.4437	NA	23	26
0	Liangs Hunan Chinese Restaurant	-79.9958	40.4432	NA	1	1
0	Mellon Square	-79.9977	40.4407	NA	1	1
0	Social Security Administration	-79.9976	40.4439	NA	2	3
0	Dick's Sporting Goods Pittsburgh Marathon	-80.0023	40.4417	NA	2	2
0	Federated Investors	-79.9948	40.4443	NA	1	1
0	Downtown Pittsburgh Children's Festival	-79.9990	40.4428	NA	3	3
0	PPG Place Plaza and Water Feature	-80.0032	40.4398	NA	5	5
0	Mon Wharf	-80.0051	40.4381	NA	1	1
0	The	-80.0003	40.4405	NA	13	15
0	Wood Street	-79.9989	40.4429	NA	1	1
0	Point State Park	-80.0074	40.4394	NA	2	2
0	CVS	-79.9993	40.4394	NA	1	1
0	One Oxford Centre	-79.9988	40.4381	NA	1	1
0	At the corner of bad&bitches	-80.0013	40.4386	NA	1	2
0	Penn & 6th	-80.0014	40.4430	NA	1	1
0	Yuriy's Downtown	-79.9969	40.4425	NA	1	1
0	Nola On The Square	-80.0029	40.4410	NA	1	1
0	Spend Visibility	-80.0006	40.4417	NA	1	1
0	Pop-Up	-79.9966	40.4417	NA	1	1
0	Three Rivers Restaurants	-80.0066	40.4417	NA	1	1
0	Federated Investors	-79.9937	40.4451	NA	1	2
0	Mellon Square Park	-79.9975	40.4410	NA	1	1
0	Downtown Pittsburgh	-79.9993	40.4420	NA	2	2
0	Emporio A Meatball Joint	-79.9965	40.4441	NA	20	41
0	Bus Stop 7th St. & Penn Ave.	-80.0003	40.4432	NA	1	1
0	Deloitte LLP	-80.0034	40.4398	NA	1	1
0	Perl	-80.0030	40.4411	NA	5	7
