,cluster14,,,,cluster15,,,,cluster18,,,,cluster27,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-06-17,1,-0.142,0.000,0.000,3,-0.675,0.000,0.000,3,1.763,1.221,0.000,0,0.000,0.000,0.000
2014-06-18,4,1.585,1.221,1.221,4,-0.878,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-19,4,-3.695,0.000,2.443,6,-2.381,0.000,0.000,3,0.379,0.000,0.000,0,0.000,0.000,0.000
2014-06-20,6,-0.352,2.443,2.443,4,-0.500,0.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000
2014-06-21,6,0.817,2.689,1.221,3,-1.500,0.000,0.000,1,1.427,1.221,0.000,1,1.284,1.221,0.000
2014-06-22,3,-6.731,0.000,2.443,3,-0.760,0.000,0.000,4,2.975,1.221,0.000,1,-0.380,0.000,0.000
2014-06-23,4,1.492,1.221,0.000,4,0.326,0.000,0.000,2,-0.203,0.000,0.000,0,0.000,0.000,0.000
2014-06-24,1,0.962,0.000,0.000,2,-0.910,0.000,0.000,2,-0.284,0.000,0.000,7,-0.301,0.000,0.000
2014-06-25,1,-1.571,0.000,1.221,1,-0.494,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-26,2,-1.006,0.000,0.000,5,-2.090,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-27,7,0.243,1.221,0.000,3,-0.057,0.000,0.000,1,-0.142,0.000,0.000,2,-3.279,0.000,1.221
2014-06-28,10,2.390,2.443,1.221,5,-1.173,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-06-29,2,-0.151,0.000,0.005,6,-2.268,0.000,0.000,3,1.068,0.000,0.000,0,0.000,0.000,0.000
2014-06-30,4,1.032,0.000,0.000,2,-0.103,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-07-01,5,-0.353,0.000,0.005,2,-0.931,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-07-02,2,2.276,1.221,0.000,5,-1.109,0.000,0.000,1,0.128,0.000,0.000,0,0.000,0.000,0.000
2014-07-03,1,0.295,0.000,0.000,3,-0.671,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-07-04,7,6.008,2.443,0.000,6,-1.620,0.000,0.000,2,-1.075,0.000,1.221,0,0.000,0.000,0.000
2014-07-05,3,-1.190,0.000,0.000,4,1.769,1.221,0.000,4,0.490,0.332,0.000,0,0.000,0.000,0.000
2014-07-06,4,-5.259,0.000,2.443,1,-0.128,0.000,0.000,5,-0.710,0.000,0.000,0,0.000,0.000,0.000
2014-07-07,0,0.000,0.000,0.000,1,1.323,1.221,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-07-08,3,-0.127,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-07-09,2,-0.143,0.000,0.000,0,0.000,0.000,0.000,1,0.923,0.000,0.000,0,0.000,0.000,0.000
2014-07-10,0,0.000,0.000,0.000,1,2.381,1.221,0.000,1,-0.142,0.000,0.000,2,0.646,0.000,0.000
2014-07-11,3,0.074,0.000,0.000,0,0.000,0.000,0.000,1,0.066,0.000,0.000,0,0.000,0.000,0.000
2014-07-12,6,-1.946,0.000,1.221,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-07-13,5,-0.211,1.221,1.221,0,0.000,0.000,0.000,1,0.291,0.000,0.000,0,0.000,0.000,0.000
2014-07-14,4,-1.336,0.000,0.000,0,0.000,0.000,0.000,3,-0.750,0.000,0.000,0,0.000,0.000,0.000
2014-07-15,16,-1.541,1.098,2.445,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-07-16,9,0.556,1.098,0.002,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-07-17,7,1.147,1.221,0.002,0,0.000,0.000,0.000,3,2.028,1.221,0.000,0,0.000,0.000,0.000
2014-07-18,22,-0.213,1.221,1.221,0,0.000,0.000,0.000,1,1.913,1.221,0.000,1,0.096,0.000,0.000
2014-07-19,12,0.823,3.540,1.221,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-07-20,14,1.553,1.371,0.111,0,0.000,0.000,0.000,2,1.310,1.221,0.000,0,0.000,0.000,0.000
2014-07-21,5,1.587,1.221,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,2,-0.238,0.000,0.000
2014-07-22,9,7.234,4.886,0.000,1,-1.795,0.000,1.221,5,0.132,0.493,0.000,0,0.000,0.000,0.000
2014-07-23,5,1.013,0.000,0.000,1,1.240,1.221,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-07-24,10,1.278,2.443,1.223,1,-0.963,0.000,0.000,2,1.584,1.221,0.000,0,0.000,0.000,0.000
2014-07-25,7,1.931,1.098,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-07-26,1,-0.142,0.000,0.000,3,-0.390,0.000,0.000,7,1.669,1.098,0.000,0,0.000,0.000,0.000
2014-07-27,4,1.733,1.221,0.000,1,-0.778,0.000,0.000,5,2.845,1.221,0.000,0,0.000,0.000,0.000
2014-07-28,8,-3.887,0.000,1.221,6,-2.108,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-07-29,1,-0.142,0.000,0.000,0,0.000,0.000,0.000,3,-0.288,0.000,0.000,0,0.000,0.000,0.000
2014-07-30,1,-2.021,0.000,1.221,1,-0.128,0.000,0.000,2,-0.315,0.000,0.000,0,0.000,0.000,0.000
2014-07-31,5,4.110,2.443,0.000,0,0.000,0.000,0.000,2,-0.315,0.000,0.000,0,0.000,0.000,0.000
2014-08-01,5,0.855,1.221,0.000,4,-0.504,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-08-02,5,1.479,1.221,0.000,2,-0.618,0.000,0.000,2,0.206,0.247,0.000,0,0.000,0.000,0.000
2014-08-03,6,-0.915,0.000,0.000,3,-1.130,0.000,0.000,5,-0.710,0.000,0.000,0,0.000,0.000,0.000
2014-08-04,4,1.125,0.000,0.000,1,0.266,0.000,0.000,3,-1.875,0.000,1.221,0,0.000,0.000,0.000
2014-08-05,14,-4.389,0.000,1.221,5,-3.099,0.000,1.221,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
2014-08-06,4,-1.721,0.000,1.221,1,-0.529,0.000,0.000,4,-0.568,0.000,0.000,0,0.000,0.000,0.000
2014-08-07,5,0.338,0.000,0.000,2,0.170,0.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000
2014-08-08,6,-1.155,1.221,1.221,2,0.184,0.000,0.000,3,3.457,2.443,0.000,0,0.000,0.000,0.000
2014-08-09,4,-0.749,0.000,1.221,1,-0.124,0.000,0.000,1,0.746,0.000,0.000,0,0.000,0.000,0.000
2014-08-10,4,1.936,1.321,0.000,4,-0.799,0.000,0.000,1,-0.209,0.000,0.000,0,0.000,0.000,0.000
2014-08-11,8,-2.094,0.050,1.221,2,-0.547,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-08-12,6,2.425,1.770,0.549,5,-2.122,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
