,cluster14,,,,cluster15,,,,cluster18,,,,cluster27,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
72,15,-3.309,0.000,1.468,15,-1.183,1.221,0.000,16,-0.592,0.000,1.221,20,0.000,0.000,0.000
73,16,3.195,2.443,2.554,15,-4.474,0.000,0.000,15,1.118,1.221,0.000,12,0.000,0.000,0.000
74,16,-2.505,1.098,3.238,11,-2.002,1.221,0.000,14,1.053,2.443,0.000,12,0.007,0.005,0.000
75,14,-0.300,2.443,2.017,11,-2.187,0.000,0.000,13,-4.685,1.221,3.664,16,-0.001,0.000,0.001
76,9,-3.849,1.221,1.221,9,-2.910,0.000,0.000,7,1.025,0.000,0.000,15,0.000,0.000,0.000
77,3,-0.439,0.000,0.000,11,-1.007,0.000,0.000,6,0.188,0.000,0.000,11,0.000,0.000,0.000
78,2,-2.723,0.000,1.221,14,-3.145,0.000,0.000,3,-0.010,0.111,0.000,7,0.000,0.000,0.000
79,2,-0.347,0.000,0.000,14,-2.027,0.000,0.000,2,-0.284,0.000,0.000,1,-0.000,0.000,0.000
80,1,-2.508,0.000,1.221,18,-6.700,0.000,1.221,3,1.862,1.221,0.000,3,-0.000,0.000,0.000
81,2,-0.347,0.000,0.000,17,-5.800,0.000,0.000,0,0.000,0.000,0.000,4,-1.328,0.000,1.221
82,3,0.035,0.000,0.000,15,-5.336,0.000,0.000,4,2.062,0.549,0.000,1,-0.000,0.000,0.000
83,9,0.641,0.000,0.005,11,-2.031,0.000,0.000,5,4.830,2.443,0.000,4,0.000,0.000,0.000
84,10,2.645,1.221,0.000,11,-2.325,0.000,0.000,5,3.702,1.770,0.000,2,-0.000,0.000,0.000
85,24,-3.596,0.000,1.770,10,-3.318,0.000,0.000,5,-0.278,1.221,1.221,3,-3.999,0.000,1.221
86,24,4.047,3.590,0.549,13,-3.942,0.000,0.000,8,1.824,0.000,0.000,7,0.000,0.000,0.000
87,26,2.941,1.221,0.004,10,-1.968,0.000,0.000,10,-0.608,0.000,0.000,6,-0.000,0.000,0.000
88,32,2.850,1.332,1.098,14,-5.985,0.000,1.221,8,-0.817,0.000,0.000,8,0.000,0.000,0.000
89,20,3.511,1.221,0.000,16,-2.316,0.000,0.000,10,2.036,1.221,0.000,2,-0.000,0.000,0.000
90,9,6.860,4.886,0.000,13,-2.133,1.221,0.000,8,-2.484,0.000,1.222,3,0.000,0.000,0.000
91,5,-0.225,1.221,1.221,10,-3.916,0.000,0.000,11,0.949,1.221,1.221,2,0.000,0.000,0.000
92,9,0.820,2.992,2.443,15,-4.824,0.000,0.000,6,-1.303,0.000,0.000,2,-0.000,0.000,0.000
93,11,-0.202,1.221,0.000,17,-4.586,1.221,0.000,11,-1.181,1.221,2.319,7,0.008,0.005,0.000
94,14,1.730,2.443,1.221,14,-1.380,1.221,0.000,14,3.636,2.992,1.221,3,0.000,0.000,0.000
95,13,7.647,4.886,0.247,10,-3.956,0.000,0.000,11,6.596,3.664,0.000,5,-0.002,0.000,0.001
96,12,5.816,3.664,0.000,14,2.980,2.443,0.000,12,2.409,1.221,0.000,12,-0.643,0.000,0.000
