,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
22,251,101.789,23.423,9.468,222,85.785,20.162,13.206,126,52.261,10.016,6.145,95,43.547,12.849,6.271,95,34.296,10.000,3.000,115,42.262,16.000,3.000,57,17.874,2.018,5.027,37,15.890,5.135,1.000,31,3.207,1.000,1.000,19,6.156,1.154,1.000,26,14.831,3.751,3.341,6,1.159,0.000,0.007,16,4.106,1.000,0.000,15,1.616,0.000,0.000,13,6.980,2.000,1.368,14,5.097,1.000,0.000
23,268,93.579,27.073,6.003,308,116.970,18.931,19.610,159,70.944,22.368,6.055,152,82.301,21.037,7.000,96,49.443,20.871,3.000,101,40.239,14.000,3.000,69,31.584,7.003,5.000,25,15.268,5.050,1.368,25,0.511,0.000,0.000,32,14.249,4.000,0.000,44,18.467,4.549,3.670,17,12.785,5.000,0.000,17,2.932,0.000,1.301,11,0.938,0.000,0.000,14,10.230,4.000,1.000,12,3.400,0.000,0.000
24,307,84.544,16.386,8.086,263,78.106,16.806,8.874,165,74.387,18.511,15.061,148,71.690,14.380,11.369,84,30.266,14.657,1.000,101,32.581,7.736,4.000,78,32.942,11.038,3.237,30,15.500,4.000,2.000,40,1.370,0.000,0.000,32,17.549,3.368,3.000,30,12.696,4.000,0.000,9,5.793,1.018,2.000,18,7.787,2.000,1.000,30,4.052,1.000,1.000,21,15.554,3.000,5.135,7,1.842,0.000,0.000
25,341,92.266,22.264,9.284,438,154.521,27.753,27.540,177,66.923,17.667,9.026,174,89.117,17.516,13.649,69,26.477,4.000,5.000,93,36.883,11.000,3.000,90,35.314,13.022,4.196,23,9.057,4.050,0.000,39,3.335,1.000,1.000,35,12.752,3.368,2.000,51,17.160,2.000,4.091,15,6.956,0.386,4.000,49,13.741,3.000,4.000,31,10.680,7.000,0.000,14,10.833,3.000,1.000,12,4.306,1.000,0.000
26,301,75.823,16.014,14.874,362,147.226,30.039,32.142,179,57.726,10.376,11.104,169,85.037,19.817,14.789,46,24.770,6.736,3.000,93,38.547,8.000,7.000,73,34.395,6.022,7.415,22,13.322,4.002,2.000,43,1.573,1.000,0.000,23,5.082,1.871,0.135,65,19.720,5.000,4.000,19,12.371,1.368,2.007,41,2.553,0.000,0.000,33,9.338,4.000,0.000,17,11.051,4.000,1.000,20,6.600,1.000,0.000
27,258,70.403,15.794,13.385,373,134.221,22.899,33.265,148,48.757,10.385,7.059,146,59.545,14.848,11.156,50,18.743,6.804,1.000,59,29.397,11.000,4.000,62,25.799,6.140,2.549,25,14.214,5.000,0.000,40,3.555,1.000,1.000,27,8.215,2.000,0.000,56,28.228,6.078,6.670,11,6.984,2.641,0.000,52,2.092,0.000,0.000,49,14.651,6.000,0.000,10,2.645,1.000,0.000,16,3.961,0.000,0.000
28,210,50.929,11.380,6.747,265,95.812,21.548,15.062,124,30.592,5.394,7.739,94,35.594,3.806,8.504,33,12.940,3.000,3.000,39,23.858,8.368,1.000,39,17.102,3.002,4.407,15,6.625,4.000,0.000,45,2.767,0.000,1.000,11,1.929,1.018,0.000,41,13.357,2.000,2.671,8,1.237,0.368,0.000,39,6.001,1.000,1.000,30,0.192,0.000,0.000,4,3.583,0.000,1.000,9,2.088,0.000,0.000
29,140,35.141,10.288,3.075,169,65.843,11.384,9.193,88,32.701,13.386,6.210,65,21.858,3.104,6.664,19,6.981,1.000,2.000,16,9.078,3.368,0.000,21,10.000,2.021,1.000,9,5.565,0.000,2.000,35,2.039,0.000,1.000,10,3.555,1.000,1.000,31,8.303,2.004,0.091,7,4.112,0.002,2.000,46,0.764,0.000,0.000,32,2.457,0.000,1.000,1,0.376,0.000,0.000,16,4.139,0.000,0.000
30,109,21.632,5.376,3.002,93,31.997,5.375,4.057,28,12.087,3.000,3.000,33,7.564,0.039,4.271,12,0.287,0.000,0.000,4,2.332,1.000,0.000,9,2.856,0.001,1.000,2,0.284,0.000,0.000,10,0.731,0.000,0.000,5,0.142,0.000,0.000,21,5.158,1.000,1.000,3,2.002,0.000,1.000,22,2.374,0.000,1.000,7,0.000,0.000,0.000,1,0.142,0.000,0.000,12,3.315,0.000,0.000
31,96,30.720,6.007,2.000,52,13.865,4.368,1.792,8,4.493,1.000,1.000,28,11.592,2.100,2.368,8,0.578,0.000,0.000,3,0.142,0.000,0.000,15,5.519,1.386,2.000,0,0.000,0.000,0.000,7,0.284,0.000,0.000,3,0.062,0.018,0.000,8,0.812,0.000,0.000,10,8.665,2.000,2.000,2,0.607,0.000,0.000,1,0.142,0.000,0.000,1,1.097,1.000,0.000,8,1.722,0.000,0.000
