,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
103,68,9.007,1.000,0.000,59,16.865,3.443,3.135,33,7.946,2.000,1.375,17,7.407,0.368,2.000,8,0.927,0.000,0.000,0,0.000,0.000,0.000,16,5.276,1.000,2.202,4,2.298,1.000,0.000,18,0.000,0.000,0.000,4,0.000,0.000,0.000,2,3.001,0.202,1.000,11,3.828,0.000,1.000,15,3.387,0.000,1.000,0,0.000,0.000,0.000,1,1.254,0.000,1.000,16,4.458,0.000,0.000
104,65,9.279,1.018,0.057,25,8.387,2.000,2.000,17,3.485,0.008,2.018,7,1.522,1.000,0.000,6,2.042,0.000,1.000,3,0.000,0.000,0.000,3,0.468,0.000,0.000,2,2.471,0.368,1.000,2,0.000,0.000,0.000,1,0.000,0.000,0.000,4,1.778,1.000,0.000,4,0.788,0.000,0.135,0,0.000,0.000,0.000,3,0.561,0.000,0.000,1,1.417,0.000,1.000,5,1.339,0.000,0.000
105,58,8.416,0.135,1.050,12,6.360,1.000,1.000,15,0.868,0.050,0.000,6,2.021,0.000,0.368,4,0.000,0.000,0.000,1,1.960,1.000,0.000,8,7.894,0.000,2.000,2,2.087,2.000,0.000,0,0.000,0.000,0.000,2,1.073,0.000,0.000,1,1.015,1.000,0.000,0,0.000,0.000,0.000,4,0.000,0.000,0.000,0,0.000,0.000,0.000,4,3.124,1.000,0.000,13,4.181,0.000,0.000
106,76,14.463,1.000,1.000,27,6.407,1.000,1.000,8,2.847,1.000,0.000,7,0.701,0.000,0.000,4,1.477,1.000,0.000,16,0.142,0.000,0.000,9,5.079,1.000,1.549,6,2.936,1.000,0.000,1,2.465,0.000,1.000,2,0.934,0.000,0.000,5,0.877,0.000,0.000,2,0.422,0.000,0.000,3,0.142,0.000,0.000,0,0.000,0.000,0.000,3,0.757,0.000,0.000,12,3.969,0.000,0.000
107,158,48.964,6.303,10.135,44,20.233,4.000,2.000,36,11.636,2.135,2.050,18,5.821,1.007,0.000,14,2.770,0.003,1.000,19,1.502,0.000,0.000,31,14.944,3.050,1.020,14,6.463,1.050,0.000,1,0.000,0.000,0.000,1,0.721,0.000,0.000,1,0.142,0.000,0.000,5,5.437,1.000,1.000,5,0.252,0.000,0.000,1,0.000,0.000,0.000,12,1.044,0.000,0.001,12,4.063,0.000,0.000
108,277,93.777,13.292,13.211,98,43.640,8.503,8.057,35,13.784,4.386,1.000,36,16.379,3.000,4.000,19,9.348,2.000,2.368,25,6.565,1.000,1.000,26,10.696,3.068,1.000,10,2.229,1.050,0.000,12,0.899,0.000,0.000,10,2.118,0.007,0.000,9,2.521,0.000,0.000,7,7.370,1.000,2.000,3,0.142,0.000,0.000,0,0.000,0.000,0.000,24,13.153,4.368,1.001,12,3.133,0.000,0.000
109,331,109.642,26.220,8.402,167,60.833,8.087,14.001,60,15.076,3.396,1.000,56,22.025,2.774,2.051,35,11.467,3.368,0.000,43,12.347,4.368,1.000,31,10.193,2.154,0.000,18,9.353,2.000,1.000,5,0.000,0.000,0.000,14,4.336,0.007,2.018,17,7.585,2.000,2.000,10,8.561,2.002,2.000,3,1.040,0.000,0.000,3,1.807,0.000,0.000,25,12.317,3.000,4.000,8,1.866,0.000,0.000
110,434,119.352,19.151,16.084,251,95.130,24.356,12.177,67,29.640,6.003,6.001,66,36.146,9.135,4.503,44,17.372,7.000,1.000,49,13.571,4.368,3.368,45,16.227,3.406,3.004,25,6.865,0.135,0.000,8,0.866,0.000,0.000,11,4.171,0.000,1.000,11,2.137,1.000,0.000,27,15.247,3.406,3.000,11,0.142,0.000,0.000,10,1.995,1.000,0.000,29,10.407,2.000,0.135,12,3.547,0.000,0.000
111,429,153.362,31.240,14.513,285,130.797,20.364,31.341,63,18.482,3.138,1.000,79,31.147,3.391,5.271,39,8.333,2.135,0.000,37,10.070,3.736,0.000,36,19.705,6.135,1.616,33,17.034,3.104,3.000,8,1.196,0.000,0.000,11,1.434,0.050,0.386,15,3.767,1.000,1.000,29,15.178,3.000,1.000,12,5.671,2.000,1.000,9,0.142,0.000,0.000,28,10.846,3.000,1.136,12,4.244,0.000,0.000
112,384,135.783,28.602,18.406,343,143.342,28.186,24.423,107,41.948,11.376,3.069,104,49.408,11.000,9.007,55,23.236,4.000,4.000,36,11.484,2.000,0.368,60,26.233,6.007,5.000,29,12.026,4.000,0.007,7,1.193,0.000,0.000,28,10.913,2.007,4.050,14,4.274,1.000,0.001,42,16.611,5.138,0.639,8,1.374,0.000,0.000,8,0.934,0.000,0.000,33,9.801,3.000,1.001,19,8.036,1.000,0.000
113,400,141.006,27.609,18.869,337,134.278,27.953,17.200,105,37.291,5.623,7.387,88,41.589,4.377,10.369,53,20.180,5.000,2.000,47,9.747,1.000,2.000,48,21.176,3.747,3.010,31,11.667,2.000,0.368,15,3.991,1.000,1.000,40,15.742,4.503,2.185,18,6.808,2.000,0.247,48,24.243,2.368,6.135,18,4.960,1.000,1.000,10,2.634,1.000,0.000,26,7.572,3.000,0.001,16,6.548,0.000,0.000
114,407,149.742,30.022,22.483,339,128.140,13.557,31.347,90,34.614,11.763,2.339,104,39.788,8.503,5.000,59,24.085,5.135,4.000,29,1.519,0.000,0.000,54,18.588,3.420,4.000,35,17.621,3.037,4.000,6,0.618,0.000,0.000,29,6.531,2.000,1.000,14,4.914,1.000,0.000,41,21.704,3.018,3.510,14,0.803,0.000,0.000,14,5.117,2.000,1.000,19,10.941,3.000,1.000,17,5.972,0.000,0.000
115,392,129.610,24.977,14.249,340,139.166,23.764,26.505,104,39.046,8.312,4.020,101,38.244,6.199,9.271,59,25.102,7.000,2.000,49,13.778,4.000,3.000,55,20.603,4.503,2.004,43,9.863,2.000,0.135,34,19.834,5.000,2.000,37,13.443,2.237,2.375,17,9.640,2.000,1.000,42,19.844,5.018,3.736,11,0.000,0.000,0.000,13,0.000,0.000,0.000,23,11.764,2.000,2.368,12,5.364,1.000,0.000
116,342,143.511,28.106,18.235,294,121.090,29.382,20.242,122,37.099,6.052,5.493,102,38.206,6.156,7.419,58,15.925,4.000,3.000,46,8.937,2.000,2.000,43,15.475,3.529,2.000,29,13.700,3.000,2.000,39,8.206,2.000,2.000,30,14.393,3.368,2.000,15,7.536,0.000,3.000,20,6.199,1.368,0.368,12,4.101,0.000,1.000,14,3.621,2.000,0.000,15,10.098,2.368,2.000,12,4.804,0.000,0.000
117,347,116.153,21.850,15.142,272,105.624,21.654,19.070,127,57.131,14.605,9.390,102,30.516,3.057,7.137,62,19.639,4.000,2.000,82,31.436,9.000,4.000,43,15.672,3.021,2.234,43,16.020,4.000,2.000,29,1.697,0.000,1.000,22,8.995,2.000,1.000,23,10.580,1.000,3.341,18,7.452,1.050,1.000,4,1.161,0.000,0.000,11,2.134,1.000,0.000,16,8.687,1.000,3.000,10,3.788,0.000,0.000
118,296,95.679,21.704,9.114,279,119.399,25.597,20.677,142,66.924,13.781,7.163,155,67.313,11.192,15.019,109,45.889,11.736,6.000,92,34.120,6.135,4.368,79,35.842,9.390,3.206,42,14.210,4.135,0.000,24,7.095,3.000,1.000,40,12.316,2.010,1.000,11,5.288,1.000,2.000,18,8.567,2.522,1.000,7,1.605,0.000,1.000,25,5.854,2.000,0.000,14,5.969,1.000,1.000,14,5.220,0.000,0.000
119,300,110.560,30.122,9.395,300,96.974,17.034,16.186,170,75.822,22.573,12.000,244,135.212,47.364,15.241,159,65.465,20.135,4.503,179,75.737,21.007,9.000,64,31.666,6.423,8.000,53,18.749,6.368,2.000,47,1.889,0.000,1.000,41,19.316,6.000,1.368,15,6.212,1.000,1.000,13,8.840,2.000,2.000,6,3.086,0.000,1.000,20,4.364,2.000,0.000,18,14.125,4.000,1.000,13,4.011,0.000,0.000
120,334,113.628,26.138,11.419,264,92.957,19.254,13.186,159,64.042,22.559,11.053,241,136.716,40.560,16.508,149,63.283,18.804,7.289,210,92.389,25.874,8.368,79,37.883,9.019,5.755,41,12.128,4.503,1.000,36,2.316,1.000,0.000,53,15.245,4.014,2.368,25,13.303,2.027,1.671,30,4.870,0.368,0.000,7,5.723,2.000,0.000,22,0.000,0.000,0.000,16,10.568,3.000,0.000,13,3.243,0.000,0.000
121,304,102.591,16.142,14.375,317,110.375,18.540,15.427,185,62.921,17.671,3.874,234,121.736,32.176,15.533,103,42.579,9.037,9.000,160,47.360,13.368,7.000,62,24.802,6.154,4.074,72,26.509,8.472,0.756,30,2.656,0.000,1.000,58,22.295,4.021,3.736,29,9.172,2.004,2.341,12,8.500,3.368,1.007,18,5.632,1.000,1.000,28,5.609,2.000,1.000,32,17.230,4.000,1.000,16,3.723,0.000,0.000
122,298,86.599,16.284,9.136,328,120.853,20.592,22.387,229,97.591,24.427,12.768,139,71.439,21.743,8.754,96,42.647,15.000,3.000,136,45.801,12.000,3.000,52,23.783,2.000,5.000,41,20.774,5.052,4.375,29,0.000,0.000,0.000,40,20.008,7.018,2.000,31,13.689,1.300,5.493,7,1.847,0.368,0.000,14,3.781,1.000,0.301,42,5.500,2.000,0.000,18,12.942,3.000,2.000,15,4.581,0.000,0.000
123,261,72.614,10.611,12.087,300,114.211,23.996,16.522,208,93.101,17.548,15.529,103,37.819,8.303,6.161,55,17.715,6.006,2.000,69,33.042,10.368,5.000,45,23.279,4.000,5.004,52,33.463,7.271,8.000,52,4.428,1.000,1.000,27,3.922,1.000,0.001,37,19.632,4.000,2.000,12,1.777,0.000,0.135,48,2.791,1.000,0.000,51,11.964,3.000,2.000,12,3.526,0.000,0.000,11,2.042,0.000,0.000
124,182,55.705,11.315,6.276,316,108.999,28.800,14.342,175,66.255,16.104,12.003,73,20.948,3.242,4.000,34,11.334,2.000,2.000,32,10.240,3.000,1.000,33,11.048,2.021,3.202,45,23.126,7.000,2.000,21,0.568,0.000,0.000,27,3.946,0.000,1.000,39,15.822,4.000,2.493,10,3.391,0.018,1.000,47,5.544,0.000,3.000,38,3.196,0.000,1.000,7,4.503,1.368,1.000,8,1.692,0.000,0.000
125,157,44.408,8.472,4.007,204,65.150,12.126,7.210,120,48.874,17.289,7.000,73,17.181,6.167,1.386,21,3.499,1.000,0.135,30,11.412,4.368,1.000,25,11.491,4.738,1.004,36,20.132,4.000,3.368,23,0.000,0.000,0.000,5,4.536,0.135,2.000,16,4.514,0.000,1.000,9,2.544,0.368,1.007,15,5.543,0.000,2.000,12,1.243,0.000,1.000,12,11.610,1.000,4.000,15,4.294,0.000,0.000
126,122,29.778,5.376,3.000,121,40.604,6.100,9.795,69,20.249,6.143,3.418,47,14.934,4.368,2.000,13,2.891,1.368,0.000,11,1.299,0.000,0.000,17,6.740,3.002,0.004,17,15.172,3.000,2.000,16,0.856,0.000,0.000,5,0.000,0.000,0.000,17,6.086,2.000,1.000,7,2.300,0.000,0.503,8,0.021,0.000,0.000,12,1.839,1.000,0.000,4,5.056,2.000,0.000,10,2.703,0.000,0.000
127,68,17.215,2.155,2.000,67,29.221,5.528,7.007,29,5.689,0.000,2.000,21,4.801,1.018,0.368,4,0.142,0.000,0.000,2,1.470,0.000,0.000,13,6.566,0.001,3.000,8,5.575,2.000,1.000,7,1.183,0.000,1.000,2,3.083,0.000,1.000,8,2.709,0.000,0.670,4,0.427,0.000,0.000,2,0.142,0.000,0.000,6,0.000,0.000,0.000,0,0.000,0.000,0.000,7,1.446,0.000,0.000
128,43,12.709,1.000,1.000,29,9.419,2.000,2.553,26,4.045,2.000,1.018,7,0.314,0.018,0.000,2,0.984,0.000,0.000,1,0.870,0.000,0.000,5,0.707,0.018,0.000,2,1.342,0.000,1.000,3,0.000,0.000,0.000,2,0.015,0.000,0.000,1,0.000,0.000,0.000,1,2.759,0.000,1.000,0,0.000,0.000,0.000,2,1.488,0.000,1.000,1,0.366,0.000,0.000,12,2.553,0.000,0.000
129,46,11.505,0.000,2.001,7,2.408,0.000,1.000,28,1.072,0.149,0.000,7,4.616,0.000,2.000,5,1.062,0.000,1.000,5,3.582,2.000,0.000,2,1.349,1.000,0.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000,0,0.000,0.000,0.000,2,0.000,0.000,0.000,1,0.224,0.000,0.000,1,0.000,0.000,0.000,0,0.000,0.000,0.000,2,3.601,1.000,1.000,9,1.350,0.000,0.000
130,112,31.038,6.736,2.050,27,11.050,5.018,0.000,20,5.351,1.368,0.000,4,5.003,3.000,0.000,5,1.351,1.001,0.000,25,5.220,1.000,2.000,9,5.269,2.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,5,1.967,0.000,0.000,2,0.142,0.000,0.000,0,0.000,0.000,0.000,4,0.185,0.000,0.000,3,1.676,1.000,0.000,4,1.015,0.000,0.368,9,2.179,0.000,0.000
131,146,41.136,5.001,6.001,52,20.557,4.000,4.050,25,10.466,3.517,1.000,20,7.345,1.000,2.368,6,3.808,0.000,1.000,18,3.049,1.000,0.000,23,10.734,3.185,1.000,10,2.558,0.000,0.368,12,0.596,0.000,0.000,6,1.435,0.000,1.000,5,0.426,0.000,0.000,4,0.575,0.000,0.000,10,0.142,0.000,0.000,1,0.000,0.000,0.000,12,7.001,3.000,1.000,10,2.358,0.000,0.000
132,274,96.197,15.520,7.305,93,35.338,8.068,5.151,51,17.802,3.001,4.107,35,21.560,4.068,5.000,17,4.501,1.000,1.000,13,6.190,2.368,0.000,43,27.126,5.135,5.000,10,2.687,1.002,0.000,15,0.809,0.000,0.000,6,0.388,0.007,0.000,7,3.256,0.000,0.247,7,9.288,2.000,1.000,8,0.000,0.000,0.000,2,0.142,0.000,0.000,25,7.322,3.000,1.138,14,3.601,0.000,0.000
133,290,111.092,26.886,13.204,143,69.774,15.389,11.375,69,22.847,5.072,2.871,73,28.811,7.339,3.289,21,4.752,1.000,1.135,34,6.320,1.000,1.000,45,18.710,3.418,3.031,22,8.081,3.000,0.000,15,1.988,1.000,0.000,9,1.397,0.000,0.000,1,0.142,0.000,0.000,9,2.769,1.018,0.000,9,0.277,0.000,0.000,2,0.000,0.000,0.000,19,5.760,0.000,1.002,11,3.357,0.000,0.000
134,328,117.661,29.662,14.387,226,99.166,18.437,13.376,81,24.457,7.515,4.138,100,47.964,8.211,7.408,25,9.323,5.000,0.000,50,19.326,6.368,2.000,49,24.361,8.186,1.503,29,9.746,4.050,0.007,7,0.000,0.000,0.000,9,1.928,0.135,1.000,12,9.934,3.000,1.000,26,11.475,2.503,1.000,11,0.404,0.000,0.301,1,0.000,0.000,0.000,31,10.533,4.368,0.001,9,3.465,0.000,0.000
135,339,134.326,21.904,23.958,291,119.741,19.892,22.726,77,35.926,8.003,6.754,100,34.898,8.441,3.003,33,15.273,2.000,3.000,61,22.574,2.000,3.368,33,12.380,3.371,2.549,56,29.295,6.104,5.000,12,1.377,0.000,0.000,13,3.488,0.000,1.000,23,11.496,5.027,1.670,26,15.585,4.000,4.000,10,0.000,0.000,0.000,15,6.682,4.000,0.000,23,9.186,1.368,2.001,12,4.262,0.000,0.000
136,412,172.712,31.485,29.296,285,112.052,23.315,18.712,90,30.411,9.467,1.000,95,35.010,2.237,8.000,49,12.684,2.050,1.271,42,17.273,4.000,4.000,57,28.329,6.185,5.028,56,32.963,9.368,4.000,6,0.337,0.000,0.000,25,11.680,1.370,1.000,25,13.309,4.202,1.247,25,11.556,2.135,3.000,6,2.276,1.000,0.000,5,1.246,1.000,0.000,15,8.273,3.000,1.000,14,4.592,0.000,0.000
137,341,129.303,25.804,15.110,312,120.868,21.797,20.025,104,36.325,10.871,4.135,105,41.936,8.763,9.376,29,12.317,4.000,1.368,55,24.878,10.000,2.000,60,20.589,3.743,3.202,57,33.143,12.050,4.368,13,0.426,0.000,0.000,25,6.742,1.368,1.000,18,4.273,1.202,1.000,24,14.068,4.000,2.000,16,3.423,0.000,1.000,9,3.629,1.000,0.000,14,9.365,3.000,1.000,16,5.559,0.000,0.000
138,370,140.781,31.434,18.371,285,89.416,16.439,9.154,109,39.011,9.014,3.426,94,29.760,6.145,3.505,39,18.026,3.368,2.000,50,13.489,1.000,2.000,43,24.073,3.003,5.004,44,23.633,9.005,2.000,11,1.783,0.000,0.000,22,6.437,2.000,0.000,12,3.467,1.202,1.000,27,12.227,3.135,0.000,4,0.142,0.000,0.000,12,1.488,0.000,0.000,16,9.466,1.000,2.000,13,5.784,1.000,0.000
139,368,130.542,22.868,16.252,230,103.792,26.000,15.900,101,40.638,9.436,3.143,93,38.993,12.389,4.371,48,17.252,5.368,1.018,49,13.878,3.000,1.000,57,23.120,4.736,3.000,49,26.810,8.368,4.368,25,2.859,0.000,2.000,27,9.006,2.368,1.000,20,5.015,1.000,0.000,20,9.778,1.000,1.000,5,0.000,0.000,0.000,17,0.000,0.000,0.000,14,6.991,3.000,0.000,15,3.466,0.000,0.000
140,381,153.418,32.178,18.612,233,112.667,30.598,22.142,96,34.564,7.142,4.386,88,35.141,13.271,2.738,62,22.636,9.000,0.368,57,30.578,9.000,6.000,47,20.144,7.386,1.004,48,18.676,1.000,2.368,20,3.082,2.000,0.000,37,14.150,1.050,3.000,16,10.513,1.000,3.000,16,5.634,1.135,0.000,3,3.608,0.000,1.000,14,0.000,0.000,0.000,13,12.986,5.000,1.000,12,3.918,1.000,0.000
141,357,131.670,32.170,13.186,178,62.176,12.686,5.000,125,60.748,17.503,7.019,73,29.716,10.512,0.368,130,52.881,12.548,8.368,65,14.434,5.000,0.000,58,23.200,5.000,1.553,38,15.834,3.135,1.000,31,2.123,0.000,1.000,41,11.060,2.135,1.000,23,7.055,1.000,0.248,10,5.596,1.368,1.000,6,0.451,0.000,0.000,9,0.142,0.000,0.000,23,13.229,2.000,3.368,13,4.452,0.000,0.000
142,296,110.355,22.716,9.206,175,64.597,13.168,10.019,138,75.631,27.504,8.000,109,48.951,9.639,5.368,242,108.930,35.375,7.736,63,33.150,8.135,6.000,67,37.715,14.736,1.553,52,17.067,2.021,1.135,30,2.517,1.000,0.000,68,35.464,6.002,7.000,9,5.278,0.027,2.671,11,4.817,2.000,0.368,5,4.044,2.000,0.000,7,2.996,1.000,0.000,23,12.042,4.000,1.002,12,3.929,1.000,0.000
143,347,125.182,35.065,8.168,221,109.684,25.503,19.676,167,74.835,17.683,11.000,132,72.381,14.662,12.000,331,135.145,35.543,14.368,75,33.260,10.000,5.000,82,31.018,7.405,3.000,46,22.192,8.000,3.000,30,7.674,3.000,1.000,54,21.214,3.000,1.522,13,5.089,1.000,2.000,26,13.836,4.000,0.368,5,3.239,1.000,1.000,14,5.990,3.000,0.000,30,19.578,6.000,0.000,16,3.599,0.000,0.000
144,413,165.512,49.288,12.736,216,86.890,18.793,12.185,167,86.692,21.787,14.138,160,92.545,25.034,11.639,269,128.537,42.210,10.104,88,29.764,7.000,3.000,53,21.625,5.138,1.202,52,31.943,10.368,3.000,31,4.261,2.000,0.000,79,38.123,9.368,4.503,18,5.518,1.000,2.000,35,16.639,4.000,0.000,5,2.482,0.000,1.000,2,2.486,1.000,0.000,26,18.701,7.000,2.000,15,4.845,0.000,0.000
145,337,113.539,33.477,12.009,271,101.195,26.310,11.398,177,83.778,22.395,10.050,174,102.202,32.689,10.135,223,99.947,26.320,11.135,74,31.396,9.368,3.736,47,16.142,2.370,3.000,55,38.406,10.368,6.368,36,2.489,1.000,1.000,43,25.765,7.000,4.000,27,9.059,2.074,1.432,28,13.276,4.368,1.000,13,1.030,0.000,0.000,7,2.823,0.000,1.000,27,20.565,5.368,2.000,11,3.007,0.000,0.000
146,382,118.819,27.303,12.621,308,120.882,25.771,22.478,207,107.300,24.842,19.303,123,77.806,18.000,9.643,200,103.154,30.780,11.104,76,31.200,6.000,5.736,61,22.132,6.056,0.000,42,27.447,7.000,4.000,43,2.905,0.000,1.000,44,18.938,4.149,5.000,29,12.601,2.000,2.670,28,18.898,3.503,4.000,10,2.266,0.000,1.301,19,0.919,0.000,0.000,36,22.337,6.736,2.000,13,4.502,0.000,0.000
147,286,108.194,26.282,12.185,291,140.410,27.340,29.937,235,116.846,25.269,18.781,88,35.799,10.037,1.368,84,38.948,9.136,8.000,52,28.470,9.000,6.000,43,21.971,3.050,6.404,45,23.987,7.050,3.736,26,0.568,0.000,0.000,29,15.357,4.000,1.135,30,4.185,1.000,0.000,17,9.033,1.018,1.000,23,0.679,0.000,0.000,34,5.234,1.000,1.000,31,20.239,4.368,5.000,9,1.642,0.000,0.000
148,203,64.751,14.524,7.405,259,131.218,33.572,16.728,239,137.831,27.553,28.001,72,35.326,9.754,4.000,48,12.928,4.135,1.000,34,12.652,6.368,1.000,58,29.705,6.737,5.405,49,24.142,4.000,3.000,27,2.024,0.000,1.000,28,13.739,4.000,3.000,24,9.215,3.202,1.091,14,6.907,2.000,1.000,21,1.551,1.000,0.000,42,0.305,0.000,0.000,27,19.077,4.000,4.000,15,5.331,0.000,0.000
149,154,51.975,11.723,4.436,218,86.785,13.138,18.761,201,110.099,22.470,19.736,62,21.966,3.050,2.019,28,8.843,4.000,0.000,14,9.261,4.000,0.000,35,21.891,4.050,3.549,35,24.470,5.000,5.368,44,0.079,0.000,0.000,14,6.312,0.135,1.000,20,4.633,1.000,0.000,6,3.227,2.002,0.000,24,0.000,0.000,0.000,30,6.345,2.000,0.000,10,9.515,4.000,1.000,10,2.114,0.000,0.000
150,108,31.481,7.640,4.002,148,62.031,12.174,7.924,131,53.647,9.035,12.108,43,20.689,4.018,4.057,19,2.964,2.000,0.000,10,3.898,2.000,0.000,17,5.712,2.018,0.004,12,9.941,5.000,0.000,15,2.763,1.000,1.000,2,1.118,1.000,0.000,11,8.209,3.000,1.247,8,1.085,0.005,0.368,26,7.567,1.000,4.000,18,2.919,2.000,0.000,9,7.563,3.000,0.000,9,3.400,0.000,0.000
151,81,28.313,4.138,6.000,113,59.575,14.437,9.001,44,17.630,5.000,3.019,36,17.396,3.153,6.002,11,1.520,1.000,0.000,2,0.142,0.000,0.000,21,5.514,1.138,1.000,4,1.839,1.000,0.000,19,0.000,0.000,0.000,2,0.955,0.000,0.000,11,2.445,0.000,0.247,2,1.818,1.000,0.000,8,0.142,0.000,0.000,6,0.000,0.000,0.000,0,0.000,0.000,0.000,7,1.918,0.000,0.000
152,70,10.916,1.018,1.000,43,10.139,0.000,2.100,10,2.696,0.000,0.368,19,3.162,1.018,0.014,3,2.134,1.000,0.000,1,0.000,0.000,0.000,6,1.974,0.000,0.553,2,0.194,0.000,0.000,17,0.408,0.000,0.000,1,0.355,0.000,0.000,4,0.790,0.000,0.000,4,0.993,0.000,0.503,3,0.000,0.000,0.000,1,0.142,0.000,0.000,1,1.168,1.000,0.000,13,3.077,0.000,0.000
153,76,18.033,4.135,2.000,22,12.105,3.018,2.000,10,2.862,1.000,0.000,11,1.508,1.000,0.000,7,1.829,1.000,0.000,6,2.443,0.000,1.000,2,0.277,0.135,0.000,2,0.284,0.000,0.000,5,0.000,0.000,0.000,1,2.297,1.000,0.000,2,1.719,0.000,1.000,0,0.000,0.000,0.000,3,0.000,0.000,0.000,0,0.000,0.000,0.000,1,1.175,1.000,0.000,11,2.676,0.000,0.000
154,61,18.606,5.000,1.000,17,9.135,4.000,1.000,10,2.305,0.000,0.000,5,3.473,1.000,1.000,5,4.364,1.000,1.000,10,1.810,0.000,1.000,8,2.895,0.000,2.000,2,1.129,0.000,0.000,0,0.000,0.000,0.000,4,4.707,0.000,2.368,1,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,1.214,1.000,0.000,13,4.241,0.000,0.000
155,108,30.099,5.032,3.000,33,15.354,5.000,4.000,24,10.112,3.104,2.000,5,3.123,0.000,1.368,16,6.458,0.000,1.000,22,3.955,1.000,0.000,12,2.934,0.135,0.000,3,1.051,0.000,0.000,0,0.000,0.000,0.000,2,0.614,0.000,0.000,9,1.107,0.202,0.000,2,0.910,0.000,0.000,1,0.142,0.000,0.000,1,0.000,0.000,0.000,3,1.527,0.000,1.000,10,2.893,0.000,0.000
156,158,43.870,8.149,2.025,57,20.375,4.185,1.000,38,13.904,2.749,2.000,19,9.950,4.000,0.050,16,5.401,1.000,0.000,22,5.845,2.135,0.000,26,9.619,1.522,2.549,13,5.350,2.368,0.000,5,0.699,0.000,0.000,4,0.859,0.000,0.000,5,1.452,1.000,0.000,4,3.387,2.000,0.000,0,0.000,0.000,0.000,2,1.325,0.000,1.000,8,4.864,1.000,0.000,12,4.517,0.000,0.000
157,179,66.603,14.736,10.000,109,57.606,11.553,7.000,67,25.268,6.381,4.018,39,15.297,2.138,2.050,18,13.490,3.368,3.000,42,10.126,3.000,1.000,36,11.169,0.413,0.000,30,17.928,4.000,1.000,18,0.923,0.000,0.000,10,5.166,2.000,0.368,10,1.793,0.000,0.000,5,2.663,1.000,0.000,12,0.228,0.000,0.000,1,0.000,0.000,0.000,16,9.009,3.368,0.000,9,3.835,1.000,0.000
158,260,89.993,28.154,5.021,120,55.237,13.000,10.000,102,41.437,9.019,6.405,55,28.585,9.454,4.368,34,15.799,4.000,3.000,47,23.615,10.135,3.000,41,16.179,4.007,1.549,50,21.553,7.472,2.000,33,1.264,0.000,0.000,12,4.857,3.000,0.000,17,5.298,1.000,0.091,10,4.754,0.000,2.000,16,2.210,0.000,1.000,2,0.000,0.000,0.000,19,12.627,3.000,2.000,11,3.018,0.000,0.000
159,286,113.525,26.621,13.000,214,102.961,21.475,15.142,130,46.931,12.167,7.197,61,35.342,13.470,4.000,43,26.065,8.000,2.000,86,36.658,8.368,5.000,55,29.707,9.007,3.000,70,36.668,10.871,2.000,33,3.600,2.000,0.000,26,9.761,2.368,1.000,25,3.271,1.074,0.000,13,8.710,4.000,0.000,18,0.000,0.000,0.000,18,2.723,0.000,1.000,14,13.401,5.000,2.000,18,6.530,1.000,0.000
160,329,123.494,34.346,9.743,237,106.173,32.257,8.470,148,57.697,15.034,6.553,78,33.591,8.772,5.135,47,20.931,6.001,1.000,114,49.322,13.368,4.000,58,27.191,6.002,4.010,71,28.719,9.503,3.000,16,0.142,0.000,0.000,35,18.637,4.135,2.000,15,8.058,0.549,3.000,21,6.194,0.000,0.000,24,2.120,1.000,0.000,18,7.769,3.000,1.000,30,18.395,11.000,0.000,16,5.397,0.000,0.000
161,298,108.199,24.003,11.285,259,117.488,29.114,18.061,159,79.106,23.150,8.289,84,43.409,14.240,5.369,50,25.252,8.000,1.000,123,48.343,12.736,4.368,68,26.099,4.135,3.027,88,44.473,11.368,5.736,34,0.142,0.000,0.000,43,23.229,0.000,6.136,31,15.461,3.202,2.761,28,16.092,5.000,3.736,11,1.840,0.000,1.000,12,0.724,0.000,0.000,29,15.421,4.000,1.002,17,6.363,1.000,0.000
162,362,145.665,27.363,19.050,252,115.073,20.290,24.420,150,63.524,18.000,8.013,123,57.360,18.389,6.418,56,30.980,10.368,2.135,90,45.455,17.373,3.000,74,32.003,6.739,9.267,73,38.155,11.000,5.007,29,1.942,0.000,1.000,48,23.415,4.603,3.000,23,8.096,1.004,1.091,24,14.717,3.135,2.000,7,1.058,1.000,0.000,19,1.719,0.000,0.000,16,6.506,1.368,0.000,8,2.491,0.000,0.000
