,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
22,251,20.614,23.423,9.468,222,16.342,20.162,13.206,126,2.416,10.016,6.145,95,11.810,12.849,6.271,95,10.420,10.000,3.000,115,14.644,16.000,3.000,57,-6.898,2.018,5.027,37,5.236,5.135,1.000,31,-0.245,1.000,1.000,19,-0.610,1.154,1.000,26,-2.826,3.751,3.341,6,-1.159,0.000,0.007,16,3.970,1.000,0.000,15,-0.104,0.000,0.000,13,0.724,2.000,1.368,14,-0.667,1.000,0.000
23,268,32.793,27.073,6.003,308,-10.703,18.931,19.610,159,27.118,22.368,6.055,152,25.699,21.037,7.000,96,26.809,20.871,3.000,101,18.561,14.000,3.000,69,4.910,7.003,5.000,25,6.003,5.050,1.368,25,0.511,0.000,0.000,32,7.154,4.000,0.000,44,2.072,4.549,3.670,17,10.758,5.000,0.000,17,-0.824,0.000,1.301,11,0.938,0.000,0.000,14,3.980,4.000,1.000,12,-2.286,0.000,0.000
24,307,10.882,16.386,8.086,263,10.740,16.806,8.874,165,0.722,18.511,15.061,148,3.261,14.380,11.369,84,16.407,14.657,1.000,101,-0.935,7.736,4.000,78,9.190,11.038,3.237,30,-0.630,4.000,2.000,40,0.234,0.000,0.000,32,-0.128,3.368,3.000,30,3.988,4.000,0.000,9,-2.487,1.018,2.000,18,2.601,2.000,1.000,30,0.984,1.000,1.000,21,-6.284,3.000,5.135,7,-1.842,0.000,0.000
25,341,21.793,22.264,9.284,438,-14.213,27.753,27.540,177,13.353,17.667,9.026,174,2.956,17.516,13.649,69,0.389,4.000,5.000,93,9.585,11.000,3.000,90,9.404,13.022,4.196,23,6.162,4.050,0.000,39,-0.309,1.000,1.000,35,1.230,3.368,2.000,51,-5.757,2.000,4.091,15,-5.195,0.386,4.000,49,-1.847,3.000,4.000,31,9.260,7.000,0.000,14,6.081,3.000,1.000,12,-0.586,1.000,0.000
26,301,-0.813,16.014,14.874,362,-0.637,30.039,32.142,179,-7.050,10.376,11.104,169,0.918,19.817,14.789,46,8.707,6.736,3.000,93,-3.505,8.000,7.000,73,-3.436,6.022,7.415,22,2.588,4.002,2.000,43,1.005,1.000,0.000,23,2.568,1.871,0.135,65,-0.785,5.000,4.000,19,-2.225,1.368,2.007,41,-0.245,0.000,0.000,33,9.054,4.000,0.000,17,2.847,4.000,1.000,20,-2.370,1.000,0.000
27,258,-3.334,15.794,13.385,373,-18.264,22.899,33.265,148,3.718,10.385,7.059,146,3.419,14.848,11.156,50,6.741,6.804,1.000,59,8.823,11.000,4.000,62,9.023,6.140,2.549,25,6.728,5.000,0.000,40,-0.977,1.000,1.000,27,5.701,2.000,0.000,56,-2.238,6.078,6.670,11,6.040,2.641,0.000,52,1.808,0.000,0.000,49,14.651,6.000,0.000,10,0.089,1.000,0.000,16,-3.387,0.000,0.000
28,210,0.695,11.380,6.747,265,14.066,21.548,15.062,124,-7.699,5.394,7.739,94,-11.212,3.806,8.504,33,-1.564,3.000,3.000,39,14.746,8.368,1.000,39,-7.693,3.002,4.407,15,4.064,4.000,0.000,45,-2.589,0.000,1.000,11,1.645,1.018,0.000,41,-4.994,2.000,2.671,8,-0.004,0.368,0.000,39,0.859,1.000,1.000,30,-0.092,0.000,0.000,4,-1.553,0.000,1.000,9,-1.400,0.000,0.000
29,140,2.607,10.288,3.075,169,1.481,11.384,9.193,88,4.833,13.386,6.210,65,-2.270,3.104,6.664,19,-2.075,1.000,2.000,16,7.210,3.368,0.000,21,2.302,2.021,1.000,9,-2.681,0.000,2.000,35,-2.039,0.000,1.000,10,-0.288,1.000,1.000,31,5.214,2.004,0.091,7,-1.158,0.002,2.000,46,-0.764,0.000,0.000,32,-1.549,0.000,1.000,1,0.376,0.000,0.000,16,-2.913,0.000,0.000
30,109,-0.715,5.376,3.002,93,6.016,5.375,4.057,28,-0.963,3.000,3.000,33,-4.828,0.039,4.271,12,-0.287,0.000,0.000,4,2.254,1.000,0.000,9,-1.378,0.001,1.000,2,-0.284,0.000,0.000,10,0.447,0.000,0.000,5,-0.142,0.000,0.000,21,0.360,1.000,1.000,3,-1.982,0.000,1.000,22,-0.454,0.000,1.000,7,-0.000,0.000,0.000,1,-0.142,0.000,0.000,12,-3.315,0.000,0.000
31,96,2.421,6.007,2.000,52,2.797,4.368,1.792,8,-1.637,1.000,1.000,28,1.320,2.100,2.368,8,-0.578,0.000,0.000,3,-0.142,0.000,0.000,15,-1.993,1.386,2.000,0,0.000,0.000,0.000,7,-0.284,0.000,0.000,3,0.062,0.018,0.000,8,0.458,0.000,0.000,10,-1.969,2.000,2.000,2,0.607,0.000,0.000,1,-0.142,0.000,0.000,1,1.097,1.000,0.000,8,-0.538,0.000,0.000
