,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-03-29,1,-0.142,0,0,4,-3.407,0,2,15,2.251,4,1,0,0.000,0,0,0,0.000,0,0,1,-0.590,0,0
2014-03-30,0,0.000,0,0,4,-1.957,0,1,20,7.746,5,1,0,0.000,0,0,0,0.000,0,0,1,1.541,1,0
2014-03-31,1,-0.142,0,0,4,0.117,1,0,6,2.240,2,0,3,-4.169,0,2,0,0.000,0,0,1,0.632,0,0
2014-04-01,0,0.000,0,0,0,0.000,0,0,7,0.646,1,0,3,-2.191,0,1,0,0.000,0,0,0,0.000,0,0
2014-04-02,0,0.000,0,0,2,1.495,1,0,8,-0.550,0,0,0,0.000,0,0,0,0.000,0,0,2,-0.903,1,1
2014-04-03,1,1.023,1,0,4,-1.783,1,1,9,4.310,4,0,2,-1.634,0,1,0,0.000,0,0,0,0.000,0,0
2014-04-04,0,0.000,0,0,3,1.918,1,0,7,-0.683,1,1,7,-0.558,0,0,0,0.000,0,0,1,0.259,0,0
2014-04-05,0,0.000,0,0,3,-0.057,0,0,12,-1.728,1,2,0,0.000,0,0,0,0.000,0,0,5,0.259,0,0
2014-04-06,1,0.387,0,0,2,0.131,0,0,11,1.339,0,0,2,0.898,1,0,0,0.000,0,0,1,-1.865,0,1
2014-04-07,0,0.000,0,0,4,-1.541,0,1,4,1.601,1,0,6,-4.162,0,1,0,0.000,0,0,4,0.401,0,0
2014-04-08,0,0.000,0,0,2,0.611,0,0,4,0.195,0,0,5,-1.016,1,1,0,0.000,0,0,7,-1.578,0,2
2014-04-09,0,0.000,0,0,11,-3.450,1,3,5,0.732,1,0,9,-3.775,0,2,0,0.000,0,0,3,0.493,0,0
2014-04-10,0,0.000,0,0,3,-2.813,0,2,5,-1.722,0,1,7,-3.612,0,1,0,0.000,0,0,0,0.000,0,0
2014-04-11,1,-0.142,0,0,5,-0.693,0,1,5,4.385,3,0,7,3.157,1,0,0,0.000,0,0,0,0.000,0,0
2014-04-12,2,0.952,1,0,6,0.801,1,1,22,-9.119,3,6,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-04-13,0,0.000,0,0,6,4.993,4,1,13,-1.604,2,3,2,0.976,1,0,0,0.000,0,0,0,0.000,0,0
2014-04-14,0,0.000,0,0,2,-0.306,0,0,4,2.407,1,0,5,-5.111,0,2,0,0.000,0,0,0,0.000,0,0
2014-04-15,0,0.000,0,0,2,-2.991,0,2,8,-1.527,1,1,1,-0.142,0,0,0,0.000,0,0,2,-0.284,0,0
2014-04-16,1,-0.142,0,0,2,-0.284,0,0,8,4.037,2,0,15,-3.570,2,4,0,0.000,0,0,7,1.806,2,0
2014-04-17,0,0.000,0,0,8,2.101,1,0,8,-0.544,1,0,0,0.000,0,0,0,0.000,0,0,2,0.930,0,0
2014-04-18,0,0.000,0,0,6,-0.498,0,1,15,2.423,3,2,0,0.000,0,0,0,0.000,0,0,1,1.633,1,0
2014-04-19,0,0.000,0,0,3,2.042,1,0,21,1.365,2,2,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-04-20,2,-0.284,0,0,1,-0.142,0,0,4,1.367,1,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-04-21,0,0.000,0,0,1,0.742,0,0,6,1.082,1,0,0,0.000,0,0,0,0.000,0,0,4,-2.079,1,2
2014-04-22,1,-0.142,0,0,0,0.000,0,0,12,5.622,4,0,0,0.000,0,0,0,0.000,0,0,1,1.907,1,0
2014-04-23,0,0.000,0,0,4,0.287,0,0,13,-2.420,3,3,0,0.000,0,0,0,0.000,0,0,5,-0.710,0,0
2014-04-24,0,0.000,0,0,4,-0.568,0,0,8,0.781,1,0,1,-0.142,0,0,0,0.000,0,0,2,2.585,1,0
2014-04-25,0,0.000,0,0,9,-0.466,1,1,9,4.008,3,0,4,2.599,2,0,3,-1.734,0,0,5,-2.177,0,1
2014-04-26,6,0.705,1,1,4,-0.039,1,1,10,4.277,2,0,1,2.333,1,0,0,0.000,0,0,1,-0.142,0,0
2014-04-27,3,-2.433,0,1,2,0.252,1,1,5,1.261,1,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-04-28,0,0.000,0,0,3,-2.773,1,1,4,-1.026,0,1,4,-0.568,0,0,0,0.000,0,0,1,-0.142,0,0
2014-04-29,0,0.000,0,0,3,-3.463,0,2,8,0.119,1,1,16,-3.712,2,2,0,0.000,0,0,1,0.678,0,0
2014-04-30,0,0.000,0,0,4,-0.568,0,0,6,1.676,1,0,1,-0.142,0,0,0,0.000,0,0,2,-0.107,0,0
2014-05-01,1,-0.142,0,0,5,0.180,1,1,5,1.037,1,0,10,-1.254,1,1,0,0.000,0,0,1,0.891,0,0
2014-05-02,1,-0.142,0,0,5,-0.690,1,1,13,1.188,2,1,2,-0.284,0,0,0,0.000,0,0,1,-0.142,0,0
2014-05-03,0,0.000,0,0,3,2.155,1,0,14,-1.537,1,1,0,0.000,0,0,0,0.000,0,0,1,-0.142,0,0
2014-05-04,1,-0.142,0,0,4,-0.345,1,1,7,-1.542,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-05-05,0,0.000,0,0,1,-1.200,0,1,8,0.279,2,0,0,0.000,0,0,0,0.000,0,0,2,0.898,1,0
2014-05-06,0,0.000,0,0,4,0.387,1,0,8,0.742,1,0,0,0.000,0,0,0,0.000,0,0,5,6.647,3,0
2014-05-07,0,0.000,0,0,0,0.000,0,0,5,-1.317,0,0,0,0.000,0,0,0,0.000,0,0,3,-1.840,1,1
2014-05-08,2,-0.394,0,0,6,-0.488,0,0,4,-0.156,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-05-09,1,1.587,1,0,5,-2.301,0,1,11,-1.297,1,1,8,-1.950,1,1,0,0.000,0,0,0,0.000,0,0
2014-05-10,0,0.000,0,0,5,1.750,1,0,17,2.744,3,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-05-11,2,1.534,1,0,2,1.232,1,0,9,0.497,1,0,1,-1.229,0,1,0,0.000,0,0,1,-0.909,0,0
2014-05-12,1,-0.142,0,0,0,0.000,0,0,6,2.617,1,0,2,-0.284,0,0,0,0.000,0,0,2,-2.078,0,1
2014-05-13,0,0.000,0,0,0,0.000,0,0,5,0.277,0,0,0,0.000,0,0,0,0.000,0,0,1,-0.142,0,0
2014-05-14,0,0.000,0,0,3,-1.790,1,1,8,0.489,0,0,3,-1.673,0,1,0,0.000,0,0,1,1.189,1,0
2014-05-15,1,-0.142,0,0,3,1.047,1,0,5,-0.103,0,0,2,-0.284,0,0,0,0.000,0,0,4,2.195,2,0
2014-05-16,0,0.000,0,0,1,-0.142,0,0,7,-3.638,1,2,14,-4.148,1,2,0,0.000,0,0,2,-2.543,0,1
2014-05-17,0,0.000,0,0,5,5.240,4,1,23,3.245,4,1,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-05-18,1,-0.142,0,0,2,-1.644,0,1,17,-4.089,2,4,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-05-19,1,-0.142,0,0,3,0.298,0,0,7,2.187,1,0,3,0.717,1,0,0,0.000,0,0,0,0.000,0,0
2014-05-20,0,0.000,0,0,2,-0.796,0,0,5,2.177,1,0,3,-0.050,0,0,1,-0.142,0,0,0,0.000,0,0
2014-05-21,0,0.000,0,0,1,-0.142,0,0,6,0.959,0,0,6,-5.157,1,3,0,0.000,0,0,0,0.000,0,0
2014-05-22,1,0.916,0,0,4,1.346,1,0,9,0.114,1,0,7,-2.653,0,1,0,0.000,0,0,1,-0.142,0,0
2014-05-23,1,-0.142,0,0,2,2.219,1,0,16,-1.995,1,3,2,-3.417,0,1,0,0.000,0,0,0,0.000,0,0
2014-05-24,1,-0.142,0,0,6,2.500,2,0,14,2.410,2,0,0,0.000,0,0,0,0.000,0,0,1,-0.760,0,0
2014-05-25,2,-0.284,0,0,7,0.717,2,1,15,3.878,3,0,3,-4.315,0,2,0,0.000,0,0,0,0.000,0,0
2014-05-26,2,-0.284,0,0,1,-0.142,0,0,12,-3.336,1,2,0,0.000,0,0,0,0.000,0,0,1,-0.142,0,0
2014-05-27,1,-0.142,0,0,4,-2.362,0,1,3,-0.426,0,0,1,-0.142,0,0,2,-0.050,0,0,4,-1.120,0,2
2014-05-28,1,-0.142,0,0,0,0.000,0,0,1,-0.142,0,0,11,-6.013,1,4,0,0.000,0,0,1,-0.142,0,0
2014-05-29,0,0.000,0,0,2,0.298,0,0,8,-4.070,0,1,3,-4.010,0,1,12,-1.293,1,1,0,0.000,0,0
2014-05-30,1,1.381,1,0,3,-1.453,0,1,7,-0.964,2,2,6,-3.226,2,2,16,0.656,2,1,2,-0.860,0,1
2014-05-31,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
2014-06-01,0,0.000,0,0,6,0.206,1,1,19,-2.662,2,3,8,-5.591,0,3,16,-1.367,2,2,1,-0.142,0,0
2014-06-02,1,-0.142,0,0,3,1.363,1,0,13,-1.943,2,3,11,-0.640,1,2,30,-8.736,2,5,3,-2.774,0,1
2014-06-03,1,-0.142,0,0,5,2.446,2,0,8,2.712,2,0,8,-3.321,2,3,25,-7.245,1,3,3,-0.757,0,1
2014-06-04,4,-0.568,0,0,5,-1.758,0,1,6,-5.053,0,3,6,-4.639,2,3,16,3.642,4,1,1,0.959,0,0
2014-06-05,0,0.000,0,0,5,2.126,2,1,15,-2.842,2,2,5,2.880,2,0,22,-3.553,3,4,3,-1.790,0,1
2014-06-06,0,0.000,0,0,4,-3.349,0,1,14,3.126,5,3,11,-1.159,2,1,25,-23.894,0,10,5,-0.685,0,0
2014-06-07,1,-0.796,0,0,5,0.145,2,1,14,7.176,4,0,7,-5.483,0,3,8,1.682,1,0,0,0.000,0,0
2014-06-08,0,0.000,0,0,5,0.522,1,1,17,2.567,2,1,1,-0.142,0,0,16,-0.601,1,2,1,-0.142,0,0
2014-06-09,2,1.502,0,0,2,-0.284,0,0,7,3.685,2,0,15,-7.917,1,4,46,-2.486,7,6,1,-0.142,0,0
2014-06-10,1,-0.142,0,0,1,-1.062,0,1,3,-0.068,0,0,1,2.564,1,0,23,-5.893,1,4,1,-0.142,0,0
2014-06-11,0,0.000,0,0,1,-0.142,0,0,9,1.516,0,0,0,0.000,0,0,52,-5.529,7,9,1,1.314,1,0
2014-06-12,1,0.511,0,0,1,-0.721,0,0,7,-1.126,0,1,0,0.000,0,0,20,-8.795,1,5,0,0.000,0,0
2014-06-13,2,1.765,1,0,5,2.287,2,0,18,-0.474,2,2,0,0.000,0,0,15,-0.777,1,2,1,-0.142,0,0
2014-06-14,1,-0.142,0,0,2,1.076,1,0,18,3.886,4,1,2,-1.314,0,1,21,-8.430,1,5,0,0.000,0,0
2014-06-15,4,2.507,1,0,3,0.131,0,0,14,7.487,4,1,1,-0.955,0,0,15,-4.651,1,4,0,0.000,0,0
2014-06-16,1,-0.142,0,0,2,-1.065,0,0,12,3.627,4,3,22,-1.854,3,3,24,-3.915,4,6,1,-0.142,0,0
2014-06-17,3,1.392,1,0,1,-0.142,0,0,9,-0.849,1,1,0,0.000,0,0,4,0.831,1,0,3,-1.889,0,1
2014-06-18,0,0.000,0,0,4,1.370,1,1,7,3.964,3,0,4,-0.288,0,0,18,-9.622,2,6,1,-0.366,0,0
2014-06-19,3,0.259,0,0,4,-3.144,0,2,15,2.232,2,1,1,1.676,1,0,3,-2.501,0,1,0,0.000,0,0
2014-06-20,2,-0.284,0,0,6,-0.146,2,2,19,9.980,5,0,1,-0.142,0,0,14,-8.420,0,3,1,-1.499,0,1
2014-06-21,1,1.168,1,0,6,1.622,3,1,17,6.593,5,1,1,0.213,0,0,11,-3.479,1,3,0,0.000,0,0
2014-06-22,4,2.720,1,0,3,-5.537,0,2,17,7.601,3,0,0,0.000,0,0,3,-1.634,0,1,0,0.000,0,0
2014-06-23,2,-0.203,0,0,4,1.072,1,0,12,-2.256,3,1,1,1.278,1,0,3,0.444,0,0,0,0.000,0,0
2014-06-24,2,-0.284,0,0,1,0.788,0,0,8,1.181,0,1,0,0.000,0,0,3,-2.731,0,1,0,0.000,0,0
2014-06-25,0,0.000,0,0,1,-1.286,0,1,9,3.391,3,0,0,0.000,0,0,5,-1.219,1,1,3,-2.976,0,1
2014-06-26,0,0.000,0,0,2,-0.849,0,0,14,4.712,2,0,20,1.408,6,4,2,-0.284,0,0,4,1.204,1,1
2014-06-27,1,-0.142,0,0,7,-0.014,1,0,17,0.528,2,3,18,3.689,5,2,3,-1.134,1,1,0,0.000,0,0
2014-06-28,0,0.000,0,0,10,2.005,2,1,8,1.597,3,2,4,-2.110,0,1,14,7.096,5,2,1,1.040,1,0
2014-06-29,3,1.068,0,0,2,-2.195,0,1,15,4.097,4,0,6,0.710,2,1,15,-3.350,0,3,1,1.662,1,0
2014-06-30,1,-0.142,0,0,4,0.621,0,0,2,-0.284,0,0,42,-5.472,7,9,14,-3.603,2,3,7,2.147,2,0
2014-07-01,1,-0.142,0,0,5,-1.538,0,1,7,1.881,1,0,7,2.044,2,2,8,4.580,4,0,2,0.977,0,0
2014-07-02,1,0.128,0,0,2,1.722,1,0,8,4.809,2,0,5,2.326,1,0,4,2.528,1,0,3,-0.793,1,1
2014-07-03,1,-0.142,0,0,1,0.295,0,0,21,-3.102,1,2,26,19.679,11,2,2,-2.450,0,1,1,-2.102,0,1
2014-07-04,2,-0.838,0,1,7,5.006,2,0,14,1.232,1,1,0,0.000,0,0,6,0.550,1,1,0,0.000,0,0
2014-07-05,4,4.420,3,0,3,-1.190,0,0,28,-5.935,2,4,0,0.000,0,0,3,-1.928,0,1,2,-0.284,0,0
2014-07-06,5,-0.710,0,0,4,-4.510,0,2,4,3.217,2,0,0,0.000,0,0,2,-2.341,0,1,4,0.481,2,1
2014-07-07,1,-0.142,0,0,0,0.000,0,0,6,2.563,2,0,6,2.074,2,0,6,-0.923,0,0,2,3.525,1,0
2014-07-08,0,0.000,0,0,3,0.039,0,0,7,5.188,4,0,7,3.909,3,2,13,6.574,4,1,1,0.930,0,0
2014-07-09,1,0.923,0,0,2,-0.284,0,0,9,-2.088,1,2,0,0.000,0,0,6,0.276,0,1,0,0.000,0,0
2014-07-10,1,-0.142,0,0,0,0.000,0,0,7,0.432,0,0,0,0.000,0,0,5,0.855,2,1,2,-1.179,0,1
2014-07-11,1,0.593,0,0,3,0.074,0,0,15,-0.273,4,3,1,1.211,1,0,21,1.327,6,4,0,0.000,0,0
2014-07-12,0,0.000,0,0,6,-1.239,0,1,13,3.628,3,1,1,-0.142,0,0,10,-4.800,0,2,0,0.000,0,0
2014-07-13,1,0.291,0,0,5,-0.242,1,1,10,5.781,3,0,0,0.000,0,0,4,-0.254,2,1,0,0.000,0,0
2014-07-14,3,-0.750,0,0,4,-0.559,0,0,4,0.404,1,0,0,0.000,0,0,6,-1.407,1,1,0,0.000,0,0
2014-07-15,0,0.000,0,0,16,-1.042,2,3,4,3.863,2,0,0,0.000,0,0,15,-6.330,3,6,0,0.000,0,0
2014-07-16,0,0.000,0,0,9,0.227,2,1,4,0.806,1,0,0,0.000,0,0,7,-4.930,0,3,0,0.000,0,0
2014-07-17,3,1.722,1,0,7,-1.115,1,1,5,0.299,0,0,0,0.000,0,0,1,-2.649,0,1,0,0.000,0,0
2014-07-18,1,1.566,1,0,22,-0.537,1,1,6,1.072,1,0,1,0.706,0,0,1,0.323,0,0,2,-0.284,0,0
2014-07-19,0,0.000,0,0,12,2.155,4,1,8,-0.487,1,1,3,2.510,1,0,0,0.000,0,0,1,-1.229,0,1
2014-07-20,2,1.047,1,0,14,3.165,4,1,9,-0.363,1,1,2,-1.229,1,1,0,0.000,0,0,1,-0.089,0,0
2014-07-21,1,-0.142,0,0,5,1.054,1,0,4,1.001,1,0,6,-3.161,0,1,3,-4.468,0,2,0,0.000,0,0
2014-07-22,5,2.382,2,0,9,4.647,4,0,4,1.438,1,0,1,0.319,0,0,6,2.496,1,0,1,0.106,0,0
