,cluster7,,,,cluster14,,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
255,2,0.746,0.000,0.000,2,1.609,1.000,0.000
256,13,3.475,2.000,0.000,2,-0.284,0.000,0.000
257,7,1.090,1.000,0.000,1,-0.142,0.000,0.000
258,4,-0.916,0.000,0.000,0,0.000,0.000,0.000
259,5,2.705,2.368,0.000,0,0.000,0.000,0.000
260,0,0.000,0.000,0.000,0,0.000,0.000,0.000
261,0,0.000,0.000,0.000,0,0.000,0.000,0.000
262,6,1.971,2.000,0.000,2,2.617,2.000,0.000
263,1,-0.142,0.000,0.000,2,1.339,1.000,0.000
264,0,0.000,0.000,0.000,3,0.731,1.000,0.000
265,11,-2.313,0.000,2.000,3,1.012,2.000,1.000
266,7,2.920,1.000,0.000,3,0.284,0.000,0.000
267,11,-0.651,0.135,0.000,3,0.952,1.000,0.000
268,10,-2.387,0.000,1.000,3,1.835,1.000,0.000
269,12,2.393,2.000,0.000,3,-1.023,1.000,1.000
270,12,2.047,1.000,0.000,8,5.792,3.000,0.000
271,2,-0.284,0.000,0.000,5,1.803,1.000,1.000
272,7,-2.838,1.000,3.000,1,-0.142,0.000,0.000
273,5,-1.005,1.000,1.000,11,0.616,2.000,0.000
274,18,1.735,2.000,0.000,32,1.362,2.000,1.000
275,30,-0.932,1.135,1.000,29,1.881,3.000,0.000
276,29,1.885,5.000,1.368,22,2.922,1.368,0.005
277,28,4.297,2.135,0.000,5,2.197,2.000,1.000
278,15,1.275,0.135,0.000,6,1.300,1.000,0.000
279,14,-2.337,0.000,1.000,5,1.008,0.000,0.000
280,14,1.064,0.000,0.000,10,2.743,3.736,1.000
281,26,4.795,3.154,0.000,4,-1.815,0.000,1.000
282,29,3.339,7.368,3.000,4,1.564,0.368,0.000
283,36,-3.380,3.368,3.368,8,0.440,1.000,0.001
284,34,8.080,7.368,1.736,14,-0.038,1.000,0.000
285,27,6.858,6.368,1.368,6,3.224,3.000,1.000
286,25,4.400,3.000,0.000,2,-0.236,0.000,0.135
287,15,5.871,4.000,1.000,13,1.337,2.000,1.002
288,18,9.146,6.000,1.000,7,4.479,3.000,0.000
289,19,4.942,4.100,1.000,6,0.713,0.000,0.000
290,16,-1.324,0.000,0.000,27,-0.574,3.000,2.000
291,20,2.762,3.207,1.000,6,2.283,1.000,1.000
292,2,0.604,0.000,0.000,1,-0.142,0.000,0.000
293,3,0.579,0.000,0.000,5,1.864,1.000,0.000
294,5,1.431,0.368,0.000,8,-4.180,0.000,2.000
295,36,5.814,3.050,0.000,4,-0.221,0.000,0.135
296,19,0.493,1.050,0.000,12,-0.641,1.000,1.000
297,36,-1.143,3.000,3.000,6,1.760,1.000,0.001
298,29,9.213,4.368,1.000,12,3.494,1.368,0.000
299,18,2.802,2.000,0.000,17,10.525,5.000,1.000
300,19,3.198,3.000,0.000,4,1.095,0.368,0.000
301,37,1.329,2.000,2.000,5,0.833,1.000,0.000
302,25,4.698,4.005,0.368,8,-0.115,0.000,0.000
303,29,4.891,5.000,1.000,8,1.577,1.000,0.135
304,35,1.004,5.012,3.000,18,0.197,0.000,0.000
305,31,12.083,4.135,1.000,7,5.272,3.000,0.000
306,42,3.074,5.368,2.000,10,6.664,5.000,0.000
307,33,4.128,4.188,1.368,10,1.672,1.000,1.000
308,36,0.557,4.000,5.000,7,-0.761,1.000,0.000
309,8,4.364,4.000,0.000,16,3.365,2.000,0.000
310,11,3.394,0.000,0.000,19,4.082,2.000,0.001
311,24,4.461,2.000,1.001,1,-0.142,0.000,0.000
312,24,1.883,3.368,1.000,8,2.561,1.000,0.000
313,3,0.458,0.000,0.000,6,0.781,0.000,0.000
314,7,-1.002,0.000,0.000,1,1.019,1.000,0.000
315,14,2.728,2.018,0.000,6,1.358,2.000,1.135
316,18,5.765,3.000,2.000,13,0.290,0.000,0.002
317,5,-0.814,0.000,0.000,20,0.332,1.000,0.135
318,12,4.070,1.000,0.000,3,2.876,2.000,0.000
319,20,-0.158,2.000,1.000,6,0.607,0.000,0.000
320,15,7.987,5.503,0.000,3,-1.276,0.000,1.000
321,3,0.529,0.000,0.000,5,0.725,1.000,0.001
322,6,2.805,1.000,0.000,2,0.848,1.000,1.000
323,10,-0.735,0.000,0.000,6,-1.205,0.000,1.001
324,0,0.000,0.000,0.000,2,0.685,0.000,0.000
325,7,2.075,2.000,0.000,4,-1.399,1.000,1.000
326,20,1.058,1.000,0.736,14,5.376,4.050,1.002
327,16,2.057,2.100,2.000,10,3.014,2.000,0.000
328,17,0.731,2.000,1.007,1,-0.000,0.000,0.000
329,10,2.368,2.000,0.001,15,-1.300,0.000,1.000
330,16,3.485,2.050,0.000,2,0.733,0.050,0.000
331,4,1.308,0.000,0.000,5,-0.664,0.000,0.000
332,13,1.065,2.000,0.000,1,-0.142,0.000,0.000
333,17,2.134,2.000,1.000,2,0.894,1.000,0.000
334,11,-0.347,1.368,1.000,8,2.499,4.000,1.000
335,11,5.174,3.000,0.000,2,-0.284,0.000,0.000
336,13,1.582,3.000,2.007,14,1.436,1.050,0.000
337,10,3.147,2.000,0.007,12,0.305,0.000,0.000
338,5,1.179,1.000,0.000,5,1.920,1.000,0.000
339,14,-0.698,0.000,0.007,0,0.000,0.000,0.000
340,33,6.745,6.000,2.000,6,5.624,3.000,1.000
341,18,0.209,2.000,2.018,10,7.950,5.000,0.000
342,5,0.254,0.000,0.000,4,2.574,1.000,0.000
343,9,1.088,1.000,0.000,1,0.777,0.000,0.000
344,0,0.000,0.000,0.000,0,0.000,0.000,0.000
345,5,1.334,1.000,0.000,0,0.000,0.000,0.000
346,0,0.000,0.000,0.000,0,0.000,0.000,0.000
347,6,0.744,2.000,1.000,2,2.674,1.000,0.000
348,12,-0.011,1.000,0.000,4,-0.980,0.000,0.000
349,3,-0.584,0.000,0.000,0,0.000,0.000,0.000
350,3,0.928,0.000,0.000,9,2.321,0.000,0.000
351,3,1.796,1.000,0.000,1,-0.064,0.000,0.000
352,6,0.567,0.000,0.000,1,2.216,1.000,0.000
353,11,-0.455,0.135,0.000,1,-0.007,0.000,0.002
354,18,-0.597,2.000,1.000,4,4.396,2.000,0.002
355,11,2.761,0.000,0.368,6,-0.271,1.000,1.000
356,11,2.407,1.456,0.000,1,-0.234,0.000,0.000
357,15,7.519,2.050,0.000,2,-0.620,0.000,0.000
358,9,2.304,2.000,0.000,3,2.711,2.000,0.000
359,0,0.000,0.000,0.000,0,0.000,0.000,0.000
360,8,-0.373,0.000,0.000,0,0.000,0.000,0.000
361,18,0.321,2.000,1.000,8,-0.772,1.000,2.000
362,20,-3.321,0.000,1.000,5,2.312,3.000,1.000
363,12,2.438,4.000,2.000,2,1.349,1.000,0.000
364,4,2.393,1.000,0.000,2,1.314,1.000,0.000
365,9,-1.893,0.000,1.000,7,1.190,2.000,0.000
