,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
83,5,3.877,2,0,9,-2.837,0,1,8,1.217,1,0,14,0.262,2,2,2,0.760,0,0,5,-4.898,0,2
84,5,3.739,2,0,10,0.219,1,1,11,-4.213,0,3,4,-3.442,0,2,2,-4.553,0,2,2,-2.657,0,2
85,5,-0.334,1,1,24,-6.149,1,4,15,1.752,3,1,5,5.411,3,0,1,-0.142,0,0,0,0.000,0,0
86,8,2.182,0,0,24,-5.348,5,4,19,3.789,4,1,5,-4.422,0,2,6,-3.321,1,2,1,-0.142,0,0
87,10,-0.608,0,0,26,-4.408,4,5,37,16.579,11,0,3,0.682,1,1,8,-6.304,1,3,2,-1.786,0,1
88,8,-0.384,0,0,32,-1.306,3,3,39,8.779,5,0,4,-5.050,0,2,13,1.363,1,0,8,-2.391,1,2
89,10,3.152,1,0,20,0.699,3,2,57,13.777,11,2,3,0.628,0,0,4,-0.398,1,1,3,-0.775,1,1
90,8,-2.717,0,2,9,5.549,4,0,35,6.368,6,2,10,-5.020,1,4,8,0.298,0,0,3,-0.426,0,0
91,11,0.780,1,1,5,-0.210,1,1,28,11.810,5,0,17,-20.378,0,9,1,-0.142,0,0,5,-2.259,0,1
92,6,-3.061,0,1,9,1.153,3,2,32,10.870,7,2,6,7.292,4,0,3,-1.062,0,1,2,-2.170,0,1
93,11,-2.296,1,3,11,-0.494,1,0,29,2.836,4,2,5,-2.984,0,1,2,0.476,0,0,3,0.905,1,0
94,14,5.655,4,1,14,1.337,2,1,33,2.001,2,3,4,-1.712,0,1,5,-0.605,1,2,3,-0.981,0,1
95,11,6.809,3,0,13,4.420,4,1,40,3.934,7,3,4,-1.016,1,1,10,7.069,5,1,2,0.817,0,0
96,12,1.995,1,0,12,4.988,3,0,50,9.952,12,4,12,2.217,4,3,5,-1.457,0,1,6,-1.062,1,1
