,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-04-20,2,-0.284,0.000,0.000,1,-0.142,0.000,0.000,4,0.173,0.368,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-21,0,0.000,0.000,0.000,1,0.742,0.000,0.000,6,1.082,1.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,4,-2.137,0.001,1.050
2014-04-22,1,-0.142,0.000,0.000,0,0.000,0.000,0.000,12,3.549,3.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.574,0.301,0.000
2014-04-23,0,0.000,0.000,0.000,4,0.287,0.000,0.000,13,0.041,3.000,1.736,0,0.000,0.000,0.000,0,0.000,0.000,0.000,5,-0.710,0.000,0.000
2014-04-24,0,0.000,0.000,0.000,4,-0.568,0.000,0.000,8,0.490,1.000,0.000,1,-0.000,0.000,0.000,0,0.000,0.000,0.000,2,0.679,0.301,0.000
2014-04-25,0,0.000,0.000,0.000,9,-1.705,0.368,1.000,9,2.949,2.368,0.000,4,0.000,0.000,0.000,3,-1.734,0.000,0.000,5,-0.119,0.000,0.050
2014-04-26,6,0.705,1.000,1.000,4,-0.039,1.000,1.000,10,4.400,2.000,0.000,1,2.333,1.000,0.000,0,0.000,0.000,0.000,1,-0.007,0.000,0.000
2014-04-27,3,-2.433,0.000,1.000,2,0.252,1.000,1.000,5,-0.568,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-04-28,0,0.000,0.000,0.000,3,-0.439,1.000,0.368,4,-1.026,0.000,1.000,4,-0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000
2014-04-29,0,0.000,0.000,0.000,3,-3.463,0.000,2.000,8,1.348,1.000,0.368,16,-0.284,0.000,0.000,0,0.000,0.000,0.000,1,0.001,0.000,0.000
