,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
48,18,4.024,3.135,0.000,7,3.901,2.000,0.000,32,-0.905,1.018,1.000,12,0.000,0.000,0.000,14,3.224,3.000,0.000,6,2.278,2.000,0.000
49,15,4.082,3.000,1.000,20,1.705,2.000,0.000,19,8.311,5.000,1.000,9,-1.293,0.000,1.000,10,1.114,2.000,1.000,10,3.614,3.000,2.050
50,20,-1.145,0.000,0.000,12,1.380,3.000,2.000,27,3.565,3.000,2.018,13,0.000,0.000,0.000,11,1.480,2.000,2.000,6,-1.064,1.000,2.000
51,7,1.701,1.000,0.000,16,1.799,3.000,3.000,19,-8.199,2.000,7.000,10,-0.477,0.000,0.000,18,-0.075,0.000,0.000,6,-4.083,0.000,2.000
52,5,2.099,1.000,0.000,15,0.031,1.000,0.000,13,0.292,2.135,1.000,12,0.000,0.000,0.000,8,1.857,1.000,0.000,6,0.936,0.301,0.000
53,4,1.015,1.000,0.000,0,0.000,0.000,0.000,6,-1.424,0.000,1.000,8,0.000,0.000,0.000,7,-7.334,0.000,4.000,3,-0.336,0.000,0.000
54,1,-0.142,0.000,0.000,3,-0.284,0.000,0.000,1,1.218,1.000,0.000,4,-0.142,0.000,0.000,1,0.397,0.368,0.000,5,-0.239,0.001,0.000
55,1,-0.142,0.000,0.000,1,-0.142,0.000,0.000,3,1.939,1.000,0.000,5,-0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
56,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,4,0.000,0.000,0.000,1,-1.605,0.000,1.000,0,0.000,0.000,0.000
57,1,-0.142,0.000,0.000,0,0.000,0.000,0.000,1,-0.353,0.000,0.000,2,-0.000,0.000,0.000,1,-0.199,0.000,0.000,0,0.000,0.000,0.000
58,2,0.952,1.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000,4,-0.000,0.000,0.000,3,4.108,2.000,0.000,0,0.000,0.000,0.000
59,5,-1.488,0.000,0.000,3,-2.838,0.000,2.000,6,1.576,1.000,0.000,11,-0.284,0.000,0.000,9,-0.586,0.000,0.000,1,-0.973,0.000,0.000
60,7,0.895,1.135,0.000,13,0.185,2.000,2.000,14,6.165,2.000,0.000,7,1.083,1.000,0.000,3,-0.877,0.000,0.000,3,0.699,0.000,0.000
61,6,-1.301,0.000,0.000,28,-1.902,1.736,3.000,16,2.329,2.000,0.000,2,-2.149,0.000,1.000,2,-0.095,0.000,0.000,3,0.606,0.301,0.368
62,10,3.464,2.000,0.000,15,1.125,2.000,1.000,21,7.022,5.000,1.000,6,-3.122,0.000,1.000,6,0.884,1.000,0.000,3,1.473,2.000,0.000
63,9,2.691,1.368,0.000,32,7.148,8.271,3.001,21,-0.419,3.050,1.000,11,-0.292,0.000,1.000,2,1.534,1.000,0.000,3,-3.669,0.000,2.000
64,15,1.025,1.000,0.000,31,2.795,2.000,2.002,41,4.011,3.368,1.007,3,-0.142,0.000,0.000,3,0.635,0.000,0.000,2,0.700,0.001,0.000
65,13,4.344,0.368,0.000,18,4.024,4.100,0.135,47,12.527,9.050,3.000,2,-0.142,0.000,0.000,7,-0.142,0.000,0.000,4,-0.479,0.000,0.050
66,6,1.041,0.000,0.000,9,0.059,1.000,0.002,38,10.843,4.467,0.000,6,0.792,0.000,0.000,11,0.845,0.000,0.000,3,0.083,0.000,0.000
67,8,-1.076,0.000,0.000,14,7.130,3.000,2.000,22,-0.417,1.000,2.368,8,0.000,0.000,0.000,3,-0.764,0.000,1.000,3,-2.006,0.000,1.000
68,9,1.177,1.000,0.000,14,-1.319,2.000,3.000,27,2.095,3.000,0.007,3,-0.142,0.000,0.000,6,-0.544,0.000,0.247,1,-0.007,0.000,0.000
69,5,0.983,0.000,0.000,10,3.383,3.000,1.002,39,1.336,4.000,1.000,2,-0.142,0.000,0.000,6,-4.929,0.000,2.000,4,-0.291,0.000,0.000
70,9,-1.219,0.000,0.000,9,3.160,3.000,1.000,35,4.415,5.185,3.000,7,0.000,0.000,0.000,7,1.263,0.736,0.000,7,-0.892,0.000,0.368
71,13,-2.767,0.000,1.000,13,0.993,3.000,1.000,46,10.967,10.135,3.001,7,-0.000,0.000,0.000,3,-0.177,0.000,0.000,7,0.303,0.000,0.736
72,16,-0.639,0.000,1.000,15,-3.416,0.000,1.368,46,5.402,9.467,3.368,5,-0.284,0.000,0.000,5,0.304,1.000,1.670,1,-1.719,0.000,1.000
73,15,0.660,1.000,0.000,16,2.696,2.000,2.135,26,-2.132,3.000,3.736,10,0.724,0.000,0.000,16,0.916,1.000,0.000,8,-3.273,0.301,1.050
74,14,0.500,2.000,0.000,16,-1.761,2.000,3.368,42,10.680,9.000,1.000,16,-0.803,0.000,1.000,11,-1.734,2.000,1.341,5,-3.917,1.001,2.000
75,13,-4.069,1.000,3.000,14,-1.398,2.000,2.368,21,10.313,7.002,0.368,15,-0.000,0.000,0.000,21,0.162,1.000,1.000,3,1.766,1.000,0.000
76,7,0.862,0.000,0.000,9,-3.265,1.000,1.000,14,0.404,2.000,2.736,16,-0.000,0.000,0.000,8,-0.142,0.000,0.000,14,-2.119,2.000,2.000
77,6,0.188,0.000,0.000,3,-0.442,0.000,0.000,8,-2.685,0.000,1.000,14,-1.293,0.000,1.000,3,0.000,0.000,0.000,2,-0.284,0.000,0.000
78,3,0.019,0.135,0.000,2,-2.259,0.000,1.000,3,0.536,0.000,0.000,9,0.000,0.000,0.000,3,0.000,0.000,0.000,0,0.000,0.000,0.000
79,2,-0.284,0.000,0.000,2,-0.284,0.000,0.000,2,-0.194,0.000,0.000,11,0.000,0.000,0.000,2,-1.183,0.000,1.000,0,0.000,0.000,0.000
80,3,1.622,1.000,0.000,1,-2.053,0.000,1.000,0,0.000,0.000,0.000,3,0.000,0.000,0.000,0,0.000,0.000,0.000,2,0.001,0.001,0.000
