venue,lon,lat,checkin_n,user_n,doy_mode,dow_mode,hour_mode,senti_avg
Peppi's Old Tyme Sandwich Shop_1,-79.9855,40.4501,15,6,81,2,16,0.000
Shiloh Grill,-80.0071,40.4309,15,9,73,0,16,0.000
Oakland,-79.9555,40.4386,15,6,31,2,13,0.000
P Town,-79.9489,40.4543,15,3,271,1,3,0.000
Packs Dogs,-80.0073,40.4300,15,7,185,6,3,0.000
Arsenal Lanes,-79.9597,40.4710,15,9,4,0,0,0.000
Walmart_2,-80.0961,40.3868,15,4,155,2,16,0.000
Beto's Pizza Restaurant,-80.0304,40.4127,15,5,103,0,0,0.000
Rankin Christian Center,-79.8809,40.4131,15,1,126,2,13,0.000
Port Authority Station Square Station,-80.0032,40.4315,14,3,70,2,15,0.134
La Gourmandine Bakery,-79.9588,40.4729,14,4,16,5,17,0.000
Hyatt Place Pittsburgh/North Shore,-80.0090,40.4467,14,6,46,6,0,0.000
Taco Bell_1,-79.8950,40.4875,14,4,166,5,15,0.000
Acacia,-79.9759,40.4286,14,8,72,0,1,0.000
Highland Park Reservoir,-79.9157,40.4792,14,2,60,5,9,0.000
Diamond Market Bar Grill,-80.0023,40.4410,14,9,151,5,23,0.215
Nicky's Thai Kitchen_1,-80.0162,40.4521,14,6,273,3,17,0.000
Prantl's Bakery_1,-79.9328,40.4515,14,5,59,6,19,0.000
Ramen Bar,-79.9206,40.4380,14,12,3,6,1,0.000
College Hall,-79.9901,40.4367,14,2,73,3,16,0.000
Wellsford Cave,-79.9553,40.4353,14,1,94,0,12,0.000
Walking to The Sky,-79.9428,40.4441,14,4,281,2,0,0.000
Atria's Restaurant Tavern_2,-79.8728,40.4892,14,3,52,3,1,0.000
Salk Hall,-79.9629,40.4427,14,1,77,5,14,0.000
Bado's Pizza Grill Ale House,-80.0498,40.3886,14,5,10,6,22,0.000
Mr. Magic Car Wash_2,-80.0392,40.4049,14,4,17,6,16,0.000
Shadyside Walnut Street,-79.9337,40.4513,14,4,48,0,17,0.000
UPMC Montefiore,-79.9620,40.4411,14,3,39,0,11,0.000
Beehive Coffeehouse,-79.9843,40.4289,14,8,154,3,2,0.000
Center,-79.8696,40.3917,14,1,126,2,5,0.000
Rose Tea Caf_1,-79.9487,40.4448,14,1,303,3,15,0.000
Parkers Pgh,-80.0351,40.3956,14,2,189,3,22,0.000
Emiliano's Mexican Restaurant and Bar,-79.9684,40.4276,14,12,10,6,22,0.000
B Z Bar and Grill,-80.0042,40.4482,14,11,31,0,0,0.000
Eclipse Lounge,-79.9647,40.4665,13,4,33,0,1,0.000
Venture Street Exit,-80.0090,40.4846,13,1,123,6,17,0.000
Starbucks_8,-80.0958,40.3803,13,9,32,6,13,0.000
Trib Total Media,-80.0086,40.4489,13,1,278,0,15,0.000
Gooski's,-79.9665,40.4569,13,5,341,0,2,0.000
Magee-Women's Hospital of UPMC,-79.9607,40.4369,13,4,251,1,15,0.000
City of Pittsburgh_1,-79.9906,40.4416,13,9,75,0,21,0.000
Thunderbolt,-79.8649,40.3889,13,5,196,3,0,0.000
Big Dog Coffee,-79.9666,40.4258,13,10,68,0,15,0.000
Centre Massage Spa,-79.9157,40.4569,13,1,122,3,0,0.000
Penn Ave Fish Company,-79.9820,40.4524,13,7,97,1,16,0.000
Giant Eagle_5,-79.8886,40.4253,13,3,155,5,0,0.000
P W BMW,-79.9472,40.4545,13,3,273,3,16,0.000
Mullen_3,-79.9823,40.4549,13,3,105,4,13,0.000
BRAVO! Cucina Italiana,-79.9171,40.4068,13,7,60,6,23,0.000
A to Z Communications,-79.9953,40.4442,13,1,192,1,22,0.000
Vet Tech Institute,-80.0003,40.4436,13,1,43,3,14,0.000
Saint Paul Cathedral,-79.9498,40.4473,13,8,158,0,13,0.000
The Rowdy Buck,-79.9842,40.4289,13,8,67,0,3,0.000
Midtown Towers,-80.0001,40.4422,13,1,37,2,2,0.000
Eat Unique,-79.9489,40.4456,12,4,131,5,17,0.000
Cake,-79.9164,40.4570,12,1,191,5,19,0.000
The Bagel Factory_1,-79.9487,40.4446,12,4,186,0,15,0.000
Vietnam's Pho,-79.9867,40.4492,12,5,274,4,22,0.000
Bob's Diner_1,-80.0856,40.4097,12,3,167,0,11,0.000
Monongahela Incline,-80.0057,40.4319,12,10,192,6,16,0.000
Pittsburgh Improv,-79.9148,40.4093,12,5,273,3,23,0.000
Casa Reyna,-79.9833,40.4517,12,8,251,6,23,0.000
Club Zoo,-79.9874,40.4498,12,5,87,5,5,0.000
Doubleday's Famous Burgers,-80.0025,40.4434,12,3,186,0,0,0.000
Ace Cash Express,-79.9092,40.4078,12,1,66,5,3,0.000
The Rink at PPG Place,-80.0034,40.4397,12,4,19,0,0,0.000
Mon Valley Initiative,-79.9092,40.4080,12,1,101,5,18,0.000
Barre Bee Fit,-79.9360,40.4507,12,4,96,0,14,0.291
Tram's Kitchen,-79.9558,40.4655,12,6,81,0,0,0.000
Greyhound Station Parking Garage,-79.9916,40.4456,12,1,189,3,2,0.000
Curry on Murray,-79.9231,40.4331,12,5,196,3,16,0.000
Carnegie Museum Of Art,-79.9494,40.4435,12,7,74,0,0,0.000
BNY Mellon 3,-79.9972,40.4401,12,3,52,1,12,0.000
Parlor,-79.9757,40.4569,12,5,200,0,23,0.000
Casterly Rock,-79.9696,40.4568,12,1,186,0,3,0.000
Taco Bell_3,-80.0542,40.4273,12,3,103,3,11,0.000
athletica,-79.9331,40.4514,12,3,30,4,20,0.000
TMHQ,-80.0551,40.4216,12,1,66,5,12,0.000
Carnegie Library Music Hall,-79.9026,40.4070,12,4,141,0,1,0.000
Wheelhouse Bar Grill,-80.0217,40.4466,12,6,156,6,16,0.000
Schenley Plaza,-79.9528,40.4428,12,6,155,4,17,0.000
Fort Pitt Museum,-80.0094,40.4411,12,5,200,6,16,0.000
The Barbers Inn,-79.9239,40.4624,12,1,120,6,22,0.000
Deloitte LLP,-80.0036,40.4399,12,1,73,5,13,0.000
Astorino,-80.0031,40.4381,12,2,205,4,11,0.000
Soho,-80.0045,40.4483,11,7,185,6,2,0.000
Homewood_3,-79.8937,40.4529,11,2,54,0,12,0.000
Duquesne Student Union,-79.9909,40.4368,11,3,40,5,20,0.000
^Up- Modern Kitchen,-79.9337,40.4510,11,1,23,4,3,0.000
Thunderbird Cafe,-79.9616,40.4694,11,4,276,6,3,0.000
East End Brewing Company,-79.9115,40.4589,11,7,32,6,21,0.000
Federated Investors,-79.9946,40.4448,11,1,118,2,11,0.000
Just Ducky Tours,-80.0048,40.4338,11,8,181,1,19,0.000
Dive Bar,-79.9549,40.4795,11,7,297,6,0,0.000
Maury's Pad,-80.0025,40.4407,11,2,130,6,19,0.000
Bottle Knocker Hockey,-79.9897,40.4205,11,1,67,0,1,0.000
PCO,-80.0126,40.4771,11,1,74,0,13,0.000
Renaissance Pittsburgh Hotel,-80.0023,40.4438,11,6,55,1,23,0.000
Pittsburgh/greentree,-80.0540,40.4193,11,2,281,4,21,0.000
Via Festival,-79.9248,40.4612,11,1,71,3,16,0.314
Redbeard's on Sixth,-80.0023,40.4429,11,7,185,0,0,0.000
Roundabout Brewery,-79.9570,40.4771,11,4,276,6,19,0.000
Bill's Bar Burger,-79.9950,40.4439,11,5,192,6,19,0.000
Chick-fil-A,-79.9079,40.4127,11,4,274,4,21,0.000
Leaf And Bean,-79.9820,40.4521,11,6,151,0,16,0.000
Kennedy Park Munhall PA,-79.8634,40.3843,11,1,127,3,0,0.000
Primanti Bros._3,-80.0995,40.4444,10,4,109,0,23,0.000
Noodles Company,-80.0020,40.4410,10,4,188,2,22,0.000
Giant Eagle_3,-80.0002,40.4514,10,3,40,0,22,0.000
Carmella's Plates Pints,-79.9787,40.4286,10,7,277,0,15,0.000
Crazy Mocha_6,-79.9656,40.4262,10,5,247,5,23,-0.309
J&amp;L's Crib,-79.9259,40.4745,10,1,50,3,21,0.000
