date,non_n,4sq_n,inst_n,job_n
2015-02-03,2109,18,0,0
2015-02-04,1916,24,1,0
2015-02-05,2018,18,0,0
2015-02-06,2256,39,2,0
2015-02-07,2895,50,8,0
2015-02-08,2622,46,1,0
2015-02-09,3154,17,4,0
2015-02-10,2219,21,5,0
2015-02-11,2355,23,3,0
2015-02-12,2512,17,2,0
2015-02-13,2834,21,2,0
2015-02-14,2681,33,10,0
2015-02-15,2818,26,8,0
2015-02-16,2656,21,4,0
2015-02-17,2528,31,3,0
2015-02-18,2526,31,2,0
2015-02-19,2667,20,2,0
2015-02-20,2520,32,7,0
2015-02-21,2747,35,2,0
2015-02-22,2757,31,6,0
2015-02-23,2570,11,1,0
2015-02-24,1926,26,1,0
2015-02-25,2005,31,3,0
2015-02-26,2033,48,2,0
2015-02-27,2185,24,1,0
2015-02-28,2100,54,6,0
2015-03-01,2489,42,23,0
2015-03-02,2141,25,4,0
2015-03-03,2179,22,1,0
2015-03-04,1986,31,0,0
2015-03-05,2462,14,0,0
2015-03-06,2222,15,5,0
2015-03-07,2240,41,10,0
2015-03-08,2428,47,0,0
2015-03-09,1894,22,3,0
2015-03-10,2226,29,0,0
2015-03-11,2328,14,3,0
2015-03-12,2653,34,3,0
2015-03-13,2559,25,2,0
2015-03-14,5516,80,21,0
2015-03-15,9551,122,9,0
2015-03-16,4246,37,0,0
2015-03-17,3688,23,6,0
2015-03-18,3179,37,5,0
2015-03-19,1706,14,1,0
2015-03-20,2343,25,4,0
2015-03-21,2499,59,9,0
2015-03-22,3817,56,4,0
2015-03-23,3351,8,4,0
2015-03-24,0,0,0,0
2015-03-25,6121,53,5,0
2015-03-26,5798,61,12,37
2015-03-27,3056,18,0,0
2015-03-28,2207,39,18,36
2015-03-29,1504,22,3,1
2015-03-30,572,0,0,10
2015-03-31,225,0,0,2
2015-04-01,166,0,0,0
2015-04-02,409,3,2,0
2015-04-03,510,9,0,0
2015-04-04,386,5,0,0
2015-04-05,366,7,0,0
2015-04-06,66,0,0,0
2015-04-07,863,10,3,0
2015-04-08,2719,23,2,0
2015-04-09,2664,30,2,0
2015-04-10,1104,7,2,0
2015-04-11,301,6,0,0
2015-04-12,295,2,2,0
2015-04-13,365,7,2,0
2015-04-14,620,8,0,0
2015-04-15,488,1,0,0
2015-04-16,603,2,0,0
2015-04-17,179,1,1,0
2015-04-18,175,2,0,0
2015-04-19,292,7,0,0
2015-04-20,900,13,10,0
2015-04-21,3196,19,4,0
2015-04-22,3152,23,6,0
2015-04-23,227,2,0,0
2015-04-24,342,4,0,0
2015-04-25,3337,28,10,0
2015-04-26,4869,39,9,0
2015-04-27,2520,16,4,0
2015-04-28,666,14,2,0
2015-04-29,698,31,5,0
2015-04-30,844,34,4,0
2015-05-01,707,21,2,0
2015-05-02,526,7,0,0
2015-05-03,402,7,0,0
2015-05-04,104,9,0,0
2015-05-05,119,2,0,0
2015-05-06,0,0,0,0
2015-05-07,106,4,0,0
2015-05-08,0,0,0,0
2015-05-09,0,0,0,0
2015-05-10,0,0,0,0
2015-05-11,336,10,0,0
2015-05-12,164,5,0,0
2015-05-13,196,0,0,0
2015-05-14,128,5,2,0
2015-05-15,122,16,0,0
2015-05-16,103,10,0,0
2015-05-17,339,11,5,0
2015-05-18,612,15,5,0
2015-05-19,151,1,0,0
2015-05-20,275,10,0,0
2015-05-21,798,20,4,0
2015-05-22,763,54,3,0
2015-05-23,1246,36,19,0
2015-05-24,1587,49,20,0
2015-05-25,1103,27,12,0
2015-05-26,1035,31,7,0
2015-05-27,0,0,0,0
2015-05-28,0,0,0,0
2015-05-29,30,0,0,0
2015-05-30,0,0,0,0
2015-05-31,1713,54,9,52
2015-06-01,1603,40,6,66
2015-06-02,1468,43,0,70
2015-06-03,1190,34,10,59
2015-06-04,1501,51,7,77
2015-06-05,1332,44,6,56
2015-06-06,1490,90,19,42
2015-06-07,2065,78,22,63
2015-06-08,1189,22,22,42
2015-06-09,686,26,2,33
2015-06-10,555,29,3,32
2015-06-11,572,23,1,26
2015-06-12,0,0,0,0
2015-06-13,0,0,0,0
2015-06-14,0,0,0,0
2015-06-15,498,6,2,38
2015-06-16,203,2,0,16
2015-06-17,159,2,0,8
2015-06-18,190,5,2,10
2015-06-19,160,10,0,8
2015-06-20,201,10,0,4
2015-06-21,133,7,2,10
2015-06-22,147,2,0,15
2015-06-23,278,20,0,15
2015-06-24,327,25,4,20
2015-06-25,308,4,1,19
2015-06-26,429,9,1,107
2015-06-27,800,33,14,125
2015-06-28,1145,57,22,157
2015-06-29,1174,34,4,228
2015-06-30,1135,44,11,306
2015-07-01,1169,22,7,213
2015-07-02,1125,24,14,187
2015-07-03,1970,113,20,292
2015-07-04,3282,137,38,327
2015-07-05,3338,89,46,311
2015-07-06,1884,83,28,466
2015-07-07,2355,75,17,454
2015-07-08,2007,156,31,307
2015-07-09,2112,200,7,318
2015-07-10,2265,177,5,199
2015-07-11,2820,184,6,225
2015-07-12,2227,228,30,192
2015-07-13,2282,115,14,251
2015-07-14,1046,41,6,236
2015-07-15,967,86,14,193
2015-07-16,1306,46,4,262
2015-07-17,1082,35,3,192
2015-07-18,1145,51,14,158
2015-07-19,525,24,11,73
2015-07-20,471,19,9,87
2015-07-21,671,28,9,129
2015-07-22,686,29,7,171
2015-07-23,1332,78,8,322
2015-07-24,1106,62,7,190
2015-07-25,658,20,9,55
2015-07-26,685,39,3,111
2015-07-27,317,8,1,114
2015-07-28,445,9,0,113
2015-07-29,802,28,0,175
2015-07-30,534,19,3,148
2015-07-31,109,0,0,8
2015-08-01,0,0,0,0
2015-08-02,0,0,0,0
2015-08-03,0,0,0,0
2015-08-04,292,9,0,63
2015-08-05,304,3,0,90
2015-08-06,181,5,0,38
2015-08-07,302,17,0,76
2015-08-08,155,7,0,35
2015-08-09,66,2,0,22
2015-08-10,59,1,0,25
2015-08-11,20,1,0,0
2015-08-12,260,10,2,48
2015-08-13,440,26,6,58
2015-08-14,760,32,8,147
2015-08-15,672,16,6,85
2015-08-16,0,0,0,0
2015-08-17,0,0,0,0
2015-08-18,0,0,0,0
2015-08-19,0,0,0,0
2015-08-20,0,0,0,0
2015-08-21,665,47,15,78
2015-08-22,1289,65,22,192
2015-08-23,1520,73,23,180
2015-08-24,905,23,9,132
2015-08-25,874,29,4,197
2015-08-26,813,29,3,139
2015-08-27,931,41,12,117
2015-08-28,1426,68,18,193
2015-08-29,1610,89,31,131
2015-08-30,1259,49,29,127
