,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
doy,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
32,90.891,58,101.658,64,123.619,71,93.030,54,4.447,3,3.864,2,12.920,10,23.683,14,9.105,5,15.124,10,4.707,3,19.638,11,9.640,6,15.842,10
33,103.682,66,180.756,107,65.360,39,90.852,59,19.487,10,14.964,8,16.792,11,28.561,16,58.426,34,10.148,4,4.172,3,6.852,5,13.430,7,10.466,6
34,77.555,50,239.383,152,78.916,50,82.985,55,1.076,1,10.229,6,18.188,11,13.235,8,105.751,73,14.180,7,3.864,3,2.216,1,76.938,48,20.180,14
35,138.706,82,133.194,83,71.395,45,51.949,33,9.674,8,12.521,7,6.149,6,18.717,10,5.154,3,2.406,1,1.090,1,4.515,3,24.180,15,3.428,1
36,100.378,65,152.270,90,68.528,41,39.613,23,12.701,9,0.000,0,9.583,6,13.784,10,11.679,7,3.446,2,6.627,4,2.752,2,15.392,10,0.000,0
37,150.796,99,131.138,82,79.705,47,68.291,42,13.016,10,6.524,4,21.210,12,3.824,2,11.767,6,11.377,6,11.235,6,0.000,0,103.268,65,0.000,0
38,118.770,70,160.253,93,100.216,61,70.434,47,0.000,0,6.650,4,19.098,15,18.179,13,12.301,7,7.572,5,0.000,0,19.234,10,2.974,2,6.240,3
39,156.096,99,129.775,75,131.348,79,73.586,46,13.839,9,14.631,9,18.270,12,16.741,11,18.582,10,17.704,9,10.176,6,5.810,5,2.194,2,9.980,4
40,157.256,100,208.310,131,68.361,41,51.625,35,6.929,5,2.810,2,7.284,4,18.240,12,22.708,13,4.794,3,12.687,8,14.085,9,0.000,0,15.535,9
41,158.051,88,129.936,82,55.724,33,33.255,22,0.000,0,0.000,0,17.335,12,17.374,13,17.753,12,4.472,2,5.298,4,0.000,0,13.502,9,2.216,2
42,124.470,78,137.524,82,66.618,42,31.584,21,9.559,7,25.333,18,7.349,6,5.523,4,3.971,3,2.531,2,1.133,1,2.338,2,7.422,4,2.652,2
43,138.899,90,137.017,80,86.986,57,46.874,29,10.921,7,26.715,17,9.056,5,13.732,9,11.755,8,2.195,1,5.444,4,4.660,4,10.360,7,17.371,10
44,123.854,82,140.317,89,64.288,40,60.933,37,14.214,9,0.000,0,18.693,10,14.464,8,21.606,14,3.678,2,6.957,4,6.939,4,8.060,5,0.000,0
45,193.140,114,184.914,118,112.877,63,76.266,44,13.789,10,3.027,2,38.824,20,22.116,13,11.804,7,19.781,11,5.158,4,19.269,12,14.208,9,11.237,7
46,184.468,117,166.647,110,54.146,32,78.318,50,4.115,2,3.246,2,24.491,17,28.202,20,19.088,11,12.379,6,11.471,6,0.000,0,6.951,6,23.986,10
47,221.815,128,132.829,83,70.514,42,60.296,40,2.695,2,8.986,4,24.947,17,29.906,17,29.086,20,4.472,3,11.135,7,13.294,8,17.391,9,16.793,8
48,107.674,66,149.964,86,54.233,33,69.413,37,7.468,5,5.490,5,17.448,9,7.475,4,13.483,10,3.089,2,9.834,5,7.808,5,8.147,5,12.459,7
49,120.276,76,163.244,103,52.538,31,45.875,28,8.824,7,5.469,3,17.384,10,4.665,4,5.905,3,6.696,5,3.857,3,5.484,2,4.418,2,14.808,9
50,131.431,81,158.063,96,57.131,36,45.353,30,11.670,8,3.996,2,17.026,13,15.809,10,7.492,5,7.649,6,0.000,0,10.174,6,18.788,12,7.534,5
51,136.583,98,147.954,87,63.701,38,50.162,30,7.832,6,3.338,2,12.035,7,11.507,7,21.685,17,10.220,6,6.102,3,15.700,8,8.082,6,0.000,0
52,175.558,112,143.737,88,63.792,39,65.499,45,19.579,12,13.213,7,37.961,28,13.956,7,17.778,12,24.745,13,3.650,3,6.194,3,0.000,0,17.566,10
53,169.114,110,187.761,115,73.924,46,81.625,48,8.469,6,13.375,10,20.989,16,19.597,13,12.626,9,7.457,5,15.763,9,25.962,18,10.628,10,16.365,12
54,88.708,50,161.241,100,59.214,35,57.667,34,11.950,6,5.592,5,36.939,19,12.689,8,33.375,20,6.880,5,9.434,6,1.937,1,14.176,10,9.776,7
55,112.204,72,135.198,93,45.479,28,33.048,26,9.529,7,12.837,9,4.452,4,9.151,7,21.897,13,2.267,2,0.000,0,2.263,2,0.000,0,3.310,2
