venue,user,year,doy,dow,hour,lon,lat,senti_val
The,ChristiKusic,2014,354,6,7,-79.9965,40.4432,0.000
The,louisbohanon,2015,45,6,6,-79.9967,40.4430,0.000
The,larrylawr,2014,25,6,5,-79.9967,40.4430,0.000
The,louisbohanon,2014,159,0,6,-79.9965,40.4432,0.000
The,louisbohanon,2014,108,5,5,-79.9967,40.4430,0.000
The,tporter4928,2014,283,5,21,-79.9987,40.4429,0.000
The,ScienceMeSexy,2014,289,4,23,-79.9985,40.4429,0.000
The,Pink_Katillac,2014,26,0,0,-79.9985,40.4429,0.000
The,MissAt0micB0mb,2014,33,0,0,-79.9985,40.4429,0.000
The,IPhillyBoy2011,2014,220,5,13,-79.9952,40.4441,0.000
The,J_Anthony_,2014,94,5,14,-79.9961,40.4442,0.000
The,J_Anthony_,2014,52,5,23,-79.9961,40.4442,0.000
The,smilinforlife,2014,136,5,16,-79.9983,40.4429,0.000
The,foxalbiazul,2014,186,6,13,-79.9952,40.4441,0.000
The,SparkDalmatian,2014,187,0,6,-79.9952,40.4441,0.000
The,EmberFoxie,2014,187,0,7,-79.9952,40.4441,0.000
The,SparkDalmatian,2014,187,0,23,-79.9952,40.4441,0.000
The,BlaqLiner,2015,80,6,2,-79.9253,40.4604,0.000
The,BurghJacks,2015,37,5,17,-79.8922,40.4380,0.000
The,kopitarus,2015,116,0,21,-79.9584,40.3953,0.000
The,meowwDesiree,2015,117,1,17,-79.9780,40.4447,0.000
The,xbeautyxtruthx,2015,117,1,21,-79.9531,40.4428,0.000
The,kopitarus,2015,117,1,21,-79.9584,40.3953,0.000
The,jenherczeg,2015,118,2,22,-79.9952,40.4441,0.000
The,kopitarus,2015,119,3,0,-79.9584,40.3953,0.000
The,Twism44,2015,119,3,0,-79.9817,40.4288,-0.175
The,graydusk,2015,119,3,2,-80.0654,40.5008,0.000
The,kopitarus,2015,119,3,23,-79.9584,40.3953,0.000
The,jenherczeg,2015,120,4,4,-79.9952,40.4441,0.000
The,kopitarus,2015,120,4,21,-79.9584,40.3953,0.000
The,EmberFoxie,2015,120,4,22,-79.9531,40.4428,0.000
The,Bkd4691,2015,67,0,2,-79.9842,40.4289,0.000
The,mikebarbaro,2014,67,6,3,-79.9842,40.4289,0.000
The,JasonSudbury,2014,94,5,3,-79.9842,40.4289,0.000
The,philsy28,2014,100,4,23,-79.9842,40.4289,0.000
The,blong0108,2014,150,5,4,-79.9842,40.4289,0.000
The,Zerotangent,2014,110,0,0,-79.9849,40.4288,0.150
The,ValMartyn,2014,222,0,22,-79.9849,40.4288,0.300
The,danpoteste,2014,57,3,2,-79.9849,40.4288,0.004
The,PersephoniA,2014,96,0,22,-79.9849,40.4288,0.202
The,JimFTFD,2014,122,5,21,-79.9849,40.4288,0.150
The,MaloneyTravis,2014,122,5,22,-79.9849,40.4288,0.145
The,Rennagade,2014,83,1,0,-79.9817,40.4288,-0.195
The,JimFTFD,2014,122,5,21,-79.9817,40.4288,-0.195
The,aristotlejulep,2014,141,3,18,-79.9817,40.4288,-0.195
The,alexshenoy,2014,158,6,18,-79.9817,40.4288,-0.195
The,IPhillyBoy2011,2014,150,5,17,-79.9946,40.4192,0.000
The,IPhillyBoy2011,2014,71,3,16,-79.9241,40.4629,0.298
The,IPhillyBoy2011,2014,119,2,14,-79.9241,40.4629,0.298
The,IPhillyBoy2011,2014,120,3,21,-79.9241,40.4629,0.298
The,IPhillyBoy2011,2014,120,3,22,-79.9239,40.4624,0.000
The,IPhillyBoy2011,2014,122,5,5,-79.9239,40.4624,0.000
The,IPhillyBoy2011,2014,123,6,12,-79.9239,40.4624,0.000
The,IPhillyBoy2011,2014,124,0,17,-79.9239,40.4624,0.000
The,IPhillyBoy2011,2014,126,2,0,-79.9239,40.4624,0.000
The,IPhillyBoy2011,2014,126,2,0,-79.9241,40.4629,0.298
The,IPhillyBoy2011,2014,130,6,18,-79.9241,40.4629,0.254
The,IPhillyBoy2011,2014,130,6,22,-79.9239,40.4624,0.000
The,MemoirsOfAGrump,2014,273,2,21,-79.9251,40.4605,0.000
The,fwebmail,2014,204,3,21,-79.9251,40.4605,0.000
The,mrstevegross,2014,209,1,1,-79.9251,40.4605,0.000
The,mmartahus,2014,173,0,3,-79.9251,40.4605,0.000
The,nick_d_rizzo,2014,101,5,2,-79.9251,40.4605,0.000
The,mrstevegross,2014,116,6,22,-79.9251,40.4605,0.000
The,gurujonah,2014,117,0,1,-79.9251,40.4605,0.000
The,ruther44,2014,134,3,0,-79.9251,40.4605,0.000
The,allisonjpizza,2014,134,3,2,-79.9251,40.4605,0.000
The,sonic13oom,2015,31,6,1,-79.9253,40.4604,0.000
The,Pink_Katillac,2014,190,3,0,-79.9254,40.4588,0.000
The,magmccauley,2014,193,6,1,-79.9254,40.4588,0.000
The,Pink_Katillac,2014,187,0,1,-79.9254,40.4588,0.000
The,Pink_Katillac,2014,170,4,23,-79.9254,40.4588,0.000
The,Pink_Katillac,2014,157,5,0,-79.9254,40.4588,0.000
The,Pink_Katillac,2014,149,4,23,-79.9254,40.4588,0.000
The,iamandrewgraham,2015,311,6,21,-80.0446,40.3821,0.000
The,cierrabee,2014,36,3,23,-80.0304,40.4533,0.000
The,sabyreich,2015,301,3,21,-79.9584,40.3953,0.000
The,CLCoxAZ,2015,301,3,23,-80.0003,40.4405,0.000
The,Twism44,2014,320,0,23,-79.8619,40.4678,0.000
The,newyearsbaby68,2014,207,6,21,-80.0041,40.4478,0.000
The,Smeagol_Is_Free,2014,74,6,1,-80.0041,40.4478,0.000
The,SpencerParlow,2014,158,6,2,-80.0041,40.4478,0.000
The,AppleGuru22,2014,95,6,21,-80.0041,40.4478,0.000
The,IPhillyBoy2011,2014,132,1,13,-80.0021,40.4486,0.000
The,IPhillyBoy2011,2014,135,4,12,-79.9995,40.4430,0.000
The,timorlang,2014,223,1,22,-79.9982,40.4523,0.000
The,chucksax,2014,156,4,21,-79.9982,40.4523,0.000
The,baby_sirens,2015,254,5,23,-79.9654,40.4282,0.000
The,baby_sirens,2015,254,5,23,-79.9644,40.4621,0.000
The,IPhillyBoy2011,2014,89,0,5,-79.8985,40.4302,0.000
The,Jessi_said_what,2014,94,5,1,-79.8935,40.4320,0.000
The,kopitarus,2015,234,6,18,-79.9584,40.3953,0.000
The,idreamoftravel,2014,30,4,17,-79.9758,40.4579,0.318
The,bigdawgx2005,2015,76,2,16,-80.0901,40.4182,0.000
The,onikaze,2015,185,6,1,-79.9654,40.4282,0.000
The,G33kyG1rl,2015,185,6,22,-79.9644,40.4621,0.000
The,Bensia3,2015,186,0,4,-80.0075,40.4309,0.000
The,bryan_koval,2015,186,0,15,-79.9487,40.4446,0.000
The,YmAlmansour,2015,187,1,0,-80.0496,40.3888,0.000
The,spliff_smoke,2015,187,1,15,-80.0630,40.5007,0.000
The,spliff_smoke,2015,187,1,15,-80.0591,40.5049,0.000
The,Ktiav_,2015,187,1,22,-79.9644,40.4621,0.000
The,kopitarus,2015,189,3,0,-79.9584,40.3953,0.000
The,5nickerdoodle,2015,189,3,10,-79.9952,40.4441,0.000
The,Tillikum_V,2015,189,3,11,-79.9952,40.4441,0.000
The,JBadger169,2015,189,3,18,-79.9952,40.4441,0.000
The,brexx_nirpaw,2015,189,3,18,-79.9952,40.4441,0.000
The,RCTheFox,2015,189,3,21,-79.9952,40.4441,0.000
The,kopitarus,2015,189,3,22,-79.9584,40.3953,0.000
The,mrstevegross,2015,190,4,0,-79.9253,40.4604,0.000
The,amolkold,2015,190,4,1,-79.9253,40.4604,0.000
The,brexx_nirpaw,2015,190,4,2,-79.9952,40.4441,0.000
The,Bensia3,2015,190,4,3,-80.0075,40.4309,0.000
The,brexx_nirpaw,2015,190,4,13,-79.9952,40.4441,0.000
The,JazLehWolf,2015,190,4,13,-79.9952,40.4441,0.000
The,Fenrari,2015,190,4,14,-79.9952,40.4441,0.000
The,beccaLader,2015,190,4,17,-79.9849,40.4288,0.300
The,taylor_foerster,2015,190,4,18,-79.9849,40.4288,0.300
The,DraakSwifttail,2015,190,4,18,-79.9952,40.4441,0.000
The,RCTheFox,2015,190,4,18,-79.9952,40.4441,0.000
The,kopitarus,2015,190,4,22,-79.9584,40.3953,0.000
The,kopitarus,2015,190,4,23,-79.9584,40.3953,0.000
The,Fenrari,2015,191,5,0,-79.9952,40.4441,0.000
The,brexx_nirpaw,2015,191,5,2,-79.9952,40.4441,0.000
The,lycwolf,2015,191,5,3,-79.9952,40.4441,0.000
The,RCTheFox,2015,191,5,12,-79.9952,40.4441,0.000
The,bigdawgx2005,2015,191,5,12,-80.0901,40.4182,0.000
The,sooper_whit,2015,192,6,0,-79.9753,40.4571,0.000
The,coolsilver,2015,192,6,0,-79.9952,40.4441,0.000
The,Tillikum_V,2015,192,6,1,-79.9952,40.4441,0.000
The,brexx_nirpaw,2015,192,6,2,-79.9952,40.4441,0.000
The,steelman3300,2015,192,6,5,-79.9565,40.4421,0.204
The,Fenrari,2015,192,6,7,-79.9952,40.4441,0.000
The,TornadoLizard,2015,192,6,13,-79.9952,40.4441,0.000
The,Tillikum_V,2015,192,6,19,-79.9952,40.4441,0.000
The,Thea_Mae,2015,192,6,22,-79.9849,40.4288,0.300
The,brexx_nirpaw,2015,192,6,23,-79.9952,40.4441,0.000
The,RCTheFox,2015,193,0,3,-79.9952,40.4441,0.000
The,louisbohanon,2015,193,0,5,-79.9967,40.4430,0.000
The,amandajanekloos,2015,193,0,16,-79.9531,40.4428,0.000
The,lucashoal,2015,193,0,19,-79.9952,40.4441,0.000
The,kopitarus,2015,193,0,23,-79.9584,40.3953,0.000
The,Fenrari,2015,194,1,4,-79.9952,40.4441,0.000
The,Tillikum_V,2015,194,1,4,-79.9952,40.4441,0.000
The,FrangipaniAni,2015,122,6,22,-79.8701,40.4043,0.000
The,sabyreich,2015,296,5,23,-79.9584,40.3953,0.000
The,Preebs,2014,198,4,19,-80.0703,40.4252,0.273
The,Preebs,2014,40,0,22,-80.0703,40.4252,0.273
The,Preebs,2014,140,2,21,-80.0703,40.4252,0.273
The,Preebs,2014,121,4,19,-80.0703,40.4252,0.273
The,ficmacdady,2014,110,0,20,-80.0703,40.3949,0.000
The,ficmacdady,2014,79,4,23,-80.0703,40.3949,0.000
The,IPhillyBoy2011,2014,147,2,0,-80.0740,40.3915,0.223
The,luisamorg,2014,145,0,15,-80.0740,40.3915,0.223
The,athenaXco,2014,107,4,17,-80.0740,40.3915,0.223
The,Schmidtburgh,2014,105,2,15,-80.0740,40.3915,0.277
The,ashkress,2014,103,0,14,-80.0740,40.3915,0.223
The,ficmacdady,2014,102,6,14,-80.0740,40.3915,0.223
The,ficmacdady,2014,98,2,14,-80.0740,40.3915,0.223
The,jcolem47,2015,59,6,2,-80.0248,40.4092,0.000
The,kopitarus,2015,208,1,21,-79.9584,40.3953,0.000
The,Focslain,2014,29,3,22,-80.0255,40.4011,0.000
The,lmchirillo,2014,80,5,23,-80.0041,40.4478,0.000
The,MomAteMyGod,2014,92,3,22,-80.0041,40.4478,0.000
The,superfro432,2014,109,6,23,-80.0041,40.4478,0.000
The,budherrodjr,2014,158,6,19,-80.0041,40.4478,0.000
The,genericscissors,2014,278,0,0,-79.9868,40.4492,0.000
The,lostmethod1,2014,319,6,3,-79.9868,40.4492,0.000
The,ChrisAltice,2014,305,6,21,-79.9868,40.4492,0.143
The,alexstolar,2014,340,6,0,-79.9868,40.4492,0.000
The,JennaxLynne,2014,354,6,23,-79.9868,40.4492,0.000
The,brutalfrogz,2014,119,2,23,-79.9868,40.4492,0.000
The,M3gannn__,2014,123,6,23,-79.9868,40.4492,0.000
The,IPhillyBoy2011,2014,135,4,12,-79.9868,40.4492,0.000
The,mike44red,2014,305,6,18,-79.9829,40.4515,0.000
The,wesbechtel,2014,341,0,18,-79.9833,40.4515,0.000
The,meowwDesiree,2014,202,1,22,-79.9780,40.4447,0.000
The,meowwDesiree,2014,212,4,23,-79.9780,40.4447,0.000
The,H0tNFun,2014,214,6,19,-79.9768,40.4448,0.000
The,meowwDesiree,2014,218,3,21,-79.9780,40.4447,0.000
The,meowwDesiree,2014,225,3,22,-79.9780,40.4447,0.000
The,meowwDesiree,2014,286,1,15,-79.9780,40.4447,0.000
The,meowwDesiree,2014,303,4,14,-79.9780,40.4447,0.000
The,Tillikum_V,2015,194,1,1,-79.9952,40.4441,0.000
The,kopitarus,2015,195,2,1,-79.9584,40.3953,0.000
The,OberleyCreative,2015,144,0,16,-79.9176,40.4831,0.000
The,spliff_smoke,2015,187,1,15,-80.0591,40.5049,0.000
The,spliff_smoke,2015,187,1,15,-80.0630,40.5007,0.000
The,Ktiav_,2015,187,1,22,-79.9644,40.4621,0.000
The,kopitarus,2015,189,3,0,-79.9584,40.3953,0.000
The,5nickerdoodle,2015,189,3,10,-79.9952,40.4441,0.000
The,Tillikum_V,2015,189,3,11,-79.9952,40.4441,0.000
The,JBadger169,2015,189,3,18,-79.9952,40.4441,0.000
The,brexx_nirpaw,2015,189,3,18,-79.9952,40.4441,0.000
The,RCTheFox,2015,189,3,21,-79.9952,40.4441,0.000
The,kopitarus,2015,189,3,22,-79.9584,40.3953,0.000
The,mrstevegross,2015,190,4,0,-79.9253,40.4604,0.000
The,amolkold,2015,190,4,1,-79.9253,40.4604,0.000
The,brexx_nirpaw,2015,190,4,2,-79.9952,40.4441,0.000
The,Bensia3,2015,190,4,3,-80.0075,40.4309,0.000
The,brexx_nirpaw,2015,190,4,13,-79.9952,40.4441,0.000
The,JazLehWolf,2015,190,4,13,-79.9952,40.4441,0.000
The,Fenrari,2015,190,4,14,-79.9952,40.4441,0.000
The,beccaLader,2015,190,4,17,-79.9849,40.4288,0.300
The,taylor_foerster,2015,190,4,18,-79.9849,40.4288,0.300
The,DraakSwifttail,2015,190,4,18,-79.9952,40.4441,0.000
The,RCTheFox,2015,190,4,18,-79.9952,40.4441,0.000
The,kopitarus,2015,190,4,22,-79.9584,40.3953,0.000
The,kopitarus,2015,190,4,23,-79.9584,40.3953,0.000
The,Fenrari,2015,191,5,0,-79.9952,40.4441,0.000
The,brexx_nirpaw,2015,191,5,2,-79.9952,40.4441,0.000
The,lycwolf,2015,191,5,3,-79.9952,40.4441,0.000
The,RCTheFox,2015,191,5,12,-79.9952,40.4441,0.000
The,bigdawgx2005,2015,191,5,12,-80.0901,40.4182,0.000
The,sooper_whit,2015,192,6,0,-79.9753,40.4571,0.000
The,coolsilver,2015,192,6,0,-79.9952,40.4441,0.000
The,Tillikum_V,2015,192,6,1,-79.9952,40.4441,0.000
The,brexx_nirpaw,2015,192,6,2,-79.9952,40.4441,0.000
The,steelman3300,2015,192,6,5,-79.9565,40.4421,0.204
The,Fenrari,2015,192,6,7,-79.9952,40.4441,0.000
The,TornadoLizard,2015,192,6,13,-79.9952,40.4441,0.000
The,Tillikum_V,2015,192,6,19,-79.9952,40.4441,0.000
The,Thea_Mae,2015,192,6,22,-79.9849,40.4288,0.300
The,brexx_nirpaw,2015,192,6,23,-79.9952,40.4441,0.000
The,RCTheFox,2015,193,0,3,-79.9952,40.4441,0.000
The,louisbohanon,2015,193,0,5,-79.9967,40.4430,0.000
The,amandajanekloos,2015,193,0,16,-79.9531,40.4428,0.000
The,lucashoal,2015,193,0,19,-79.9952,40.4441,0.000
The,kopitarus,2015,193,0,23,-79.9584,40.3953,0.000
The,Fenrari,2015,194,1,4,-79.9952,40.4441,0.000
The,Tillikum_V,2015,194,1,4,-79.9952,40.4441,0.000
The,brexx_nirpaw,2015,194,1,13,-79.9952,40.4441,0.000
The,kopitarus,2015,194,1,21,-79.9584,40.3953,0.000
The,coderjwc,2015,194,1,18,-80.0367,40.3819,0.000
The,dlove170,2015,194,1,22,-79.9959,40.4394,0.000
The,kopitarus,2015,195,2,21,-79.9584,40.3953,0.000
The,RandPitt,2015,196,3,16,-79.8671,40.3891,0.000
The,kopitarus,2015,198,5,0,-79.9584,40.3953,0.000
The,Bensia3,2015,197,4,3,-80.0075,40.4309,0.000
The,YmAlmansour,2015,198,5,1,-79.9654,40.4282,0.000
The,LanceWoolheater,2014,276,5,2,-79.9025,40.4005,0.000
The,LanceWoolheater,2014,302,3,19,-79.9025,40.4005,0.000
The,LanceWoolheater,2014,310,4,18,-79.9025,40.4005,0.000
The,IPhillyBoy2011,2014,141,3,16,-79.8975,40.4131,0.000
The,pcperini,2014,172,6,23,-79.9682,40.4292,0.300
The,kopitarus,2015,73,6,2,-79.9584,40.3953,0.000
The,YmAlmansour,2015,73,6,23,-80.0496,40.3888,0.000
The,DeltaAgent,2015,73,6,21,-79.9644,40.4621,0.000
The,kristianaaaaaa_,2015,73,6,23,-80.0075,40.4309,0.000
The,rossdepanfilis,2015,74,0,1,-79.9654,40.4282,0.000
The,Bensia3,2015,74,0,2,-80.0075,40.4309,0.000
The,unvegan,2014,339,5,1,-79.8913,40.4528,0.222
The,Zhed88,2014,187,0,0,-79.9946,40.4443,0.204
The,F____ck,2014,169,3,0,-79.9946,40.4443,0.247
The,kopitarus,2015,93,5,21,-79.9584,40.3953,0.000
The,JIMMYT_MCFC,2014,108,5,13,-80.0933,40.4314,0.000
The,kopitarus,2015,234,6,18,-79.9584,40.3953,0.000
The,kopitarus,2015,175,3,22,-79.9584,40.3953,0.000
The,sabyreich,2015,292,1,22,-79.9584,40.3953,0.000
The,timorlang,2014,223,1,22,-79.9982,40.4523,0.000
The,chucksax,2014,156,4,21,-79.9982,40.4523,0.000
The,joncmu,2014,184,4,22,-80.0006,40.4431,0.000
The,joncmu,2014,172,6,19,-80.0006,40.4431,0.000
The,joncmu,2014,158,6,17,-80.0006,40.4431,0.000
The,Pink_Katillac,2014,143,5,23,-79.9985,40.4429,0.000
The,sooper_whit,2014,127,3,0,-79.9985,40.4429,0.000
The,kopitarus,2015,226,5,21,-79.9584,40.3953,0.000
The,Charizardi,2014,343,2,1,-79.9985,40.4429,0.000
The,smilinforlife,2014,66,5,18,-79.9983,40.4429,0.000
The,IPhillyBoy2011,2014,88,6,13,-79.9985,40.4429,0.000
The,joncmu,2014,186,6,18,-79.9801,40.4538,0.000
The,meowwDesiree,2014,282,4,14,-79.9780,40.4447,0.000
The,Gen_evie_ve,2014,31,5,1,-79.9868,40.4492,0.000
The,KristaAyne,2014,136,5,0,-79.9868,40.4492,0.182
The,superfro432,2014,126,2,23,-79.9868,40.4492,0.000
The,LostInParadise6,2014,132,1,23,-79.9868,40.4492,-0.231
The,akaJohnWayne,2014,130,6,0,-79.9868,40.4492,0.000
The,eathlynmaire,2014,119,2,23,-79.9868,40.4492,0.047
The,acetwo2k5,2014,101,5,23,-79.9868,40.4492,0.000
The,Ntovorni,2015,290,6,15,-80.0348,40.3959,0.000
The,fwebmail,2014,204,3,22,-79.9644,40.4621,0.000
The,RossKressel,2014,220,5,23,-79.9644,40.4621,0.000
The,MomAteMyGod,2014,245,2,0,-79.9644,40.4621,0.000
The,chelsea_faust,2014,273,2,23,-79.9644,40.4621,0.000
The,Rzakooleevol5,2014,335,1,1,-79.9644,40.4621,0.000
The,spots87,2014,350,2,22,-79.9644,40.4621,0.000
The,BurghJacks,2015,55,2,18,-79.9644,40.4621,0.000
The,stephhohhnee,2014,39,6,20,-79.9644,40.4621,0.000
The,AtoZcomm,2014,43,3,22,-79.9644,40.4621,0.000
The,spode411,2014,48,1,23,-79.9644,40.4621,0.000
The,NickBrown430,2014,120,3,22,-79.9644,40.4621,0.000
The,cactus901,2014,61,0,0,-79.9644,40.4621,0.000
The,chrkim87,2014,61,0,0,-79.9644,40.4621,0.000
The,mrstevegross,2014,164,5,23,-79.9644,40.4621,0.000
The,PensBoozeAnger,2014,95,6,16,-79.9644,40.4621,0.000
The,JP_Worley,2014,151,6,18,-79.9644,40.4621,0.000
The,grifftyne,2014,127,3,17,-79.9644,40.4621,0.000
The,DeltaAgent,2014,124,0,20,-79.9644,40.4621,0.000
The,lauramoldham,2014,95,6,16,-79.9644,40.4621,0.000
The,gregpruitt,2014,93,4,23,-79.9644,40.4621,0.000
The,jinindy,2014,89,0,16,-79.9644,40.4621,0.000
The,clwatt3,2014,81,6,22,-79.9644,40.4621,0.000
The,sabyreich,2015,290,6,18,-79.9584,40.3953,0.000
The,IPhillyBoy2011,2014,156,4,12,-79.9962,40.4443,0.000
The,EriksAngel15,2014,172,6,11,-79.9952,40.4441,0.000
The,DraakSwifttail,2014,187,0,2,-79.9967,40.4430,0.000
The,benmedina,2014,205,4,5,-79.9967,40.4430,0.000
The,louisbohanon,2014,312,6,6,-79.9967,40.4430,0.000
The,sethhoova,2014,341,0,3,-79.9967,40.4430,0.000
The,AlexInPitt,2014,45,5,7,-79.9965,40.4432,0.000
The,chelseyhoughton,2014,61,0,2,-79.9967,40.4430,0.000
The,louisbohanon,2014,164,5,7,-79.9965,40.4432,0.000
The,louisbohanon,2014,157,5,6,-79.9965,40.4432,0.000
The,louisbohanon,2014,152,0,6,-79.9965,40.4432,0.000
The,louisbohanon,2014,128,4,4,-79.9967,40.4430,0.000
The,mwilsonua,2014,123,6,3,-79.9967,40.4430,0.000
The,J_Anthony_,2014,24,5,22,-79.9961,40.4442,0.000
The,J_Anthony_,2014,122,5,17,-79.9961,40.4442,0.000
The,harleybadger,2014,188,1,4,-79.9946,40.4443,0.204
The,spy_277,2014,286,1,17,-79.9925,40.4440,0.000
The,SniffWuff,2014,184,4,15,-79.9952,40.4441,0.000
The,jerseyajs,2014,82,0,1,-79.9952,40.4441,0.000
The,rrcrazy,2014,130,6,14,-79.9952,40.4441,0.000
The,newyearsbaby68,2014,207,6,21,-80.0041,40.4478,0.000
The,Smeagol_Is_Free,2014,74,6,1,-80.0041,40.4478,0.000
The,SpencerParlow,2014,158,6,2,-80.0041,40.4478,0.000
The,AppleGuru22,2014,95,6,21,-80.0041,40.4478,0.000
The,KristaAyne,2014,136,5,0,-79.9868,40.4492,0.182
The,superfro432,2014,126,2,23,-79.9868,40.4492,0.000
The,LostInParadise6,2014,132,1,23,-79.9868,40.4492,-0.231
The,akaJohnWayne,2014,130,6,0,-79.9868,40.4492,0.000
The,eathlynmaire,2014,119,2,23,-79.9868,40.4492,0.047
The,acetwo2k5,2014,101,5,23,-79.9868,40.4492,0.000
The,Ntovorni,2015,290,6,15,-80.0348,40.3959,0.000
The,fwebmail,2014,204,3,22,-79.9644,40.4621,0.000
The,RossKressel,2014,220,5,23,-79.9644,40.4621,0.000
The,MomAteMyGod,2014,245,2,0,-79.9644,40.4621,0.000
The,chelsea_faust,2014,273,2,23,-79.9644,40.4621,0.000
The,Rzakooleevol5,2014,335,1,1,-79.9644,40.4621,0.000
The,spots87,2014,350,2,22,-79.9644,40.4621,0.000
The,BurghJacks,2015,55,2,18,-79.9644,40.4621,0.000
The,stephhohhnee,2014,39,6,20,-79.9644,40.4621,0.000
The,AtoZcomm,2014,43,3,22,-79.9644,40.4621,0.000
The,spode411,2014,48,1,23,-79.9644,40.4621,0.000
The,NickBrown430,2014,120,3,22,-79.9644,40.4621,0.000
The,cactus901,2014,61,0,0,-79.9644,40.4621,0.000
The,chrkim87,2014,61,0,0,-79.9644,40.4621,0.000
The,mrstevegross,2014,164,5,23,-79.9644,40.4621,0.000
The,PensBoozeAnger,2014,95,6,16,-79.9644,40.4621,0.000
The,JP_Worley,2014,151,6,18,-79.9644,40.4621,0.000
The,grifftyne,2014,127,3,17,-79.9644,40.4621,0.000
The,DeltaAgent,2014,124,0,20,-79.9644,40.4621,0.000
The,lauramoldham,2014,95,6,16,-79.9644,40.4621,0.000
The,gregpruitt,2014,93,4,23,-79.9644,40.4621,0.000
The,jinindy,2014,89,0,16,-79.9644,40.4621,0.000
The,clwatt3,2014,81,6,22,-79.9644,40.4621,0.000
The,sabyreich,2015,290,6,18,-79.9584,40.3953,0.000
The,NODSOLDIERGIRL,2015,290,6,4,-80.0121,40.4421,0.000
The,Charizardi,2014,343,2,1,-79.9985,40.4429,0.000
The,smilinforlife,2014,66,5,18,-79.9983,40.4429,0.000
The,IPhillyBoy2011,2014,88,6,13,-79.9985,40.4429,0.000
The,DBaker513,2014,53,6,3,-80.0012,40.4420,0.000
The,MomAteMyGod,2014,160,1,22,-80.0041,40.4478,0.000
The,jlppimb,2014,306,0,20,-80.0041,40.4478,0.000
The,priestp1,2014,173,0,0,-80.0041,40.4478,0.000
The,mike8120,2014,159,0,1,-80.0041,40.4478,0.000
The,YmAlmansour,2014,162,3,18,-80.0496,40.3888,0.000
The,wandercapture,2014,331,4,0,-80.0496,40.3888,0.000
The,kristianaaaaaa_,2015,38,6,0,-80.0496,40.3888,0.000
The,YmAlmansour,2015,41,2,23,-80.0496,40.3888,0.000
The,spots87,2014,115,5,20,-80.0496,40.3888,0.000
The,kopitarus,2015,235,0,15,-79.9584,40.3953,0.000
The,kirbypuckett,2014,39,6,21,-79.9794,40.4287,0.000
The,philsy28,2014,100,4,23,-79.9842,40.4289,0.000
The,Bkd4691,2015,67,0,2,-79.9842,40.4289,0.000
The,mikebarbaro,2014,67,6,3,-79.9842,40.4289,0.000
The,JasonSudbury,2014,94,5,3,-79.9842,40.4289,0.000
The,blong0108,2014,150,5,4,-79.9842,40.4289,0.000
The,Zerotangent,2014,110,0,0,-79.9849,40.4288,0.150
The,ValMartyn,2014,222,0,22,-79.9849,40.4288,0.300
The,danpoteste,2014,57,3,2,-79.9849,40.4288,0.004
The,PersephoniA,2014,96,0,22,-79.9849,40.4288,0.202
The,JimFTFD,2014,122,5,21,-79.9849,40.4288,0.150
The,MaloneyTravis,2014,122,5,22,-79.9849,40.4288,0.145
The,Rennagade,2014,83,1,0,-79.9817,40.4288,-0.195
The,JimFTFD,2014,122,5,21,-79.9817,40.4288,-0.195
The,aristotlejulep,2014,141,3,18,-79.9817,40.4288,-0.195
The,alexshenoy,2014,158,6,18,-79.9817,40.4288,-0.195
The,baby_sirens,2015,299,1,16,-79.9152,40.4081,0.000
The,IPhillyBoy2011,2014,132,1,13,-80.0021,40.4486,0.000
The,sabyreich,2015,299,1,21,-79.9584,40.3953,0.000
The,nikki412,2014,214,6,22,-80.0048,40.4529,0.000
The,DConMan,2014,116,6,15,-80.0048,40.4531,0.000
The,S_alkahlan,2015,66,6,4,-79.9654,40.4282,0.000
The,msaldamando,2014,94,5,23,-79.9654,40.4282,0.000
The,kopitarus,2015,247,5,21,-79.9584,40.3953,0.000
The,Shammpoop,2014,82,0,3,-79.9842,40.4289,0.000
The,kopitarus,2015,81,0,21,-79.9584,40.3953,0.000
The,Osurockerball08,2015,82,1,2,-79.9584,40.4457,0.000
The,kopitarus,2015,84,3,21,-79.9584,40.3953,0.000
The,kopitarus,2015,85,4,21,-79.9584,40.3953,0.000
The,twinnerdos,2015,87,6,18,-79.8701,40.4043,0.000
The,MomAteMyGod,2015,88,0,0,-79.9534,40.4641,0.000
The,Twism44,2015,88,0,2,-80.0003,40.4405,0.000
The,timparenti,2015,238,3,16,-79.9435,40.4422,0.000
The,kopitarus,2015,238,3,21,-79.9584,40.3953,0.000
The,Ktiav_,2015,239,4,18,-80.0034,40.4394,0.000
The,BrunoRavel,2015,239,4,18,-79.9829,40.4515,0.000
The,kopitarus,2015,240,5,21,-79.9584,40.3953,0.000
The,kopitarus,2015,241,6,1,-79.9584,40.3953,0.000
The,ifalasy,2015,241,6,2,-79.9654,40.4282,0.000
The,kirbypuckett,2015,241,6,22,-79.8701,40.4043,0.000
The,iamandrewgraham,2015,241,6,22,-79.9644,40.4621,0.000
The,oliverroy48,2015,242,0,20,-79.9833,40.4288,0.000
The,SunStarrMEdia,2015,242,0,20,-79.9522,40.4487,0.000
The,kopitarus,2015,242,0,21,-79.9584,40.3953,0.000
The,louisbohanon,2015,243,1,13,-80.0348,40.3959,0.000
The,kopitarus,2015,243,1,21,-79.9584,40.3953,0.000
