venue,user,year,doy,dow,hour,lon,lat,senti_val
Theme,BobbyOBobby,2014,74,6,21,-79.9838,40.3649,0.000
Theme,BobbyOBobby,2014,171,5,0,-79.9838,40.3649,0.000
Theme,BobbyOBobby,2014,144,6,20,-79.9838,40.3649,0.000
Theme,BobbyOBobby,2014,146,1,18,-79.9838,40.3649,0.000
Theme,BobbyOBobby,2014,74,6,21,-79.9838,40.3649,0.000
Theme,BobbyOBobby,2014,171,5,0,-79.9838,40.3649,0.000
Theme,BobbyOBobby,2014,144,6,20,-79.9838,40.3649,0.000
Theme,BobbyOBobby,2014,146,1,18,-79.9838,40.3649,0.000
Family Links,snark_princess,2015,48,2,18,-79.8653,40.4321,0.000
Family Links,snark_princess,2015,50,4,14,-79.8653,40.4321,0.000
Eastern Area Wilkinsburg Station,jkrah,2014,143,5,21,-79.8734,40.4446,0.000
Eastern Area Wilkinsburg Station,Engine195truck,2014,39,6,4,-79.8734,40.4446,0.000
Eastern Area Wilkinsburg Station,Engine195truck,2014,39,6,4,-79.8734,40.4446,0.000
Eastern Area Wilkinsburg Station,Engine195truck,2014,39,6,4,-79.8734,40.4446,0.000
Eastern Area Wilkinsburg Station,jkrah,2014,143,5,21,-79.8734,40.4446,0.000
David L. Lawrence Convention Center Water Pathway,Fenrari,2015,193,0,19,-79.9956,40.4444,0.000
David L. Lawrence Convention Center Water Pathway,Fenrari,2015,193,0,19,-79.9956,40.4444,0.000
David L. Lawrence Convention Center Water Pathway,Fenrari,2015,193,0,19,-79.9956,40.4444,0.000
Dukes Pub and Pizza,denny86,2015,55,2,23,-80.0369,40.3764,0.000
Dukes Pub and Pizza,denny86,2014,32,6,1,-80.0369,40.3764,0.000
Dukes Pub and Pizza,denny86,2014,60,6,0,-80.0369,40.3764,0.000
Dukes Pub and Pizza,kirbypuckett,2015,87,6,23,-80.0369,40.3764,0.000
Dukes Pub and Pizza,kirbypuckett,2015,87,6,23,-80.0369,40.3764,0.000
Dukes Pub and Pizza,kirbypuckett,2015,87,6,23,-80.0369,40.3764,0.000
Dead Baby Circle,sethhoova,2014,75,0,18,-79.9958,40.4431,-0.462
Allegheny General Hospital,brews_tavern,2015,66,6,18,-80.0033,40.4571,0.000
Allegheny General Hospital,71dazejay66,2014,36,3,15,-80.0033,40.4571,0.000
Allegheny General Hospital,nous211,2014,62,1,19,-80.0033,40.4571,0.000
Allegheny General Hospital,Nikki14ek,2014,66,5,16,-80.0033,40.4571,0.000
Allegheny General Hospital,tommydailey,2014,184,4,20,-80.0033,40.4571,0.000
Allegheny General Hospital,rludwicz,2015,31,6,15,-80.0033,40.4571,0.000
Allegheny General Hospital,wvmedicgirl,2015,69,2,18,-80.0033,40.4571,0.000
Allegheny General Hospital,tommydailey,2014,133,2,1,-80.0033,40.4571,0.000
Allegheny General Hospital,jay6375,2014,221,6,20,-80.0033,40.4571,0.000
Allegheny General Hospital,IPhillyBoy2011,2014,108,5,23,-80.0033,40.4571,0.000
Allegheny General Hospital,genericscissors,2014,193,6,22,-80.0033,40.4571,0.000
Allegheny General Hospital,promochrisc,2014,323,3,10,-80.0033,40.4571,0.000
Allegheny General Hospital,reactmatt,2014,226,4,1,-80.0033,40.4571,0.000
Allegheny General Hospital,reactmatt,2014,309,3,1,-80.0033,40.4571,0.000
Allegheny General Hospital,keenerfire,2014,60,6,5,-80.0033,40.4571,0.000
Allegheny General Hospital,WePhelps,2014,71,3,13,-80.0033,40.4571,0.000
Allegheny General Hospital,clarinetchick,2015,135,5,22,-80.0033,40.4571,0.000
Turn 20,jordank66,2014,201,0,13,-79.9337,40.4342,0.000
Rohrich Mazda PGH,danpoteste,2014,69,1,22,-80.0300,40.3975,0.000
Rohrich Mazda PGH,danpoteste,2014,69,1,22,-80.0300,40.3975,0.000
