date,tweet_n
2014-11-04,5625
2014-11-05,6100
2014-11-06,5799
2014-11-07,5271
2014-11-08,6468
2014-11-09,1404
2014-11-10,3632
2014-11-11,6198
2014-11-12,5880
2014-11-13,6516
2014-11-14,5519
2014-11-15,6344
2014-11-16,6539
2014-11-17,6110
2014-11-18,7301
2014-11-19,4991
2014-11-20,618
2014-11-21,6472
2014-11-22,7826
2014-11-23,6300
2014-11-24,7457
2014-11-25,8128
2014-11-26,6587
2014-11-27,7116
2014-11-28,5511
2014-11-29,6621
2014-11-30,7604
2014-12-01,6163
2014-12-02,7129
2014-12-03,7005
2014-12-04,6785
2014-12-05,6456
2014-12-06,7019
2014-12-07,8167
2014-12-08,6772
2014-12-09,6906
2014-12-10,7206
2014-12-11,6261
2014-12-12,463
2014-12-13,2418
2014-12-14,6990
2014-12-15,6419
2014-12-16,6613
2014-12-17,6532
2014-12-18,6383
2014-12-19,5893
2014-12-20,6017
2014-12-21,7916
2014-12-22,5897
2014-12-23,6553
2014-12-24,6505
2014-12-25,7126
2014-12-26,5781
2014-12-27,6252
2014-12-28,7710
2014-12-29,7943
2014-12-30,5668
2014-12-31,6162
2015-01-01,6764
2015-01-02,7132
2015-01-03,7792
2015-01-04,10138
2015-01-05,7577
2015-01-06,6653
2015-01-07,7278
2015-01-08,7970
2015-01-09,6666
2015-01-10,6848
2015-01-11,7351
2015-01-12,6785
2015-01-13,7609
2015-01-14,6576
2015-01-15,7012
2015-01-16,6411
2015-01-17,5657
2015-01-18,7121
2015-01-19,6890
2015-01-20,6467
2015-01-21,7499
2015-01-22,6438
2015-01-23,6055
2015-01-24,5865
2015-01-25,6064
2015-01-26,6712
2015-01-27,6318
2015-01-28,6352
2015-01-29,6477
2015-01-30,5875
2015-01-31,6111
2015-02-01,7364
2015-02-02,10313
2015-02-03,5957
2015-02-04,5602
2015-02-05,5864
2015-02-06,5943
2015-02-07,6542
2015-02-08,6420
2015-02-09,7998
2015-02-10,5962
2015-02-11,5919
2015-02-12,6532
2015-02-13,6447
2015-02-14,7055
2015-02-15,6420
2015-02-16,7317
2015-02-17,6719
2015-02-18,6659
2015-02-19,7320
2015-02-20,6918
2015-02-21,7035
2015-02-22,6934
2015-02-23,7138
2015-02-24,5974
2015-02-25,5965
2015-02-26,6069
2015-02-27,6807
2015-02-28,5649
2015-03-01,6302
2015-03-02,6298
2015-03-03,6102
2015-03-04,5916
2015-03-05,7284
2015-03-06,6098
2015-03-07,6100
2015-03-08,6144
2015-03-09,5686
2015-03-10,6392
2015-03-11,6299
2015-03-12,6511
2015-03-13,5005
2015-03-14,6014
2015-03-15,6696
2015-03-16,6071
2015-03-17,6102
2015-03-18,6193
2015-03-19,7363
2015-03-20,7075
2015-03-21,5876
2015-03-22,6546
2015-03-23,2293
2015-03-24,0
2015-03-25,4717
2015-03-26,5808
2015-03-27,2917
2015-03-28,2031
2015-03-29,6402
2015-03-30,6565
2015-03-31,2768
2015-04-01,1743
2015-04-02,5937
2015-04-03,5409
2015-04-04,6227
2015-04-05,6822
2015-04-06,2237
2015-04-07,3635
2015-04-08,6689
2015-04-09,6419
2015-04-10,6333
2015-04-11,6745
2015-04-12,6524
2015-04-13,6690
2015-04-14,5985
2015-04-15,6468
2015-04-16,7128
2015-04-17,6812
2015-04-18,7193
2015-04-19,7996
2015-04-20,6892
2015-04-21,7284
2015-04-22,7598
2015-04-23,7254
2015-04-24,6995
2015-04-25,7315
2015-04-26,6733
2015-04-27,5199
2015-04-28,1662
2015-04-29,1550
2015-04-30,1499
2015-05-01,1741
2015-05-02,1907
2015-05-03,1779
2015-05-04,1295
2015-05-05,750
2015-05-06,0
2015-05-07,322
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,952
2015-05-12,1372
2015-05-13,759
2015-05-14,463
2015-05-15,1209
2015-05-16,1579
2015-05-17,1504
2015-05-18,1183
2015-05-19,354
2015-05-20,366
2015-05-21,1263
2015-05-22,1518
2015-05-23,1629
2015-05-24,1415
2015-05-25,1199
2015-05-26,1234
2015-05-27,0
2015-05-28,0
2015-05-29,22
2015-05-30,0
2015-05-31,1220
2015-06-01,1162
2015-06-02,1125
2015-06-03,1070
2015-06-04,1237
2015-06-05,1337
2015-06-06,1593
2015-06-07,1679
2015-06-08,1257
2015-06-09,1178
2015-06-10,1125
2015-06-11,845
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,800
2015-06-16,1069
2015-06-17,1216
2015-06-18,1241
2015-06-19,1230
2015-06-20,1471
2015-06-21,1375
2015-06-22,1175
2015-06-23,1177
2015-06-24,1203
2015-06-25,1382
2015-06-26,1615
2015-06-27,1688
2015-06-28,1504
2015-06-29,1406
2015-06-30,1333
2015-07-01,1425
2015-07-02,1378
2015-07-03,1574
2015-07-04,1704
2015-07-05,1778
2015-07-06,1259
2015-07-07,1352
2015-07-08,1404
2015-07-09,1779
2015-07-10,1919
2015-07-11,2387
2015-07-12,2080
2015-07-13,1839
2015-07-14,1185
2015-07-15,1272
2015-07-16,1391
2015-07-17,1405
2015-07-18,1660
2015-07-19,1493
2015-07-20,1259
2015-07-21,1323
2015-07-22,1274
2015-07-23,1495
2015-07-24,1575
2015-07-25,1767
2015-07-26,1630
2015-07-27,1303
2015-07-28,1347
2015-07-29,1342
2015-07-30,1388
2015-07-31,468
2015-08-01,0
2015-08-02,500
2015-08-03,1652
2015-08-04,1390
2015-08-05,1312
2015-08-06,1399
2015-08-07,1553
2015-08-08,1831
2015-08-09,1469
2015-08-10,1370
2015-08-11,1205
2015-08-12,1270
2015-08-13,1267
2015-08-14,1367
2015-08-15,960
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,1438
2015-08-22,1613
2015-08-23,1808
2015-08-24,1425
2015-08-25,1424
2015-08-26,1348
2015-08-27,1315
2015-08-28,1526
2015-08-29,1767
2015-08-30,1564
2015-08-31,1269
2015-09-01,1231
2015-09-02,1243
2015-09-03,1417
2015-09-04,1642
2015-09-05,1802
2015-09-06,1604
2015-09-07,1444
2015-09-08,1163
2015-09-09,1085
2015-09-10,1418
2015-09-11,1683
2015-09-12,1733
2015-09-13,1616
2015-09-14,1361
2015-09-15,1434
2015-09-16,1360
2015-09-17,1486
2015-09-18,1492
2015-09-19,1643
2015-09-20,1967
2015-09-21,1392
2015-09-22,1286
2015-09-23,1324
2015-09-24,1385
2015-09-25,1263
2015-09-26,1501
2015-09-27,1732
2015-09-28,1254
2015-09-29,1361
2015-09-30,1279
2015-10-01,1402
2015-10-02,1665
2015-10-03,1526
2015-10-04,1548
2015-10-05,1071
2015-10-06,680
2015-10-07,1275
2015-10-08,1752
2015-10-09,1378
2015-10-10,1863
2015-10-11,1530
2015-10-12,1351
2015-10-13,1385
2015-10-14,1153
2015-10-15,1351
2015-10-16,1426
2015-10-17,1646
2015-10-18,1789
2015-10-19,1237
2015-10-20,1447
2015-10-21,1280
2015-10-22,1405
2015-10-23,1588
2015-10-24,1616
2015-10-25,1522
2015-10-26,1288
2015-10-27,1173
2015-10-28,1008
2015-10-29,1402
2015-10-30,1550
2015-10-31,1574
2015-11-01,1984
2015-11-02,1184
2015-11-03,1215
2015-11-04,1167
2015-11-05,1386
2015-11-06,1365
2015-11-07,1662
2015-11-08,1856
