,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
how,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
70,218.764,140,192.976,111,163.187,102,70.868,43,113.486,67,41.901,26,41.378,27,26.375,15,8.773,5,14.466,12,11.022,8,17.596,12,25.639,16,7.445,5
71,216.188,143,138.729,95,189.434,127,105.059,68,272.945,172,63.587,36,77.150,51,24.715,16,11.214,7,12.612,8,15.124,11,18.426,10,19.824,14,10.861,9
72,199.543,121,159.890,100,223.626,140,78.994,49,179.564,114,29.978,20,94.625,59,14.256,9,8.225,6,18.371,11,7.090,4,24.416,16,11.701,6,10.826,6
73,179.276,113,176.786,109,174.751,115,88.507,59,245.726,143,60.856,36,22.692,14,2.827,2,10.513,6,24.864,14,9.029,4,5.173,4,47.037,28,19.302,13
74,200.816,128,163.264,102,160.921,103,111.408,70,113.831,76,38.270,21,38.811,26,14.951,8,33.434,25,13.522,8,11.711,8,22.448,10,20.148,9,29.013,19
75,162.463,97,168.776,97,162.040,94,101.374,59,26.653,21,22.284,16,48.281,29,17.786,11,37.549,18,15.425,9,7.371,5,10.728,8,15.227,12,1.419,1
76,112.947,76,144.297,96,110.594,70,121.437,70,13.069,10,22.912,15,15.031,10,11.546,6,5.888,4,4.818,4,3.015,3,18.171,11,4.686,3,3.411,3
77,71.577,44,100.494,59,53.663,35,60.625,35,16.125,12,1.644,1,0.000,0,17.016,14,21.610,12,2.391,1,0.000,0,1.698,1,21.590,10,0.000,0
78,48.584,30,47.433,26,34.143,21,18.413,12,15.667,11,2.524,2,0.000,0,11.068,8,10.160,5,0.000,0,0.000,0,0.000,0,4.496,2,1.612,1
79,39.384,24,22.811,13,10.409,7,9.634,6,5.032,3,0.000,0,0.000,0,6.736,4,7.821,4,0.000,0,2.331,2,0.000,0,11.624,8,0.000,0
80,21.079,14,11.336,9,5.661,3,15.008,8,0.000,0,0.000,0,3.932,2,0.000,0,3.900,2,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
81,8.989,6,15.376,9,6.799,4,8.436,3,5.926,4,6.240,5,0.000,0,0.000,0,1.233,1,1.158,1,6.607,5,0.000,0,2.502,2,0.000,0
82,27.184,20,16.086,9,6.074,5,15.817,10,4.518,3,30.846,24,0.000,0,0.000,0,0.000,0,1.362,1,0.000,0,0.000,0,2.938,2,0.000,0
83,139.838,88,26.183,17,16.452,8,16.764,9,9.812,5,2.395,2,6.214,4,0.000,0,5.812,4,0.000,0,2.956,1,7.878,6,0.000,0,5.812,2
84,192.066,126,53.529,32,50.065,33,38.788,19,34.769,26,20.354,12,15.127,10,2.388,2,1.841,1,0.000,0,5.866,4,7.493,5,2.316,2,11.514,6
85,256.821,148,106.473,61,42.511,26,22.717,14,19.217,11,33.999,22,22.149,17,20.847,9,3.256,2,3.428,1,12.194,8,6.637,4,0.000,0,12.193,8
86,266.229,169,142.467,88,64.901,39,33.809,23,28.550,19,49.750,31,21.077,15,3.168,3,3.532,2,8.444,6,18.449,11,16.846,11,10.284,9,2.667,2
87,229.523,147,189.620,112,60.662,38,24.812,18,19.881,15,44.985,30,47.656,32,13.036,9,3.639,2,12.362,7,15.818,9,18.701,12,4.836,3,16.940,10
88,313.066,209,252.468,157,84.283,50,40.955,25,25.670,19,54.837,36,46.257,30,17.151,11,4.504,4,16.446,13,13.660,10,15.362,10,23.049,14,4.559,4
89,312.750,209,210.233,130,115.747,72,64.551,43,35.940,23,43.086,31,55.634,40,20.296,15,7.028,4,5.365,3,18.393,11,29.483,15,20.864,11,16.553,12
90,316.050,194,216.277,139,77.501,45,93.149,54,29.099,17,28.405,20,31.274,22,19.183,11,13.894,7,13.880,10,13.855,9,15.425,11,3.035,2,17.831,13
91,250.426,164,156.197,103,56.943,38,52.656,34,48.344,29,38.849,22,35.664,25,11.286,9,16.276,9,5.989,4,4.257,3,27.341,18,0.000,0,22.764,14
92,286.747,178,200.930,122,82.981,55,51.413,29,66.847,47,47.136,31,59.417,38,15.381,9,23.631,14,9.977,6,10.524,6,14.864,11,8.800,4,0.000,0
93,226.441,142,134.806,82,88.203,55,54.694,39,45.204,30,46.769,27,25.641,18,16.576,9,18.611,12,5.960,5,4.650,3,13.856,8,16.279,11,10.135,7
