,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
date,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
2014-03-09,56.311,31,11.292,8,9.532,7,38.301,26,9.580,6,37.900,19,41.076,26,3.582,2,0.000,0,6.815,5,8.477,5,11.260,6,20.535,11,7.148,4
2014-03-10,84.477,53,9.419,8,27.253,16,30.979,20,14.586,6,6.691,3,19.580,13,0.000,0,0.000,0,5.433,3,0.000,0,3.519,3,0.000,0,0.000,0
2014-03-11,78.290,52,20.030,14,71.640,44,24.541,16,9.762,6,1.326,1,7.303,4,2.330,2,0.000,0,5.387,4,0.000,0,6.260,3,0.000,0,5.234,2
2014-03-12,74.548,41,15.643,9,49.582,29,44.353,21,8.729,5,13.210,9,16.417,10,0.000,0,5.812,4,6.977,5,2.406,2,7.444,4,0.000,0,0.000,0
2014-03-13,114.286,73,17.193,11,33.463,18,28.579,15,18.311,13,1.294,1,7.975,7,0.000,0,10.180,6,2.273,1,6.827,4,1.326,1,3.132,3,6.085,5
2014-03-14,111.143,67,12.197,9,36.421,21,37.315,19,8.883,6,4.661,4,2.460,2,1.108,1,13.414,9,3.808,3,3.864,3,3.615,3,2.130,2,13.367,7
2014-03-15,138.970,84,45.405,29,34.047,22,96.017,57,7.266,5,10.959,7,11.492,6,4.526,4,11.976,8,9.530,6,11.424,8,8.244,6,22.531,14,6.820,4
2014-03-16,68.749,43,62.485,42,67.111,39,46.025,29,6.398,3,10.138,7,15.341,11,4.293,3,3.657,3,7.378,6,8.469,5,3.819,3,5.481,3,5.448,3
2014-03-17,86.732,54,107.316,72,57.654,31,14.976,10,10.022,6,2.788,2,2.556,1,2.638,2,5.298,4,6.960,5,1.476,1,3.874,3,6.320,4,5.307,3
2014-03-18,81.869,51,79.688,51,76.095,46,40.546,25,7.478,4,8.784,6,10.589,8,6.198,4,4.454,2,5.802,3,1.108,1,0.000,0,4.857,3,5.569,3
2014-03-19,99.854,61,118.512,75,76.317,46,22.910,15,5.172,4,3.042,2,6.583,5,1.362,1,3.583,3,1.880,1,1.998,1,2.906,2,6.381,3,5.856,3
2014-03-20,117.263,74,198.819,117,23.827,17,40.817,26,1.122,1,5.637,4,4.386,4,15.340,8,2.223,1,10.923,6,2.249,2,0.000,0,4.161,3,0.000,0
2014-03-21,114.667,74,177.805,107,68.646,43,32.989,23,6.653,5,6.956,5,10.879,6,14.020,10,17.466,9,6.080,4,1.480,1,12.213,8,1.083,1,5.468,4
2014-03-22,222.385,126,163.896,94,116.728,71,57.736,35,3.550,3,8.558,6,25.236,18,8.229,5,10.029,6,4.540,4,7.224,4,3.682,2,5.994,3,6.578,4
2014-03-23,95.245,60,134.090,82,50.402,33,43.890,24,5.147,4,9.641,5,16.686,11,21.283,11,6.413,4,4.990,4,3.660,2,5.226,4,6.302,5,0.000,0
2014-03-24,85.986,52,115.445,73,43.532,23,22.995,14,0.000,0,22.222,14,2.427,1,12.673,7,7.699,4,0.000,0,1.691,1,1.945,1,0.000,0,3.682,2
2014-03-25,83.047,51,82.117,54,49.169,35,11.950,8,0.000,0,2.410,2,22.910,14,8.318,3,1.802,1,4.086,3,9.995,4,0.000,0,0.000,0,0.000,0
2014-03-26,57.715,37,78.017,51,59.648,35,21.735,14,7.911,3,6.027,4,16.450,10,5.570,4,2.395,2,1.748,1,0.000,0,0.000,0,0.000,0,4.440,3
2014-03-27,89.069,51,117.502,71,41.360,26,32.941,19,15.161,9,3.024,2,5.878,4,1.462,1,9.801,5,9.020,6,0.000,0,0.000,0,0.000,0,0.000,0
2014-03-28,116.042,75,131.875,77,60.483,40,48.157,30,7.120,5,15.980,10,22.230,12,2.988,2,6.770,3,12.125,7,1.937,1,3.488,2,3.207,3,10.324,6
2014-03-29,82.376,59,158.090,92,31.927,19,68.165,44,13.678,8,14.922,9,37.154,26,4.369,3,4.919,3,7.697,4,2.267,2,7.113,6,17.867,10,3.138,2
2014-03-30,44.959,28,96.723,56,65.756,41,45.015,30,5.531,4,0.000,0,38.558,24,11.724,4,10.642,6,1.248,1,0.000,0,10.896,6,4.482,3,11.713,7
2014-03-31,125.822,73,163.586,110,92.468,56,22.523,13,155.470,95,34.058,22,13.590,9,12.040,6,4.765,4,2.713,1,2.906,2,6.459,4,0.000,0,9.192,5
2014-04-01,79.562,54,146.322,83,63.123,37,18.635,12,4.250,3,0.000,0,7.185,4,9.208,6,5.985,4,2.648,2,1.373,1,3.435,3,8.156,4,8.484,5
2014-04-02,108.571,61,93.861,58,48.035,32,20.977,11,21.200,14,11.381,6,14.231,11,17.673,8,7.968,4,1.130,1,2.595,2,5.362,4,0.000,0,8.389,5
2014-04-03,93.081,60,146.978,86,41.238,28,45.119,26,113.051,63,2.885,1,18.885,16,4.065,3,6.416,5,2.334,2,3.482,2,4.432,4,0.000,0,8.477,7
2014-04-04,70.674,43,104.350,67,20.708,12,36.433,25,21.777,12,4.751,3,4.316,4,7.300,4,5.598,3,3.736,3,3.804,2,3.338,2,2.316,2,3.874,2
2014-04-05,40.757,28,90.047,48,35.206,23,37.533,25,91.149,57,5.633,4,29.754,22,0.000,0,11.953,6,7.014,3,2.603,2,9.852,6,5.662,2,11.294,6
2014-04-06,103.500,58,159.433,89,49.282,30,24.041,17,96.695,60,7.968,6,33.909,22,7.269,3,10.320,6,0.000,0,4.546,2,5.362,4,17.052,6,2.766,2
