clid	venue	lon	lat	category	user	year	doy	dow	hour	txt
0	Downtown Pgh	-79.9977	40.4414	NA	WillisSpencer1	2014	149	4	16	Just posted a photo Downtown Pgh
0	Liberty Avenue Musicians	-79.9965	40.4439	NA	nenacordova	2014	59	5	13	I'm at Liberty Avenue Musicians (Pittsburgh, PA)
0	Liberty Avenue Musicians	-79.9965	40.4439	NA	nenacordova	2014	63	2	14	I'm at Liberty Avenue Musicians (Pittsburgh, PA)
0	An SAP Company	-79.9998	40.4420	NA	IPhillyBoy2011	2014	112	2	1	I'm at An SAP Company (Pittsburgh, PA)
0	An SAP Company	-79.9998	40.4420	NA	IPhillyBoy2011	2014	112	2	16	I'm at An SAP Company (Pittsburgh, PA)
0	Bombay Giro	-79.9952	40.4439	NA	Fenrari	2015	191	5	22	I'm at Bombay Giro in Pittsburgh, PA
0	Bombay Giro	-79.9952	40.4439	NA	Fenrari	2015	193	0	21	I'm at Bombay Giro in Pittsburgh, PA
0	2014	-79.9958	40.4446	NA	EmberFoxie	2014	186	6	18	I'm at 2014 for Fursuit Parade w/
0	Cindrich Villa In The Sky	-80.0032	40.4396	NA	jim_malone	2014	26	0	0	I'm at Cindrich Villa In The Sky (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	IPhillyBoy2011	2014	37	4	15	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	IPhillyBoy2011	2014	37	4	18	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	seandenright	2014	42	2	1	I'm at Sharp Edge Bistro on Penn - w/ [pic]:
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	NickBrown430	2014	45	5	1	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	shawnpsackett	2014	53	6	2	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	superfro432	2014	68	0	0	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	ShelbyT20	2014	94	5	22	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	spots87	2014	107	4	21	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	davidkep	2014	109	6	18	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	joefouche	2014	111	1	16	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	IPhillyBoy2011	2014	114	4	16	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	RashanWalker	2014	120	3	21	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	NickBrown430	2014	140	2	22	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	PghTasteBudB	2014	144	6	1	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	black_rhino	2014	159	0	18	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	d0o0fy	2014	172	6	23	I'm at Sharp Edge Bistro on Penn - w/
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	MintzBuck	2014	185	5	23	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA) w/ 9 others
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	SparkDalmatian	2014	186	6	13	I'm at Penn City Grille - Westin Convention Center (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	G33kyG1rl	2014	188	1	23	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA) w/ 3 others
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	HSHToria	2014	211	3	23	I'm at Sharp Edge Bistro on Penn - (Pittsburgh, PA)
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	colindean	2014	242	6	2	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	OberleyCreative	2014	285	0	2	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	katemonster20	2014	312	6	20	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	oliverroy48	2014	340	6	22	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	ShannonEmerick	2014	361	6	1	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	EricVanKirk	2015	9	5	18	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	asierput	2015	38	6	21	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	centorhm12	2015	60	0	1	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	EditorMark	2015	84	3	21	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	SNova252	2015	93	5	4	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	AbbyDinges	2015	121	5	16	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	spots87	2015	135	5	23	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	atlpilot	2015	144	0	21	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	ShishaSheppy	2015	193	0	23	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	MintzBuck	2015	193	0	23	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	malzitoO	2015	249	0	19	I'm at Sharp Edge Bistro on Penn - in Pittsburgh, PA
0	Grand Circuit Booth	-79.9949	40.4442	NA	IPhillyBoy2011	2014	120	3	22	I'm at Grand Circuit Booth (Pittsburgh, PA)
0	Grand Circuit Booth	-79.9949	40.4442	NA	IPhillyBoy2011	2014	123	6	12	I'm at Grand Circuit Booth (Pittsburgh, PA)
0	Grand Circuit Booth	-79.9949	40.4442	NA	IPhillyBoy2011	2014	123	6	12	I'm at Grand Circuit Booth (Pittsburgh, PA)
0	on a roof somewhere	-80.0013	40.4434	NA	KaitlinParente	2015	183	4	2	Just posted a photo on a roof somewhere
0	Prantl's Bakery	-80.0023	40.4413	NA	Virginia_Delish	2014	123	6	22	I'm at Prantl's Bakery - Market Square (Pittsburgh, PA)
