name	hier	id
Imperial Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Imperial Restaurant	52af3b053cf9994f4e043bf9
Jiangsu Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Jiangsu Restaurant	52af3b213cf9994f4e043bfa
Jiangxi Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Jiangxi Restaurant	52af3b293cf9994f4e043bfb
Macanese Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Macanese Restaurant	52af3b343cf9994f4e043bfc
Manchu Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Manchu Restaurant	52af3b3b3cf9994f4e043bfd
Peking Duck Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Peking Duck Restaurant	52af3b463cf9994f4e043bfe
Shaanxi Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Shaanxi Restaurant	52af3b633cf9994f4e043c01
Shandong Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Shandong Restaurant	52af3b513cf9994f4e043bff
Shanghai Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Shanghai Restaurant	52af3b593cf9994f4e043c00
Shanxi Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Shanxi Restaurant	52af3b6e3cf9994f4e043c02
Szechuan Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Szechuan Restaurant	52af3b773cf9994f4e043c03
Taiwanese Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Taiwanese Restaurant	52af3b813cf9994f4e043c04
Tianjin Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Tianjin Restaurant	52af3b893cf9994f4e043c05
Xinjiang Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Xinjiang Restaurant	52af3b913cf9994f4e043c06
Yunnan Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Yunnan Restaurant	52af3b9a3cf9994f4e043c07
Zhejiang Restaurant	\Food\Asian Restaurant\Chinese Restaurant\Zhejiang Restaurant	52af3ba23cf9994f4e043c08
Filipino Restaurant	\Food\Asian Restaurant\Filipino Restaurant	4eb1bd1c3b7b55596b4a748f
Himalayan Restaurant	\Food\Asian Restaurant\Himalayan Restaurant	52e81612bcbc57f1066b79fb
Hotpot Restaurant	\Food\Asian Restaurant\Hotpot Restaurant	52af0bd33cf9994f4e043bdd
Indonesian Restaurant	\Food\Asian Restaurant\Indonesian Restaurant	4deefc054765f83613cdba6f
Acehnese Restaurant	\Food\Asian Restaurant\Indonesian Restaurant\Acehnese Restaurant	52960eda3cf9994f4e043ac9
Balinese Restaurant	\Food\Asian Restaurant\Indonesian Restaurant\Balinese Restaurant	52960eda3cf9994f4e043acb
Betawinese Restaurant	\Food\Asian Restaurant\Indonesian Restaurant\Betawinese Restaurant	52960eda3cf9994f4e043aca
Indonesian Meatball Place	\Food\Asian Restaurant\Indonesian Restaurant\Indonesian Meatball Place	52960eda3cf9994f4e043acc
Javanese Restaurant	\Food\Asian Restaurant\Indonesian Restaurant\Javanese Restaurant	52960eda3cf9994f4e043ac7
Manadonese Restaurant	\Food\Asian Restaurant\Indonesian Restaurant\Manadonese Restaurant	52960eda3cf9994f4e043ac8
Padangnese Restaurant	\Food\Asian Restaurant\Indonesian Restaurant\Padangnese Restaurant	52960eda3cf9994f4e043ac5
Sundanese Restaurant	\Food\Asian Restaurant\Indonesian Restaurant\Sundanese Restaurant	52960eda3cf9994f4e043ac6
Japanese Restaurant	\Food\Asian Restaurant\Japanese Restaurant	4bf58dd8d48988d111941735
Donburi Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Donburi Restaurant	55a59bace4b013909087cb0c
Japanese Curry Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Japanese Curry Restaurant	55a59bace4b013909087cb30
Kaiseki Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Kaiseki Restaurant	55a59bace4b013909087cb21
Kushikatsu Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Kushikatsu Restaurant	55a59bace4b013909087cb06
Monjayaki Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Monjayaki Restaurant	55a59bace4b013909087cb1b
Nabe Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Nabe Restaurant	55a59bace4b013909087cb1e
Okonomiyaki Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Okonomiyaki Restaurant	55a59bace4b013909087cb18
Ramen Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Ramen Restaurant	55a59bace4b013909087cb24
