venue	lon	lat	category	user	year	doy	dow	hour	txt
CONSOL Energy Center	-79.9893	40.4395	NA	rjpennstate4	2014	92	3	22	I'm at CONSOL Energy Center - for Cher and Pat Benatar &amp; Neil Giraldo (Pittsburgh, PA) w/ 14 others
CONSOL Energy Center	-79.9893	40.4395	NA	nikki412	2014	92	3	23	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 33 others
CONSOL Energy Center	-79.9893	40.4395	NA	mgeeezyy	2014	93	4	1	I'm at CONSOL Energy Center - for Cher and Pat Benatar &amp; Neil Giraldo (Pittsburgh, PA) w/ 72 others
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	95	6	11	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	chernysh	2014	95	6	18	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 4 others
CONSOL Energy Center	-79.9893	40.4395	NA	ReedySplash	2014	96	0	22	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	ReedySplash	2014	99	3	23	I'm at CONSOL Energy Center - for Detroit Red Wings vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	LexieJade17	2014	99	3	23	I'm at CONSOL Energy Center - for Detroit Red Wings vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	earearearin	2014	99	3	23	I'm at CONSOL Energy Center - for Detroit Red Wings vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	99	3	23	I'm at CONSOL Energy Center - for Detroit Red Wings vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2014	99	3	23	I'm at CONSOL Energy Center - for Detroit Red Wings vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	kingling43	2014	99	3	23	I'm at CONSOL Energy Center - for Detroit Red Wings vs Pittsburgh Penguins w/
CONSOL Energy Center	-79.9893	40.4395	NA	AlejandraDD	2014	99	3	23	I'm at CONSOL Energy Center for Detroit Red Wings vs Pittsburgh Penguins w/
CONSOL Energy Center	-79.9893	40.4395	NA	MollyRhiannan	2014	99	3	23	I'm at CONSOL Energy Center - for Detroit Red Wings vs Pittsburgh Penguins w/
CONSOL Energy Center	-79.9893	40.4395	NA	MollyRhiannan	2014	99	3	23	I'm at CONSOL Energy Center - for Detroit Red Wings vs Pittsburgh Penguins w/
CONSOL Energy Center	-79.9893	40.4395	NA	DConMan	2014	99	3	23	I'm at CONSOL Energy Center - for Detroit Red Wings vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	IPhillyBoy2011	2014	100	4	3	I'm at CONSOL Energy Center - for Detroit Red Wings vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	quakerstaten8iv	2014	102	6	16	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	ReedySplash	2014	102	6	17	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 12 others
CONSOL Energy Center	-79.9893	40.4395	NA	ssteckley	2014	102	6	19	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 114 others
CONSOL Energy Center	-79.9893	40.4395	NA	hayPENS	2014	103	0	21	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 4 others
CONSOL Energy Center	-79.9893	40.4395	NA	LexieJade17	2014	103	0	22	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 20 others
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2014	103	0	22	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 43 others
CONSOL Energy Center	-79.9893	40.4395	NA	d0o0fy	2014	103	0	22	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 55 others
CONSOL Energy Center	-79.9893	40.4395	NA	penstone	2014	103	0	23	I'm at CONSOL Energy Center - for vs w/
CONSOL Energy Center	-79.9893	40.4395	NA	ReedySplash	2014	103	0	23	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 108 others
CONSOL Energy Center	-79.9893	40.4395	NA	ReedySplash	2014	106	3	19	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	106	3	20	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 4 others
CONSOL Energy Center	-79.9893	40.4395	NA	jonstapel	2014	106	3	21	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 10 others
CONSOL Energy Center	-79.9893	40.4395	NA	earearearin	2014	106	3	22	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 27 others
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2014	106	3	22	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 52 others
CONSOL Energy Center	-79.9893	40.4395	NA	MollyRhiannan	2014	106	3	23	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 81 others
CONSOL Energy Center	-79.9893	40.4395	NA	elmcdonald	2014	106	3	23	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 127 others
CONSOL Energy Center	-79.9893	40.4395	NA	mandles713	2014	109	6	19	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	ReedySplash	2014	109	6	19	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	109	6	20	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	joescarmack374	2014	109	6	21	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 18 others
CONSOL Energy Center	-79.9893	40.4395	NA	MaloneyTravis	2014	109	6	22	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 56 others
CONSOL Energy Center	-79.9893	40.4395	NA	penstone	2014	109	6	22	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins w/
CONSOL Energy Center	-79.9893	40.4395	NA	jesseferencz	2014	109	6	22	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins w/
CONSOL Energy Center	-79.9893	40.4395	NA	DeltaAgent	2014	109	6	22	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	o0liabear0o	2014	109	6	23	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	IPhillyBoy2011	2014	112	2	1	I'm at CONSOL Energy Center - for Bruce Springsteen (Pittsburgh, PA) w/ 2 others
CONSOL Energy Center	-79.9893	40.4395	NA	ConcertSurfer	2014	112	2	17	I'm at CONSOL Energy Center for Bruce Springsteen w/
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	112	2	20	I'm at CONSOL Energy Center - for Bruce Springsteen (Pittsburgh, PA) w/ 6 others
CONSOL Energy Center	-79.9893	40.4395	NA	mizzdee2000	2014	112	2	23	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 66 others
CONSOL Energy Center	-79.9893	40.4395	NA	scholnicks	2014	113	3	0	I'm at CONSOL Energy Center - for Bruce Springsteen (Pittsburgh, PA) w/ 85 others
CONSOL Energy Center	-79.9893	40.4395	NA	IPhillyBoy2011	2014	113	3	19	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	IPhillyBoy2011	2014	113	3	19	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	budherrodjr	2014	114	4	11	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	116	6	20	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 4 others
CONSOL Energy Center	-79.9893	40.4395	NA	MikeysTheWinner	2014	116	6	22	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	PensBoozeAnger	2014	116	6	22	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins w/
CONSOL Energy Center	-79.9893	40.4395	NA	kingling43	2014	116	6	22	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	kristianaaaaaa_	2014	116	6	23	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins w/
CONSOL Energy Center	-79.9893	40.4395	NA	ReedySplash	2014	118	1	21	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	ohhaycassiek	2014	122	5	18	I'm at CONSOL Energy Center - for vs w/
CONSOL Energy Center	-79.9893	40.4395	NA	MEECHELLE123	2014	122	5	18	I'm at CONSOL Energy Center - for vs w/
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	122	5	20	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 6 others
CONSOL Energy Center	-79.9893	40.4395	NA	earearearin	2014	122	5	21	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 14 others
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2014	122	5	22	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 61 others
CONSOL Energy Center	-79.9893	40.4395	NA	AlejandraDD	2014	122	5	22	I'm at CONSOL Energy Center for New York Rangers vs Pittsburgh Penguins (Pittsburgh, PA) w/ 67 others
CONSOL Energy Center	-79.9893	40.4395	NA	MrsTanger	2014	122	5	22	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 77 others
CONSOL Energy Center	-79.9893	40.4395	NA	RyanVanscoy	2014	122	5	22	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 83 others
CONSOL Energy Center	-79.9893	40.4395	NA	ConcertSurfer	2014	122	5	23	I'm at CONSOL Energy Center for New York Rangers vs Pittsburgh Penguins (Pittsburgh, PA) w/ 109 others
CONSOL Energy Center	-79.9893	40.4395	NA	DeanneZatko	2014	122	5	23	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 124 others
CONSOL Energy Center	-79.9893	40.4395	NA	MortyJ	2014	122	5	23	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 127 others
CONSOL Energy Center	-79.9893	40.4395	NA	vanessking	2014	123	6	0	I'm at CONSOL Energy Center for New York Rangers vs Pittsburgh Penguins (Pittsburgh, PA) w/ 133 others
CONSOL Energy Center	-79.9893	40.4395	NA	Creativeimagez	2014	123	6	13	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 8 others
CONSOL Energy Center	-79.9893	40.4395	NA	ReedySplash	2014	124	0	20	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 5 others
CONSOL Energy Center	-79.9893	40.4395	NA	DeltaAgent	2014	124	0	23	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 131 others
CONSOL Energy Center	-79.9893	40.4395	NA	PCTech13	2014	124	0	23	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 139 others
CONSOL Energy Center	-79.9893	40.4395	NA	GoodbyeGirl417	2014	124	0	23	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 139 others
CONSOL Energy Center	-79.9893	40.4395	NA	ReedySplash	2014	128	4	1	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	S_alkahlan	2014	128	4	22	I'm at CONSOL Energy Center - for Lady Gaga's artRave: The ARTPOP Ball (Pittsburgh, PA) w/ 30 others
CONSOL Energy Center	-79.9893	40.4395	NA	ConcertSurfer	2014	128	4	23	I'm at CONSOL Energy Center for Lady Gaga's artRave: The ARTPOP Ball (Pittsburgh, PA) w/ 53 others
CONSOL Energy Center	-79.9893	40.4395	NA	ncb412	2014	129	5	0	I'm at CONSOL Energy Center - for Lady Gaga's artRave: The ARTPOP Ball (Pittsburgh, PA) w/ 81 others
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	129	5	20	I'm at CONSOL Energy Center - for vs w/
CONSOL Energy Center	-79.9893	40.4395	NA	LouTang16	2014	129	5	21	I'm at CONSOL Energy Center - for vs w/
CONSOL Energy Center	-79.9893	40.4395	NA	mwilsonua	2014	129	5	22	I'm at CONSOL Energy Center (Pittsburgh, PA) w/ 48 others
CONSOL Energy Center	-79.9893	40.4395	NA	DeltaAgent	2014	129	5	23	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 95 others
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	130	6	20	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	kaijaelizabeth	2014	131	0	0	I'm at CONSOL Energy Center - for Chelsea Handler: Uganda Be Kidding Me Live (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	133	2	21	I'm at CONSOL Energy Center - for vs w/
CONSOL Energy Center	-79.9893	40.4395	NA	ConcertSurfer	2014	133	2	21	I'm at CONSOL Energy Center for New York Rangers vs Pittsburgh Penguins (Pittsburgh, PA) w/ 7 others
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2014	133	2	22	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 14 others
CONSOL Energy Center	-79.9893	40.4395	NA	AlejandraDD	2014	133	2	22	I'm at CONSOL Energy Center for New York Rangers vs Pittsburgh Penguins w/
CONSOL Energy Center	-79.9893	40.4395	NA	JillMadlyTweets	2014	133	2	22	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 63 others
CONSOL Energy Center	-79.9893	40.4395	NA	IPhillyBoy2011	2014	133	2	23	I'm at CONSOL Energy Center - for vs (Pittsburgh, PA) w/ 102 others
CONSOL Energy Center	-79.9893	40.4395	NA	IPhillyBoy2011	2014	138	0	0	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 25 others
CONSOL Energy Center	-79.9893	40.4395	NA	garbomarce	2014	144	6	18	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	loredani	2014	144	6	18	I'm at CONSOL Energy Center - w/
CONSOL Energy Center	-79.9893	40.4395	NA	AlejandraDD	2014	144	6	19	I'm at CONSOL Energy Center w/
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	147	2	19	I'm at CONSOL Energy Center - for Rod Stewart &amp; Santana (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	vanessking	2014	147	2	23	I'm at CONSOL Energy Center for Rod Stewart &amp; Santana (Pittsburgh, PA) w/ 18 others
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	151	6	19	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	153	1	10	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	pghsweetie	2014	154	2	17	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	SackedByWake	2014	156	4	18	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	NIKATNITE81	2014	158	6	21	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 11 others
CONSOL Energy Center	-79.9893	40.4395	NA	Christophe1967	2014	171	5	21	I'm at CONSOL Energy Center - (Pittsburgh, PA)
CONSOL Energy Center	-79.9893	40.4395	NA	steelcitysecret	2014	175	2	22	I'm at CONSOL Energy Center - (Pittsburgh, PA) w/ 14 others
CONSOL Energy Center	-79.9893	40.4395	NA	Morgan24Lynn	2014	278	0	15	I'm at CONSOL Energy Center - in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	Cheeky_Baby410	2014	284	6	23	I'm at CONSOL Energy Center for Eric Church - The Outsiders World Tour in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	JCE87	2014	289	4	22	I'm at CONSOL Energy Center - for Dallas Stars vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2014	289	4	22	I'm at CONSOL Energy Center - for Dallas Stars vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	apeybxx	2014	290	5	0	I'm at CONSOL Energy Center - for Dallas Stars vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2014	295	3	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	jesseferencz	2014	295	3	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	ReedySplash	2014	295	3	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	shannonleigh11	2014	296	4	0	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	steelcitysecret	2014	301	2	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	DocterTom	2014	301	2	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2014	303	4	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	305	6	22	I'm at CONSOL Energy Center - for Buffalo Sabres vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	30hertzrumble	2014	306	0	1	I'm at CONSOL Energy Center - for Buffalo Sabres vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	DonsStang	2014	315	2	14	I'm at CONSOL Energy Center - in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	penstone	2014	319	6	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2014	319	6	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	ComeWicked	2014	319	6	23	I'm at CONSOL Energy Center for New York Rangers vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	iamandrewgraham	2014	320	0	0	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	andro656	2014	320	0	5	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	iamandrewgraham	2014	325	5	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	M3gannn__	2014	325	5	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	MacK_Czarnecki	2014	330	3	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	_tangers	2014	336	2	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	spots87	2014	336	2	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	lisarec	2014	336	2	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	kingling43	2014	336	2	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	JesseRaven	2014	337	3	0	I'm at CONSOL Energy Center - in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	patrichornqvist	2014	338	4	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	ah_b_normal	2014	339	5	0	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	JCE87	2014	340	6	16	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	ncb412	2014	340	6	18	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	patrichornqvist	2014	341	0	20	I'm at CONSOL Energy Center - for Casting Crowns in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	ah_b_normal	2014	341	0	23	I'm at CONSOL Energy Center - in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	techburgh	2014	348	0	0	I'm at CONSOL Energy Center - for Trans-Siberian Orchestra and Siberian Orchestra in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	_tangers	2014	349	1	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	ZackTanner	2014	350	2	0	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	dzessss	2014	350	2	0	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	kingling43	2014	352	4	23	I'm at CONSOL Energy Center - for Colorado Avalanche vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	DouglasWRay	2014	352	4	23	I'm at CONSOL Energy Center - for Colorado Avalanche vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	lisarec	2014	353	5	0	I'm at CONSOL Energy Center - for Colorado Avalanche vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	patrichornqvist	2015	2	5	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	scholnicks	2015	3	6	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	kategracet	2015	3	6	23	I'm at CONSOL Energy Center for Montreal Canadiens vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	EricVanKirk	2015	3	6	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	30hertzrumble	2015	4	0	0	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	patrichornqvist	2015	8	4	0	I'm at CONSOL Energy Center - for Boston Bruins vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	meganguza	2015	8	4	1	I'm at CONSOL Energy Center - for Boston Bruins vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2015	13	2	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	kingling43	2015	13	2	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	SharkDavis	2015	13	2	23	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	SuperAgroCraig	2015	14	3	22	I'm at CONSOL Energy Center - in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	Squigigers	2015	18	0	17	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	TeshawnEdmonds	2015	18	0	20	I'm at CONSOL Energy Center - in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	EricVanKirk	2015	21	3	22	I'm at CONSOL Energy Center - for Chicago Blackhawks vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	kristianaaaaaa_	2015	22	4	0	I'm at CONSOL Energy Center - for Chicago Blackhawks vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	Teddybear60	2015	22	4	0	I'm at CONSOL Energy Center - for Chicago Blackhawks vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	ParrotHead134	2015	22	4	22	I'm at CONSOL Energy Center - for Bob Seger &amp; The Silver Bullet Band and The J. Geils Band
CONSOL Energy Center	-79.9893	40.4395	NA	MacK_Czarnecki	2015	27	2	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
CONSOL Energy Center	-79.9893	40.4395	NA	EricVanKirk	2015	32	0	18	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	chadkesich	2015	39	0	4	I'm at CONSOL Energy Center - for The Garth Brooks World Tour Sponsored by GhostTunes.
CONSOL Energy Center	-79.9893	40.4395	NA	superfro432	2015	43	4	0	I'm at CONSOL Energy Center - for Pittsburgh Penguins vs. Detroit Red Wings in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	lisarec	2015	48	2	23	I'm at CONSOL Energy Center - in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	patrichornqvist	2015	50	4	21	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	SharkDavis	2015	50	4	23	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	meganguza	2015	51	5	0	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	chrissytinaaa	2015	51	5	0	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	patrichornqvist	2015	52	6	15	I'm at CONSOL Energy Center - for Duquesne Mens Basketball vs. Dayton Flyers Basketball
CONSOL Energy Center	-79.9893	40.4395	NA	patrichornqvist	2015	53	0	20	I'm at CONSOL Energy Center - for in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	_j_9	2015	53	0	21	I'm at CONSOL Energy Center - for in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	patrichornqvist	2015	60	0	19	I'm at CONSOL Energy Center - for Columbus Blue Jackets vs Pittsburgh Penguins in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	lisarec	2015	60	0	21	I'm at CONSOL Energy Center - for Pittsburgh Penguins vs. Columbus Blue Jackets in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	iamandrewgraham	2015	63	3	23	I'm at CONSOL Energy Center - in Pittsburgh, PA
CONSOL Energy Center	-79.9893	40.4395	NA	lisarec	2015	71	4	22	I'm at CONSOL Energy Center - for vs in Pittsburgh, PA w/
