venue	lon	lat	category	user	year	doy	dow	hour	txt
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	79	5	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	80	6	17	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	81	0	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	84	3	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	85	4	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	93	5	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	98	3	1	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	98	3	23	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	99	4	23	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	101	6	2	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	110	1	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	111	2	22	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	112	3	1	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	116	0	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	117	1	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	119	3	0	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	119	3	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	119	3	23	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	120	4	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	124	1	23	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	137	0	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	138	1	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	140	3	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	142	5	0	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	144	0	23	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	152	1	22	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	153	2	22	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	157	6	14	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	157	6	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	158	0	19	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	158	0	22	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	159	1	22	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	162	4	0	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	175	3	22	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	177	5	1	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	177	5	21	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	179	0	18	I'm at The Scrivens Cave in Pittsburgh, PA
The Scrivens Cave	-79.9584	40.3953	NA	kopitarus	2015	179	0	22	I'm at The Scrivens Cave in Pittsburgh, PA
Bloom Cigar Co.	-79.9865	40.4291	NA	AntonioCigars	2014	193	6	19	I'm at Bloom Cigar Co. (Pittsburgh, PA)
Monview Heights	-79.8826	40.3980	NA	IPhillyBoy2011	2014	27	1	3	I'm at Monview Heights (West Mifflin, PA)
Monview Heights	-79.8826	40.3980	NA	ZachFez412	2014	136	5	10	I'm at Monview Heights (West Mifflin, PA)
Monview Heights	-79.8826	40.3980	NA	ZachFez412	2014	151	6	20	I'm at Monview Heights (West Mifflin, PA)
Community Family Practice	-79.8626	40.4269	NA	M3gannn__	2014	73	5	15	I'm at Community Family Practice (Pittsburgh, PA)
Lot 17	-79.9503	40.4624	NA	JessicaRricci	2014	110	0	1	I'm at Lot 17 (Pittsburgh, PA)
Exxon	-79.8712	40.3662	NA	IPhillyBoy2011	2014	27	1	11	I'm at Exxon (West Mifflin, PA)
Exxon	-79.8712	40.3662	NA	IPhillyBoy2011	2014	32	6	21	I'm at Exxon (West Mifflin, PA)
Exxon	-79.8712	40.3662	NA	IPhillyBoy2011	2014	98	2	14	I'm at Exxon (West Mifflin, PA)
Maroney's Foreign Cars And Parts	-80.0803	40.4103	NA	IPhillyBoy2011	2014	134	3	12	I'm at Maroney's Foreign Cars And Parts (Smithton, PA, PA)
Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	kristianaaaaaa_	2014	77	2	18	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	kristianaaaaaa_	2014	99	3	14	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	kristianaaaaaa_	2014	99	3	19	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	kristianaaaaaa_	2014	101	5	12	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	kristianaaaaaa_	2014	113	3	13	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	numberonehand	2014	128	4	19	I'm at Nicholas Coffee &amp; Tea Company w/
Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	TeshawnEdmonds	2014	149	4	19	I'm at Nicholas Coffee &amp; Tea Company (Pittsburgh, PA)
Nicholas Coffee & Tea Company	-80.0029	40.4411	NA	Gert_Ross	2015	303	5	13	I'm at Nicholas Coffee &amp; Tea Company in Pittsburgh, PA
Shop 'n Save	-80.0284	40.3690	NA	IPhillyBoy2011	2014	145	0	21	I'm at Shop 'n Save (Pittsburgh, PA)
Shop 'n Save	-80.0284	40.3690	NA	Kneal46	2014	191	4	18	I'm at Shop 'n Save (Pittsburgh, PA)
Shop 'n Save	-80.0284	40.3690	NA	melissakania	2014	243	0	13	I'm at Shop 'n Save in Pittsburgh, PA
709 Penn Gallery	-79.9997	40.4434	NA	IPhillyBoy2011	2014	135	4	12	I'm at 709 Penn Gallery (Pittsburgh, PA)
Bottle Knocker Hockey	-79.9897	40.4205	NA	BKHockey	2014	26	0	0	I'm at Bottle Knocker Hockey (Pittsburgh, PA)
Bottle Knocker Hockey	-79.9897	40.4205	NA	BKHockey	2014	67	6	19	I'm at Bottle Knocker Hockey (Pittsburgh, PA)
Bottle Knocker Hockey	-79.9897	40.4205	NA	BKHockey	2014	69	1	4	I'm at Bottle Knocker Hockey (Pittsburgh, PA)
Bottle Knocker Hockey	-79.9897	40.4205	NA	BKHockey	2014	82	0	10	I'm at Bottle Knocker Hockey (Pittsburgh, PA)
Bottle Knocker Hockey	-79.9897	40.4205	NA	BKHockey	2014	85	3	1	I'm at Bottle Knocker Hockey (Pittsburgh, PA)
Bottle Knocker Hockey	-79.9897	40.4205	NA	BKHockey	2014	115	5	1	I'm at Bottle Knocker Hockey (Pittsburgh, PA)
Bottle Knocker Hockey	-79.9897	40.4205	NA	BKHockey	2014	135	4	22	I'm at Bottle Knocker Hockey (Pittsburgh, PA)
East Busway Negley Station	-79.9327	40.4566	NA	RoddyCane	2014	88	6	0	I'm at East Busway Negley Station (Pittsburgh, PA)
East Busway Negley Station	-79.9327	40.4566	NA	RandPitt	2014	115	5	21	I'm at East Busway Negley Station (Pittsburgh, PA)
Orphans court	-79.9976	40.4389	NA	IPhillyBoy2011	2014	51	4	14	I'm at Orphans court (Pittsburgh, PA)
Adolfo's	-79.9478	40.4610	NA	unvegan	2015	158	0	1	I'm at Adolfo's in Pittsburgh, PA
Fright Nights At Kennywood Park	-79.8644	40.3862	NA	MJanu09	2015	297	6	0	Just posted a photo Fright Nights At Kennywood Park
Identity X Practice Space	-80.0644	40.4747	NA	IPhillyBoy2011	2014	156	4	11	I'm at Identity X Practice Space (Mc Kees Rocks, PA)
Tepper School of Business	-79.9424	40.4409	NA	unvegan	2014	37	4	17	I'm at Tepper School of Business - (Pittsburgh, PA)
Tepper School of Business	-79.9424	40.4409	NA	anthcor	2014	50	3	19	I'm at Tepper School of Business - (Pittsburgh, PA)
Tepper School of Business	-79.9424	40.4409	NA	IPhillyBoy2011	2014	133	2	3	I'm at Tepper School of Business - (Pittsburgh, PA)
Bigelow Grille	-79.9947	40.4406	NA	Ralph30309	2014	122	5	1	I'm at Bigelow Grille (Pittsburgh, PA)
Bigelow Grille	-79.9947	40.4406	NA	jmduffy97	2014	125	1	2	I'm at Bigelow Grille (Pittsburgh, PA)
Bigelow Grille	-79.9947	40.4406	NA	joncmu	2014	144	6	17	I'm at Bigelow Grille (Pittsburgh, PA)
Bigelow Grille	-79.9947	40.4406	NA	Coopz22	2014	179	6	14	I'm at Bigelow Grille (Pittsburgh, PA)
Bigelow Grille	-79.9947	40.4406	NA	FurryFoxus	2015	190	4	13	I'm at Bigelow Grille in Pittsburgh, PA
Bigelow Grille	-79.9947	40.4406	NA	FurryFoxus	2015	193	0	16	I'm at Bigelow Grille in Pittsburgh, PA
Bigelow Grille	-79.9947	40.4406	NA	dlove170	2015	196	3	22	I'm at Bigelow Grille in Pittsburgh, PA
Valero Fuel	-79.8657	40.4914	NA	Offisapupp	2014	116	6	20	I'm at Valero Fuel (Blawnox, PA)
Valero Fuel	-79.8657	40.4914	NA	Offisapupp	2014	123	6	21	I'm at Valero Fuel (Blawnox, PA)
Valero Fuel	-79.8657	40.4914	NA	Offisapupp	2014	130	6	23	I'm at Valero Fuel (Blawnox, PA)
Valero Fuel	-79.8657	40.4914	NA	Offisapupp	2014	152	0	19	I'm at Valero Fuel (Blawnox, PA)
Valero Fuel	-79.8657	40.4914	NA	Offisapupp	2014	158	6	19	I'm at Valero Fuel (Blawnox, PA)
Valero Fuel	-79.8657	40.4914	NA	Offisapupp	2014	177	4	16	I'm at Valero Fuel (Blawnox, PA)
Valero Fuel	-79.8657	40.4914	NA	Offisapupp	2014	200	6	22	I'm at Valero Fuel (Blawnox, PA)
Valero Fuel	-79.8657	40.4914	NA	Offisapupp	2014	241	5	22	I'm at Valero Fuel in Blawnox, PA
Highland Park	-79.9153	40.4789	NA	AtoZcomm	2014	180	0	11	I'm at Highland Park - (Pittsburgh, PA)
VA Pharmacy	-79.9619	40.4467	NA	tonkakidd	2014	73	5	13	I'm at VA Pharmacy (Pittsburgh, PA)
Scoglio's Italian Restaurant	-80.0638	40.4205	NA	JesseRaven	2015	157	6	0	I'm at Scoglio's Italian Restaurant in Pittsburgh, PA
Washington Plaza	-79.9867	40.4406	NA	ThatNerdBastard	2015	178	6	23	Just posted a photo Washington Plaza
Cupka's Cafe	-79.9703	40.4263	NA	PittsburghFred	2014	102	6	3	I'm at Cupka's Cafe (Pittsburgh, PA)
Cupka's Cafe	-79.9703	40.4263	NA	PittsburghFred	2014	144	6	4	I'm at Cupka's Cafe (Pittsburgh, PA)
Lin's Asian Fusion	-79.9768	40.4286	NA	gabri_pierre	2014	290	5	23	Just posted a photo Lin's Asian Fusion
Toronto	-79.9337	40.4578	NA	george_birman	2014	319	6	3	Just posted a photo Toronto, Canada
Calabro Tire Service and Auto Service	-80.0926	40.3618	NA	lisarec	2015	42	3	19	I'm at Calabro Tire Service and Auto Service in Upper St Clair, PA
Wood Street Bus Stop	-79.9999	40.4417	NA	IPhillyBoy2011	2014	52	5	21	I'm at Wood Street Bus Stop (Pittsburgh, PA)
Wood Street Bus Stop	-79.9999	40.4417	NA	Smeagol_Is_Free	2014	67	6	13	I'm at Wood Street Bus Stop (Pittsburgh, PA)
Beachwood	-79.9273	40.4206	NA	IPhillyBoy2011	2014	34	1	2	I'm at Beachwood (Pittsburgh, PA)
Somewhere	-79.9685	40.4265	NA	sethhoova	2014	35	2	4	I'm at Somewhere in south side NOT LOST
Somewhere	-79.9685	40.4265	NA	sethhoova	2014	233	4	22	I'm at Somewhere in south side NOT LOST
Somewhere	-79.9685	40.4265	NA	sethhoova	2015	9	5	1	I'm at Somewhere in south side NOT LOST
reunited	-79.9556	40.4362	NA	diannaconte	2015	25	0	4	Just posted a photo reunited
DiSilvos Pizza	-79.9757	40.3740	NA	kopitarus	2015	179	0	21	I'm at DiSilvos Pizza in Baldwin, PA
Allegheny Center	-80.0073	40.4521	NA	JesseRaven	2014	364	2	18	I'm at Allegheny Center in Pittsburgh, PA
Warrington Tire	-80.0002	40.4208	NA	IPhillyBoy2011	2014	150	5	16	I'm at Warrington Tire (Pittsburgh, PA)
First National Bank	-79.9816	40.3666	NA	IPhillyBoy2011	2014	140	2	16	I'm at First National Bank
GetGo	-79.8895	40.4450	NA	Merobinaa	2014	53	6	4	I'm at GetGo (Wilkinsburg, PA)
GetGo	-79.8895	40.4450	NA	IPhillyBoy2011	2014	54	0	12	I'm at GetGo (Wilkinsburg, PA)
GetGo	-79.8895	40.4450	NA	Tamerica531	2014	154	2	20	I'm at GetGo (Wilkinsburg, PA)
Pho Van	-79.9827	40.4519	NA	keithlantz	2015	180	1	18	I'm at Pho Van in Pittsburgh, PA
Direct Energy	-79.9935	40.4452	NA	JuniorCabral19	2014	126	2	10	I'm at Direct Energy (Pittsburgh, PA)
61B Cafe	-79.8938	40.4325	NA	joncmu	2014	185	5	15	I'm at 61B Cafe (Pittsburgh, PA)
61B Cafe	-79.8938	40.4325	NA	chemicalsams	2015	30	5	17	I'm at 61B Cafe in Pittsburgh, PA
61B Cafe	-79.8938	40.4325	NA	G33kyG1rl	2015	239	4	20	I'm at 61B Cafe in Pittsburgh, PA
61B Cafe	-79.8938	40.4325	NA	seminarysauce	2014	87	5	19	Just posted a photo 61B Cafe
61B Cafe	-79.8938	40.4325	NA	seminarysauce	2014	174	1	11	Just posted a photo 61B Cafe
