how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
31,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
33,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
34,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
35,0.00000,0.11111,0.00000,0.00000,0.00000,0.66667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
36,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
37,0.00000,0.16667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
38,0.12500,0.12500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
39,0.18750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12500,0.00000,0.00000,0.00000
40,0.10000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
41,0.24138,0.03448,0.06897,0.00000,0.06897,0.00000,0.10345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
42,0.00000,0.27273,0.00000,0.09091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
43,0.19048,0.00000,0.00000,0.00000,0.00000,0.09524,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09524,0.00000
44,0.00000,0.06250,0.00000,0.00000,0.06250,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
45,0.14815,0.03704,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03704,0.03704,0.00000,0.00000
46,0.06522,0.10870,0.02174,0.02174,0.00000,0.04348,0.00000,0.04348,0.00000,0.00000,0.00000,0.02174,0.00000,0.00000
47,0.11364,0.00000,0.00000,0.02273,0.06818,0.04545,0.00000,0.00000,0.00000,0.02273,0.00000,0.04545,0.00000,0.00000
48,0.21739,0.08696,0.00000,0.00000,0.08696,0.00000,0.00000,0.04348,0.00000,0.08696,0.00000,0.00000,0.00000,0.00000
49,0.00000,0.08696,0.04348,0.08696,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
50,0.12000,0.16000,0.00000,0.04000,0.00000,0.00000,0.00000,0.04000,0.00000,0.00000,0.04000,0.00000,0.00000,0.00000
51,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18182,0.00000
52,0.18182,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
53,0.18182,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
54,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
55,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
56,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
57,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
58,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
59,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40000,0.00000,0.00000,0.20000,0.00000,0.00000,0.00000,0.00000
60,0.00000,0.00000,0.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
61,0.25000,0.00000,0.00000,0.00000,0.16667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
62,0.05000,0.15000,0.00000,0.05000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
63,0.00000,0.13333,0.00000,0.00000,0.13333,0.00000,0.20000,0.00000,0.13333,0.00000,0.00000,0.00000,0.00000,0.00000
64,0.10714,0.10714,0.07143,0.00000,0.00000,0.00000,0.03571,0.00000,0.00000,0.00000,0.03571,0.00000,0.00000,0.00000
65,0.07692,0.07692,0.00000,0.07692,0.07692,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
66,0.00000,0.00000,0.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
67,0.13333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
68,0.00000,0.16667,0.00000,0.00000,0.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
69,0.05263,0.00000,0.05263,0.15789,0.00000,0.00000,0.05263,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
70,0.20690,0.03448,0.13793,0.10345,0.00000,0.00000,0.06897,0.03448,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
71,0.15789,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
72,0.16129,0.00000,0.00000,0.00000,0.12903,0.03226,0.03226,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
73,0.11111,0.00000,0.16667,0.05556,0.00000,0.00000,0.11111,0.00000,0.27778,0.00000,0.00000,0.00000,0.00000,0.00000
74,0.16667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
75,0.10714,0.07143,0.00000,0.07143,0.00000,0.00000,0.03571,0.00000,0.00000,0.07143,0.03571,0.10714,0.00000,0.00000
76,0.11765,0.11765,0.00000,0.00000,0.00000,0.11765,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11765
77,0.00000,0.00000,0.20000,0.20000,0.00000,0.00000,0.00000,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
78,0.00000,0.00000,0.00000,0.00000,0.22222,0.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
79,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
80,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
81,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
82,0.66667,0.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
83,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
84,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
85,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
86,0.37500,0.00000,0.00000,0.00000,0.12500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
87,0.21053,0.00000,0.00000,0.10526,0.00000,0.21053,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
88,0.27273,0.00000,0.00000,0.00000,0.00000,0.09091,0.00000,0.00000,0.00000,0.00000,0.04545,0.00000,0.00000,0.00000
89,0.14286,0.00000,0.00000,0.00000,0.00000,0.28571,0.00000,0.14286,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
90,0.09756,0.00000,0.00000,0.00000,0.00000,0.00000,0.04878,0.09756,0.21951,0.00000,0.00000,0.00000,0.00000,0.00000
91,0.10345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03448,0.10345,0.00000
92,0.20588,0.00000,0.00000,0.05882,0.02941,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93,0.26471,0.00000,0.00000,0.00000,0.14706,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11765,0.00000
94,0.06383,0.04255,0.00000,0.08511,0.06383,0.00000,0.04255,0.00000,0.21277,0.00000,0.00000,0.04255,0.00000,0.00000
95,0.00000,0.00000,0.04000,0.00000,0.00000,0.08000,0.06000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
96,0.04762,0.00000,0.09524,0.09524,0.07143,0.04762,0.04762,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
97,0.16129,0.00000,0.16129,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
98,0.15385,0.07692,0.00000,0.00000,0.15385,0.00000,0.00000,0.00000,0.15385,0.00000,0.00000,0.00000,0.00000,0.00000
99,0.33333,0.00000,0.16667,0.16667,0.08333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
100,0.09091,0.09091,0.03030,0.03030,0.00000,0.06061,0.15152,0.15152,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
101,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
102,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
103,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.80000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
105,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
107,0.00000,0.00000,0.00000,0.07692,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
108,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
109,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
110,0.13333,0.20000,0.06667,0.00000,0.00000,0.00000,0.06667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
111,0.43478,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
112,0.28571,0.07143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
113,0.30000,0.05000,0.00000,0.00000,0.00000,0.05000,0.10000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114,0.00000,0.17857,0.10714,0.10714,0.10714,0.00000,0.00000,0.03571,0.00000,0.00000,0.03571,0.00000,0.10714,0.00000
115,0.05263,0.21053,0.00000,0.15789,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
116,0.17647,0.05882,0.00000,0.11765,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
117,0.00000,0.22727,0.04545,0.00000,0.09091,0.00000,0.09091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
118,0.08333,0.00000,0.00000,0.00000,0.00000,0.12500,0.16667,0.00000,0.12500,0.04167,0.00000,0.00000,0.00000,0.00000
119,0.00000,0.00000,0.00000,0.02564,0.25641,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
120,0.00000,0.00000,0.00000,0.00000,0.02128,0.17021,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
121,0.00000,0.00000,0.00000,0.03448,0.00000,0.00000,0.10345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
122,0.02941,0.00000,0.02941,0.08824,0.00000,0.00000,0.02941,0.00000,0.00000,0.08824,0.05882,0.00000,0.00000,0.00000
123,0.08333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04167,0.00000,0.00000,0.00000
124,0.05882,0.00000,0.00000,0.05882,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
125,0.85714,0.14286,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
126,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000
127,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
128,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
129,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
130,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
131,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
132,0.00000,0.00000,0.00000,0.28571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14286,0.42857,0.00000,0.00000
133,0.00000,0.00000,0.00000,0.00000,0.13333,0.00000,0.00000,0.00000,0.00000,0.00000,0.06667,0.00000,0.00000,0.00000
134,0.06667,0.00000,0.00000,0.00000,0.00000,0.20000,0.00000,0.00000,0.00000,0.00000,0.06667,0.00000,0.00000,0.00000
135,0.04167,0.08333,0.00000,0.04167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18750,0.00000,0.00000,0.00000,0.00000,0.00000,0.06250,0.00000
137,0.06061,0.03030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03030,0.03030,0.00000,0.00000
138,0.14286,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
139,0.18182,0.13636,0.00000,0.00000,0.00000,0.00000,0.09091,0.00000,0.00000,0.04545,0.00000,0.00000,0.00000,0.00000
140,0.23529,0.11765,0.05882,0.05882,0.00000,0.00000,0.00000,0.05882,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
141,0.06977,0.13953,0.00000,0.00000,0.02326,0.00000,0.04651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
142,0.03509,0.01754,0.00000,0.01754,0.00000,0.00000,0.00000,0.00000,0.00000,0.01754,0.03509,0.00000,0.00000,0.01754
143,0.09231,0.00000,0.00000,0.01538,0.09231,0.03077,0.07692,0.00000,0.00000,0.00000,0.01538,0.00000,0.00000,0.01538
144,0.10169,0.00000,0.01695,0.06780,0.08475,0.06780,0.03390,0.00000,0.00000,0.00000,0.00000,0.00000,0.03390,0.00000
145,0.12195,0.07317,0.00000,0.07317,0.00000,0.04878,0.09756,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
146,0.20000,0.05000,0.00000,0.00000,0.07500,0.05000,0.07500,0.00000,0.00000,0.00000,0.02500,0.00000,0.00000,0.00000
147,0.14815,0.07407,0.00000,0.14815,0.14815,0.00000,0.03704,0.00000,0.00000,0.03704,0.07407,0.00000,0.00000,0.00000
148,0.06250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06250,0.00000,0.00000,0.00000
149,0.06250,0.00000,0.00000,0.12500,0.00000,0.00000,0.06250,0.00000,0.00000,0.00000,0.00000,0.12500,0.00000,0.00000
150,0.00000,0.13333,0.00000,0.06667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
151,0.00000,0.00000,0.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
152,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
153,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
154,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
155,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
156,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
157,0.00000,0.07143,0.00000,0.00000,0.00000,0.00000,0.35714,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
158,0.18919,0.00000,0.00000,0.08108,0.10811,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02703
159,0.09375,0.00000,0.00000,0.00000,0.00000,0.00000,0.31250,0.00000,0.00000,0.00000,0.03125,0.00000,0.00000,0.00000
160,0.08163,0.06122,0.02041,0.04082,0.00000,0.00000,0.10204,0.00000,0.00000,0.00000,0.02041,0.00000,0.00000,0.00000
161,0.11538,0.05769,0.00000,0.09615,0.00000,0.03846,0.03846,0.03846,0.00000,0.00000,0.01923,0.00000,0.01923,0.00000
162,0.05128,0.00000,0.00000,0.07692,0.00000,0.00000,0.10256,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
163,0.00000,0.00000,0.00000,0.02857,0.08571,0.12857,0.11429,0.00000,0.00000,0.02857,0.04286,0.00000,0.00000,0.00000
164,0.17045,0.05682,0.01136,0.00000,0.02273,0.00000,0.06818,0.03409,0.00000,0.00000,0.02273,0.00000,0.00000,0.02273
165,0.34615,0.11538,0.00000,0.00000,0.01923,0.00000,0.03846,0.00000,0.00000,0.03846,0.00000,0.00000,0.00000,0.00000
166,0.03390,0.10169,0.05085,0.06780,0.01695,0.00000,0.03390,0.00000,0.00000,0.10169,0.01695,0.00000,0.00000,0.00000
167,0.06593,0.02198,0.01099,0.00000,0.00000,0.04396,0.02198,0.00000,0.00000,0.01099,0.01099,0.00000,0.00000,0.00000
