venue	txt	lon	lat	user	year	doy	dow	hour	senti_val
Allegheny General Hospital	-80.0029	40.4572	DJTMI	2014	78	3	23	0.000	Just posted a photo Allegheny General Hospital
The Mac &amp; Gold Truck	-79.9443	40.4455	corey_tags	2014	278	0	16	0.000	Just posted a photo The Mac &amp; Gold Truck
The Mac &amp; Gold Truck	-79.9443	40.4455	corey_tags	2014	278	0	16	0.000	Just posted a photo The Mac &amp; Gold Truck
Strip District In The Burgh!	-79.9846	40.4506	vjaneee	2014	182	2	21	0.000	Just posted a photo Strip District In The Burgh!
Allentown	-79.9950	40.4220	DJTMI	2014	40	0	20	0.000	Just posted a photo Allentown
Eddie Merlots	-80.0036	40.4412	davidbowlin	2014	176	3	19	0.000	Just posted a photo Eddie Merlots
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9966	40.4415	obvi_g	2015	30	5	3	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9960	40.4418	TresheaWade	2015	32	0	22	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4415	CelinaPompeani	2015	247	5	23	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4415	Chiusy	2015	307	2	13	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4415	CelinaPompeani	2015	247	5	23	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9966	40.4415	obvi_g	2015	30	5	3	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9960	40.4418	TresheaWade	2015	32	0	22	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9967	40.4414	schtar	2015	143	6	20	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
