venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode	senti_avg
Kuhn's Market	-80.0436	40.4000	23	6	2014	277	0	0.000
Chipotle Mexican Grill_2	-79.9923	40.4408	23	12	2014	75	1	0.000
Pretty Kitty	-79.8955	40.4088	23	1	2014	117	0	0.390
Mitchell's Fish Market	-79.9178	40.4089	23	9	2014	45	5	0.000
Erin's fine foods Deli	-80.0002	40.4417	23	2	2015	187	2	0.184
Everyday Noodles	-79.9202	40.4382	23	17	2014	158	0	0.000
Jerry's Records	-79.9232	40.4326	22	9	2014	52	5	0.000
Three Rivers Arts Festival	-80.0019	40.4381	22	15	2015	158	6	0.250
Starbucks_8	-79.9395	40.4610	22	8	2014	77	5	0.000
by Hilton Hotel & Suites Pittsburgh Downtown	-79.9939	40.4406	22	6	2015	196	5	0.000
Cattivo	-79.9616	40.4725	22	4	2014	86	4	0.016
Park Bruges	-79.9206	40.4761	22	10	2014	7	6	0.000
DoubleTree by Hilton Hotel Pittsburgh	-80.0590	40.4185	22	8	2015	274	4	0.000
Port Authority Wood Street Station	-79.9996	40.4422	22	5	2014	204	4	0.137
Squirrel Hill Tunnel_1	-79.9165	40.4264	22	8	2015	189	3	0.000
Waterfront Trail	-79.9133	40.4069	22	1	2014	182	6	0.000
Point Brugge Caf	-79.9139	40.4501	22	11	2014	277	0	0.000
salud	-79.9349	40.4512	21	1	2014	291	6	0.000
Squirrel Hill Shopping District	-79.9229	40.4380	21	2	2014	144	5	0.000
1311	-79.9848	40.4288	21	10	2014	39	0	0.000
Lounge 7101	-79.8985	40.4579	21	1	2014	74	0	0.000
Sidelines Bar And Grill	-79.9725	40.4854	21	5	2014	30	4	0.000
Ephesus Pizza_1	-80.0025	40.4398	21	1	2014	72	5	0.000
The Manor Theatre	-79.9228	40.4372	21	17	2014	82	0	0.061
Waterworks Cinema	-79.8937	40.4899	21	9	2014	109	6	-0.027
Highmark Stadium	-80.0100	40.4362	21	7	2015	185	6	-0.016
21st Street Coffee and Tea_1	-79.9844	40.4517	21	8	2014	43	3	0.000
Page Dairy Mart	-79.9558	40.4112	21	11	2015	87	6	0.000
The Coffee Tree Roasters_1	-80.0496	40.3888	21	4	2015	187	6	0.000
Port Authority Allegheny Station_1	-80.0175	40.4480	21	6	2014	204	2	0.152
Cavo	-79.9845	40.4514	21	11	2014	131	0	0.009
Il Tetto	-79.9965	40.4442	21	9	2014	65	6	0.000
LongHorn Steakhouse	-79.9188	40.4043	21	6	2015	82	0	0.000
The Milk Shake Factory	-79.9817	40.4288	21	14	2014	83	3	-0.187
Mt. Ararat Baptist Church	-79.9145	40.4621	21	2	2014	74	0	0.000
Pittsburgh, PA_1	-79.9945	40.4411	20	12	2015	189	4	0.000
Roberts Engineering Hall	-79.9472	40.4425	20	1	2014	30	1	0.000
Little Asia	-79.9486	40.4458	20	3	2014	63	2	0.000
Uncle Sam's Subs	-79.8929	40.4892	20	5	2015	276	4	0.000
Mexican Restaurant	-80.0022	40.4410	20	8	2015	189	1	0.000
The Original Gab & Eat Restaurant	-80.0834	40.3979	20	6	2014	147	6	0.198
GetGo_4	-79.9620	40.4688	20	3	2014	33	0	0.000
Starbucks_5	-79.9609	40.4376	20	6	2015	188	2	0.000
Bruegger's Bagel Bakery_2	-79.9967	40.4427	20	7	2014	184	4	0.000
Alpha Chi Omega	-79.9419	40.4449	20	2	2014	33	0	0.000
Lotus Food	-79.9862	40.4496	20	7	2015	25	0	0.000
99 Bottles	-80.0823	40.3987	20	5	2014	25	0	0.000
Gaucho Parilla Argentina	-79.9874	40.4490	20	13	2015	156	4	0.000
Tad's on E. Carson	-79.9871	40.4287	20	5	2014	74	6	0.000
The Coffee Tree Roasters_2	-79.9156	40.4566	19	8	2014	37	6	0.000
The Saloon of Mt. Lebanon	-80.0446	40.3821	19	12	2014	311	6	0.000
UC Gymnasium	-79.9417	40.4433	19	2	2014	56	2	0.000
La Prima Espresso Company	-79.9831	40.4516	19	6	2014	74	6	0.000
Italian Village Pizza_1	-79.8870	40.4878	19	6	2015	85	4	0.000
Carnegie Coffee Co	-80.0863	40.4077	19	5	2014	48	0	0.000
Duquesne Towers	-79.9888	40.4355	19	1	2014	83	4	0.000
Rankin Municipal Building	-79.8803	40.4128	19	2	2014	123	3	0.000
Thin Man Sandwich Shop	-79.9840	40.4521	19	6	2014	82	0	0.000
Wean Hall	-79.9462	40.4428	19	3	2014	50	5	0.000
Campbell's Run Road	-80.0902	40.4069	18	1	2014	35	2	0.000
941 Saloon	-79.9963	40.4432	18	9	2014	187	0	0.000
CCAC Forester Student Services Center	-80.0148	40.4500	18	1	2014	44	4	0.000
Highland Park Club	-79.9256	40.4744	18	3	2014	48	5	0.000
