how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,1,0,0,0,0,5,0,0,0,0,0,0,0
158,7,0,0,3,4,0,0,0,0,0,0,0,0,1
159,3,0,0,0,0,0,10,0,0,0,1,0,0,0
160,4,3,1,2,0,0,5,0,0,0,1,0,0,0
161,6,3,0,5,0,2,2,2,0,0,1,0,1,0
162,2,0,0,3,0,0,4,0,0,0,0,0,0,0
163,0,0,0,2,6,9,8,0,0,2,3,0,0,0
164,15,5,1,0,2,0,6,3,0,0,2,0,0,2
165,18,6,0,0,1,0,2,0,0,2,0,0,0,0
166,2,6,3,4,1,0,2,0,0,6,1,0,0,0
167,6,2,1,0,0,4,2,0,0,1,1,0,0,0
