clid	venue	lon	lat	user	year	doy	dow	hour
11	Hampton Inn Pittsburgh Univercity Center	-79.9631	40.4360	PaulFogle	2015	15	4	22	0.000
0	Wood Street Bus Stop	-79.9999	40.4417	IPhillyBoy2011	2014	52	5	21	-0.239
0	Wood Street Bus Stop	-79.9999	40.4417	Smeagol_Is_Free	2014	67	6	13	-0.239
0	Wood Street Bus Stop	-79.9999	40.4417	IPhillyBoy2011	2014	52	5	21	-0.239
0	Wood Street Bus Stop	-79.9999	40.4417	Smeagol_Is_Free	2014	67	6	13	-0.239
1	Carnegie Museum Of Art	-79.9494	40.4435	LMWoellert	2014	312	6	19	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	J_Anthony_	2014	33	0	20	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	TeshawnEdmonds	2014	142	4	3	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	kwtaylorwriter	2015	174	2	17	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	barbeecain	2015	194	1	0	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	barbeecain	2015	194	1	0	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	brlodi	2015	239	4	19	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	ficmacdady	2015	74	0	16	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	ficmacdady	2015	74	0	16	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	barbeecain	2015	194	1	0	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	ficmacdady	2015	74	0	16	0.000
1	Carnegie Museum Of Art	-79.9494	40.4435	brlodi	2015	239	4	19	0.000
3	Coppertops	-79.9748	40.4284	BAVars914	2014	126	2	2	0.000
3	Coppertops	-79.9748	40.4284	BAVars914	2014	179	6	2	0.000
3	Coppertops	-79.9748	40.4284	MemoirsOfAGrump	2014	51	4	1	0.000
3	Coppertops	-79.9748	40.4284	BAVars914	2014	179	6	2	0.000
3	Coppertops	-79.9748	40.4284	MemoirsOfAGrump	2014	51	4	1	0.000
3	Coppertops	-79.9748	40.4284	DBaker513	2014	68	0	4	0.000
17	Carnegie, PA	-80.0850	40.4039	thebarryproject	2015	73	6	16	0.000
