venue	txt	lon	lat	user	year	doy	dow	hour	senti_val
Thai Place II	-79.8856	40.4870	ZyanLuxe	2014	81	6	19	0.000	I'm at Thai Place II (Pittsburgh, PA)
Thai Place II	-79.8856	40.4870	rockinet7	2015	239	4	16	0.000	I'm at Thai Place II in Pittsburgh, PA
Thai Place II	-79.8856	40.4870	rockinet7	2015	181	2	16	0.000	I'm at Thai Place II in Pittsburgh, PA
Thai Place II	-79.8856	40.4870	rockinet7	2015	181	2	16	0.000	I'm at Thai Place II in Pittsburgh, PA
Thai Place II	-79.8856	40.4870	rockinet7	2015	239	4	16	0.000	I'm at Thai Place II in Pittsburgh, PA
Rangos Omnimax Theater	-80.0181	40.4457	SWSondheimer	2014	298	6	15	0.000	I'm at Rangos Omnimax Theater for Mysteries of the Unseen World in Pittsburgh, PA
Rangos Omnimax Theater	-80.0181	40.4457	JenIsGreen	2014	155	3	17	0.000	I'm at Rangos Omnimax Theater for Mysteries of the Unseen World (Pittsburgh, PA)
Rangos Omnimax Theater	-80.0181	40.4457	SWSondheimer	2014	298	6	15	0.000	I'm at Rangos Omnimax Theater for Mysteries of the Unseen World in Pittsburgh, PA
Rangos Omnimax Theater	-80.0181	40.4457	JenIsGreen	2014	155	3	17	0.000	I'm at Rangos Omnimax Theater for Mysteries of the Unseen World (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	186	6	5	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	185	5	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	189	2	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	195	1	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	210	2	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	241	5	4	0.000	I'm at A To Z Highand Park in Pittsburgh, PA
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	310	4	3	0.000	I'm at A To Z Highand Park in Pittsburgh, PA
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	23	4	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	24	5	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	25	6	4	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	28	2	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
