venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode	senti_avg
Twilight Zone	-79.9189	40.3876	12	1	2015	272	2	0.000
Pittsburgh Central Downtown Historic District	-79.9972	40.4414	11	3	2015	46	0	0.000
Amtrak Station	-79.9924	40.4447	11	3	2014	132	1	0.000
Fright Nights At Kennywood Park	-79.8641	40.3865	10	3	2015	304	6	-0.271
Art All Night: Lawrenceville	-79.9647	40.4716	10	2	2014	117	0	0.000
Carnegie Museum of Art	-79.9494	40.4436	10	7	2015	85	4	0.000
Duquesne University	-79.9905	40.4368	10	6	2015	85	2	0.000
Heintz Field-Pittsburgh	-80.0085	40.4474	10	1	2015	274	4	0.000
Under the 40th Street Bridge	-79.9674	40.4724	10	2	2014	127	3	0.000
ALTAR BAR	-79.9868	40.4492	9	5	2014	121	4	0.000
Saint Paul Cathedral	-79.9500	40.4472	9	4	2014	307	1	0.000
Point Park University	-80.0020	40.4386	9	6	2015	252	3	0.000
Three Rivers Heritage Trail	-80.0028	40.4469	9	4	2015	199	6	0.000
Mad Mex Shadyside	-79.9251	40.4583	9	2	2014	216	1	-0.390
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	9	5	2015	247	5	0.000
Paint Monkey	-79.9638	40.4730	9	2	2014	136	0	0.000
Fort Pitt Bridge_2	-80.0110	40.4390	9	2	2014	90	1	0.000
Heinz History Center	-79.9922	40.4466	9	6	2015	73	6	0.000
SAVOY Restaurant & Lounge	-79.9780	40.4555	8	3	2015	28	0	0.000
Allegheny General Hospital	-80.0029	40.4572	8	1	2014	78	3	0.000
Da Burgh	-80.0050	40.4429	8	1	2015	187	1	0.000
The Cheesecake Factory	-79.9655	40.4281	8	6	2015	38	6	0.000
Mario Lemieux 6.6k	-79.9866	40.4418	8	2	2015	277	0	0.000
Fort Pitt Bridge_1	-80.0134	40.4379	8	2	2014	160	0	0.000
Chipotle	-79.9474	40.4542	8	1	2014	74	0	0.000
Soldiers & Sailors Memorial Hall & Museum Trust	-79.9564	40.4450	8	4	2014	226	1	0.248
Squirell Hill	-79.9238	40.4293	7	1	2015	184	5	0.000
Sheda's Fashion	-80.0112	40.4288	7	1	2014	27	1	0.000
Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	7	2	2015	281	4	0.000
Mt. Washington View Point, Pittsburgh, PA	-80.0112	40.4344	7	4	2015	185	6	0.000
Waffles Incaffienated, SouthSide	-79.9694	40.4279	7	3	2015	276	6	0.000
Phantom Fright Nights	-79.8652	40.3857	7	1	2014	309	3	-0.342
Carson City Saloon	-79.9840	40.4289	7	5	2015	73	0	0.000
George K. Cupples Stadium	-79.9906	40.4284	7	2	2015	275	5	0.000
Delanie's Coffee	-79.9807	40.4290	7	2	2015	280	4	0.000
Andy Warhol Bridge	-80.0014	40.4461	7	4	2014	157	0	0.000
Smithfield United Church Of Christ_2	-80.0079	40.4490	7	3	2014	80	5	0.286
The Smiling Moose	-79.9850	40.4288	7	5	2014	224	2	0.375
Carnegie Library Music Hall of Homestead	-79.9028	40.4070	7	3	2015	41	2	0.000
Wigle Whiskey	-79.9813	40.4544	7	2	2014	108	5	0.000
Mt Washington Overlook_1	-80.0104	40.4338	6	3	2015	194	1	0.000
Kiln-N-Time	-79.9616	40.4646	6	1	2015	87	6	0.000
Renaissance Pittsburgh Hotel	-80.0024	40.4439	6	4	2015	166	0	0.000
National Aviary_1	-80.0097	40.4541	6	1	2014	60	6	0.000
Garfield (Pittsburgh	-79.9400	40.4670	6	2	2015	274	4	0.000
Guardian Angel Ambulance Service	-79.9306	40.3638	6	1	2015	279	2	0.000
Gateway Station (PAT	-80.0043	40.4417	6	1	2014	60	6	0.000
