how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
24,0.23077,0.13462,0.00000,0.21154,0.03846,0.09615,0.03846,0.03846,0.00000,0.03846,0.00000,0.19231,0.07692,0.09615
25,0.17778,0.00000,0.00000,0.08889,0.06667,0.00000,0.00000,0.08889,0.00000,0.00000,0.00000,0.00000,0.00000,0.04444
26,0.26316,0.15789,0.02632,0.13158,0.07895,0.10526,0.05263,0.00000,0.00000,0.02632,0.00000,0.00000,0.00000,0.00000
27,0.25000,0.02500,0.00000,0.10000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000,0.02500,0.02500,0.00000,0.05000
28,1.27273,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18182,0.00000,0.00000,0.00000,0.00000
29,0.20690,0.00000,0.03448,0.24138,0.06897,0.00000,0.00000,0.00000,0.00000,0.03448,0.00000,0.00000,0.00000,0.00000
30,0.00000,0.00000,0.00000,0.50000,0.00000,0.00000,0.75000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,1.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
33,0.00000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
34,2.33333,0.33333,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
35,1.00000,0.22222,0.11111,0.66667,0.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22222,0.00000,0.44444
36,4.66667,0.66667,0.00000,0.00000,0.00000,3.00000,0.33333,0.00000,0.00000,0.00000,0.00000,1.33333,0.00000,4.33333
37,4.25000,0.33333,0.08333,0.08333,0.66667,1.00000,0.91667,0.00000,0.00000,0.00000,0.00000,0.00000,0.08333,0.25000
