clid	venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode
0	Penn Garrison	-79.9975	40.4443	4	1	2014	37	4
0	Wiener World	-79.9972	40.4420	4	2	2014	31	5
0	SEI	-79.9970	40.4399	4	1	2014	51	4
0	Saint Mary of Mercy Church	-80.0046	40.4398	4	2	2014	110	0
0	Kwik-E-Mart	-79.9955	40.4440	4	2	2014	188	1
0	CLO Cabaret	-80.0004	40.4433	4	2	2014	10	0
0	New City Church	-79.9999	40.4397	4	1	2015	53	0
0	tk	-80.0019	40.4424	4	3	2015	183	4
0	Laurie's Hallmark	-80.0031	40.4417	4	2	2014	77	2
0	Fairmont Pittsburgh Hotel	-80.0020	40.4414	4	2	2015	10	6
0	Ninth And Penn Garage	-79.9986	40.4440	4	2	2014	45	5
0	Passive Park	-79.9982	40.4363	4	2	2014	32	0
0	Sally Beauty Supply	-79.9997	40.4420	4	1	2014	88	1
0	The Yard_2	-80.0027	40.4413	4	3	2015	268	5
0	Gourmet Sandwiches	-80.0034	40.4415	4	1	2014	150	5
0	Little E's	-79.9962	40.4432	4	2	2014	72	4
0	Dr Eisenberg	-79.9981	40.4398	4	1	2014	51	4
0	Three Gateway Center	-80.0053	40.4417	4	1	2014	240	4
0	Eddie Merlot's	-80.0043	40.4413	4	2	2015	185	6
0	Courtyard By Marriot Valet Parking Lot_2	-79.9956	40.4444	4	1	2014	187	0
0	Bricolage	-79.9965	40.4431	4	2	2014	135	4
0	Wood Street Bus Stop	-79.9999	40.4417	4	2	2014	52	5
0	Tenpenny	-79.9957	40.4442	4	2	2014	52	5
0	Bus Stop At Stanwix & 4th Ave	-80.0045	40.4403	4	1	2014	287	2
0	Space Art Gallery	-79.9984	40.4428	4	2	2014	24	5
0	Bravo Franco Ristorante	-80.0018	40.4428	4	1	2015	185	6
0	Dick's Sporting Goods Pittsburgh Marathon	-80.0021	40.4418	3	3	2014	124	0
0	Duquesne Club	-79.9987	40.4419	3	3	2014	102	1
0	The Grant Street Tavern	-79.9979	40.4376	3	1	2015	37	5
0	19L	-79.9964	40.4394	3	1	2014	51	4
0	PNC Firstside Center	-79.9976	40.4359	3	2	2014	49	2
0	Pittsburgh Grille	-79.9949	40.4417	3	1	2014	200	6
0	Strassburger, McKenna, Gutnick, & Gefsky Law	-80.0041	40.4406	3	1	2014	63	2
0	Station Square Tunnel	-80.0060	40.4389	3	1	2014	338	4
0	Pop-Up	-79.9966	40.4417	3	1	2014	98	2
0	Residences at Piatt place	-79.9994	40.4409	3	1	2015	74	0
0	Smithfield Street Bridge	-80.0021	40.4349	3	2	2014	28	2
0	Mike and Tony's Gyros	-79.9967	40.4430	3	1	2014	127	3
0	Sushi Kim	-79.9915	40.4463	3	1	2015	191	5
0	Five Guys Burgers And Fries	-80.0030	40.4402	3	1	2014	186	6
0	AT&T_2	-79.9963	40.4402	3	1	2014	132	1
0	Ephesus Pizza_2	-80.0001	40.4391	3	1	2014	59	5
0	Arby's	-79.9987	40.4427	3	1	2015	192	6
0	Rivers Club	-79.9993	40.4381	3	1	2014	106	3
0	David L. Lawrence Convention Center Water Pathway	-79.9956	40.4444	3	1	2015	193	0
0	La Gondola	-80.0023	40.4402	3	1	2015	289	5
0	Easy Street	-79.9980	40.4379	3	2	2015	155	4
0	Mahoneys	-79.9962	40.4432	3	1	2015	8	4
0	Harris Theater	-79.9985	40.4426	3	2	2014	135	4
0	First Avenue Garage	-79.9965	40.4355	3	1	2014	334	0
0	PennDOT Photo & Exam Center	-79.9967	40.4429	3	1	2015	41	2
0	The Bistro	-79.9962	40.4443	3	1	2014	156	4
0	Bluebird Kitchen	-80.0018	40.4404	3	1	2014	350	2
0	Pittsburgh Winter Beerfest_2	-79.9970	40.4453	3	1	2014	61	0
0	William S. Moorhead Federal Building	-79.9943	40.4436	3	3	2014	121	3
0	The Commoner	-79.9965	40.4415	3	2	2015	269	6
0	Anthrocon Charity Auction	-79.9929	40.4470	3	1	2015	193	0
0	Braddock's American Brasserie	-80.0027	40.4439	3	3	2014	28	2
0	Huntington Bank	-79.9969	40.4427	3	1	2014	189	2
0	Pittsburgh Downtown Partnership	-79.9973	40.4430	2	1	2014	41	1
0	Rite Aid_6	-79.9976	40.4413	2	1	2014	132	1
0	O'Reilly Theater	-80.0014	40.4428	2	2	2014	134	0
0	Tessitura Office	-79.9985	40.4428	2	1	2015	28	3
0	Koppers Tower	-79.9953	40.4421	2	2	2014	25	2
0	525 William Penn Place	-79.9985	40.4412	2	1	2014	70	2
0	21st Street Coffee and Tea_2	-80.0008	40.4411	2	2	2014	56	2
0	Bus Stop Stanwix St. & Penn Ave	-80.0044	40.4415	2	1	2015	201	1
0	Keystone Cafe	-79.9983	40.4414	2	1	2015	14	3
0	U.S. Bankruptcy Court	-79.9952	40.4414	2	1	2015	265	2
0	An SAP Company	-79.9998	40.4420	2	1	2014	112	2
0	The Carlton Restaurant	-79.9959	40.4394	2	1	2015	194	1
0	United Steelworkers Building	-80.0047	40.4396	2	1	2014	83	1
0	Andys	-80.0019	40.4413	2	2	2014	173	0
0	Home And Garden Show	-79.9970	40.4456	2	1	2015	72	5
0	Wyndham Fitness Center	-80.0063	40.4414	2	1	2015	144	0
0	Penn Station	-79.9921	40.4440	2	2	2014	113	3
0	Courthouse Tavern	-80.0004	40.4400	2	2	2014	179	3
0	Stone Neapolitan Pizzeria	-80.0061	40.4414	2	2	2015	143	3
0	Yimmy's	-79.9971	40.4425	2	1	2014	188	1
0	Village Park	-80.0021	40.4383	2	1	2014	100	4
0	Ruth's Chris Steak House	-80.0035	40.4394	2	2	2014	90	0
0	United states post office	-80.0047	40.4434	2	1	2014	113	3
0	Toss't	-80.0018	40.4412	2	1	2014	87	1
0	Rivervue workout facility	-80.0055	40.4410	2	1	2014	30	2
0	Sammy's	-79.9951	40.4382	2	1	2015	145	1
0	Bruegger's Bagel Bakery_4	-80.0029	40.4411	2	2	2014	26	0
0	The Pittsburgh Foundation	-80.0034	40.4394	2	1	2015	239	4
0	Pittsburgh CAPA High School	-79.9985	40.4446	2	1	2014	114	4
0	One Gateway Center	-80.0052	40.4416	2	2	2014	30	4
0	Villa	-80.0003	40.4402	2	1	2014	158	6
0	Mellon Square Parking Garage	-79.9963	40.4420	2	1	2015	80	0
0	Pittsburgh Winter Beerfest_1	-79.9968	40.4458	2	1	2015	53	0
0	Heinz 57 Center	-79.9984	40.4416	2	1	2014	90	1
0	Harvard Yale Princeton Club	-80.0022	40.4371	2	1	2015	157	6
0	Au Bon Pain_1	-80.0030	40.4416	2	2	2015	40	1
0	Federated Investors_2	-79.9948	40.4443	2	1	2014	344	3
0	The Point_1	-80.0090	40.4412	2	1	2015	185	6
0	Three Rivers Restaurants	-80.0066	40.4417	2	1	2015	195	2
0	6th And Smithfield Bus Stop	-79.9996	40.4421	2	1	2014	52	5
0	Pride_2	-79.9963	40.4434	2	1	2014	166	0
0	Braddock's Bar	-80.0026	40.4438	2	2	2015	20	1
0	Villa Reale	-79.9971	40.4418	2	1	2014	115	5
0	The Pennsylvanian	-79.9925	40.4440	2	1	2014	286	1
0	Market Street Grocery	-80.0023	40.4412	2	1	2015	196	3
0	Three Rivers' Bar	-80.0063	40.4416	2	1	2014	130	6
0	Cherries Diner	-80.0023	40.4407	2	2	2014	90	1
0	Jail Trail	-79.9983	40.4361	2	1	2014	145	0
0	Mitchell's Restaurant, Bar & Banquet Center	-79.9971	40.4375	2	1	2015	240	5
0	Kaufmann's Clock at Macy's Downtown	-79.9987	40.4400	2	1	2014	132	1
0	Bus Stop 7th St. & Penn Ave	-80.0003	40.4432	2	1	2014	88	6
0	The Exchange_2	-79.9992	40.4391	2	2	2014	16	3
0	Dr. Mary Vogel	-80.0068	40.4421	2	1	2014	48	1
0	Awesome Books	-79.9968	40.4430	2	1	2014	132	1
0	Zorba's	-79.9995	40.4388	2	1	2015	239	4
0	Wood Street Galleries	-79.9996	40.4423	2	2	2014	112	2
0	Patronato Italuil	-80.0042	40.4381	2	1	2014	279	1
0	Allegheny Conference on Community Development and Affiliates	-80.0060	40.4396	2	1	2014	318	5
0	City-County Building	-79.9975	40.4380	2	1	2014	280	2
0	GNC LiveWell Pittsburgh Health and Fitness Expo	-79.9970	40.4455	2	1	2014	123	6
0	PNC Park Suite 43	-79.9960	40.4406	2	1	2014	129	5
0	Bea Taco Town	-79.9969	40.4424	2	2	2014	310	5
0	Thai Hana 500 Liberty Avenue	-80.0074	40.4432	2	1	2014	150	5
0	CVS Pharmacy_1	-79.9991	40.4425	2	2	2014	132	1
0	Port Authority Steel Plaza Station	-79.9952	40.4401	2	2	2014	112	2
0	Department of Court Records	-79.9966	40.4385	2	1	2014	83	1
0	Penn Station East Coast Subs_2	-79.9988	40.4426	2	1	2015	10	6
0	Nine on Nine	-79.9982	40.4439	2	1	2014	60	6
0	Simple Ingredients	-79.9986	40.4427	2	1	2015	146	2
0	Print & Ship Center_3	-79.9967	40.4440	2	1	2014	132	1
0	Shaw Galleries	-79.9987	40.4426	2	1	2014	135	4
0	CVS/pharmacy_2	-80.0017	40.4418	2	2	2014	132	1
0	Seventh St Bridge	-80.0011	40.4449	2	1	2014	28	2
0	PNC Triangle Park	-80.0019	40.4418	2	1	2014	66	2
0	Education Management Corporation	-80.0000	40.4422	2	1	2014	37	4
0	Indian Spices LLC	-80.0024	40.4433	2	2	2014	73	1
0	Hot Mass	-79.9926	40.4460	2	2	2014	60	0
0	West Penn Building	-80.0024	40.4378	2	1	2014	37	2
0	Pittsburgh JazzLive International	-79.9978	40.4438	2	1	2014	173	0
0	Mellon Green	-79.9956	40.4402	2	1	2014	145	0
