venue	lon	lat	user	year	doy	dow	hour	senti_val	txt
Northview Projects	-80.0011	40.4793	coolc_412	2014	357	2	4	0.000	Just posted a photo Northview Projects
Northview Projects	-80.0011	40.4793	coolc_412	2014	357	2	4	0.000	Just posted a photo Northview Projects
Northview Projects	-80.0011	40.4793	coolc_412	2014	357	2	4	0.000	Just posted a photo Northview Projects
Northview Projects	-80.0011	40.4793	coolc_412	2014	357	2	4	0.000	Just posted a photo Northview Projects
Primanti Brothers_2	-79.9889	40.4300	gillygillyboy	2015	202	2	21	0.000	Just posted a photo Primanti Brothers
Niagara Falls	-79.9218	40.4298	a_niyath	2015	146	2	1	0.000	Just posted a photo Niagara Falls
Niagara Falls	-79.9218	40.4298	a_niyath	2015	146	2	1	0.000	Just posted a photo Niagara Falls
Primanti Brothers_1	-80.0027	40.4403	BenzaBurgh	2014	83	1	17	0.000	Just posted a photo Primanti Brothers
Primanti Brothers_1	-80.0027	40.4403	BenzaBurgh	2014	83	1	17	0.000	Just posted a photo Primanti Brothers
Primanti Brothers_1	-80.0027	40.4403	BenzaBurgh	2014	83	1	17	0.000	Just posted a photo Primanti Brothers
Seiphaus	-79.8983	40.4185	skrutop	2014	95	6	16	0.000	Just posted a photo Seiphaus
General Robinson & Federal	-80.0044	40.4482	JoshLouie	2014	176	3	20	0.000	Just posted a photo General Robinson &amp; Federal
Caffe Mona la bistro	-79.9543	40.4658	corey_tags	2014	329	2	17	0.000	Just posted a photo Caffe Mona la bistro
Caffe Mona la bistro	-79.9543	40.4658	corey_tags	2014	329	2	17	0.000	Just posted a photo Caffe Mona la bistro
Big Shot Bob's House of Wings	-80.0618	40.5038	URfavMC	2015	97	2	23	0.000	Just posted a photo Big Shot Bob's House of Wings
Big Shot Bob's House of Wings	-80.0618	40.5038	URfavMC	2015	204	4	17	0.000	Just posted a photo Big Shot Bob's House of Wings
Big Shot Bob's House of Wings	-80.0618	40.5038	URfavMC	2015	204	4	17	0.000	Just posted a photo Big Shot Bob's House of Wings
Big Shot Bob's House of Wings	-80.0618	40.5038	URfavMC	2015	204	4	17	0.000	Just posted a photo Big Shot Bob's House of Wings
Big Shot Bob's House of Wings	-80.0618	40.5038	URfavMC	2015	204	4	17	0.000	Just posted a photo Big Shot Bob's House of Wings
16th Street Bridge Traffic	-79.9914	40.4521	JoshLouie	2014	196	2	20	0.000	Just posted a photo 16th Street Bridge Traffic
Monogahela Incline	-80.0048	40.4343	D_rayyyyyy	2014	298	6	3	0.000	Just posted a photo Monogahela Incline
Thin Man Sandwich Shop	-79.9839	40.4521	werbette	2014	196	2	22	0.000	Just posted a photo Thin Man Sandwich Shop
Thin Man Sandwich Shop	-79.9839	40.4521	werbette	2014	196	2	22	0.000	Just posted a photo Thin Man Sandwich Shop
The Duquesne Incline_1	-80.0060	40.4314	NicoleACasio	2014	207	6	17	0.000	Just posted a photo The Duquesne Incline
The Duquesne Incline_1	-80.0060	40.4314	heyyitsjared	2014	242	6	2	0.000	Just posted a photo The Duquesne Incline
The Duquesne Incline_1	-80.0060	40.4314	BenzaBurgh	2014	297	5	2	0.000	Just posted a photo The Duquesne Incline
The Duquesne Incline_1	-80.0060	40.4314	BenzaBurgh	2014	297	5	2	0.000	Just posted a photo The Duquesne Incline
The Duquesne Incline_1	-80.0060	40.4314	josheanderson	2014	336	2	16	0.000	Just posted a photo The Duquesne Incline
Pittsburgh Improv Comedy Club	-79.9150	40.4091	JamieLissow	2015	297	6	1	0.294	Just posted a photo Pittsburgh Improv Comedy Club
Pittsburgh Improv Comedy Club	-79.9150	40.4091	JamieLissow	2015	297	6	1	0.294	Just posted a photo Pittsburgh Improv Comedy Club
Pittsburgh Improv Comedy Club	-79.9150	40.4091	JamieLissow	2015	297	6	1	0.294	Just posted a photo Pittsburgh Improv Comedy Club
East Carson Street Pittsburgh	-79.9819	40.4286	LegacyAvenue	2015	227	6	0	0.000	Just posted a photo East Carson Street Pittsburgh
East Carson Street Pittsburgh	-79.9819	40.4286	LegacyAvenue	2015	227	6	0	0.000	Just posted a photo East Carson Street Pittsburgh
East Carson Street Pittsburgh	-79.9819	40.4286	Daanielleee_1	2015	68	1	22	0.000	Just posted a photo East Carson Street Pittsburgh
Amtrak Station	-79.9924	40.4447	Liberryterry	2015	29	4	20	0.000	Just posted a photo Amtrak Station
Amtrak Station	-79.9924	40.4447	DJTMI	2014	132	1	23	0.000	Just posted a photo Amtrak Station
Amtrak Station	-79.9924	40.4447	DJTMI	2014	132	1	23	0.000	Just posted a photo Amtrak Station
Amtrak Station	-79.9924	40.4447	DJTMI	2014	132	1	23	0.000	Just posted a photo Amtrak Station
Amtrak Station	-79.9924	40.4447	DJTMI	2014	133	2	0	0.000	Just posted a photo Amtrak Station
Amtrak Station	-79.9924	40.4447	DJTMI	2014	133	2	0	0.000	Just posted a photo Amtrak Station
Amtrak Station	-79.9924	40.4447	cgranniss08	2014	287	2	11	0.000	Just posted a photo Amtrak Station
Amtrak Station	-79.9924	40.4447	DJTMI	2014	133	2	0	0.000	Just posted a photo Amtrak Station
Amtrak Station	-79.9924	40.4447	DJTMI	2014	132	1	23	0.000	Just posted a photo Amtrak Station
Amtrak Station	-79.9924	40.4447	cgranniss08	2014	287	2	11	0.000	Just posted a photo Amtrak Station
Amtrak Station	-79.9924	40.4447	DJTMI	2014	132	1	23	0.000	Just posted a photo Amtrak Station
S.W. Randall Toyes and Giftes	-79.9969	40.4422	davidbowlin	2014	354	6	17	0.000	Just posted a photo S.W. Randall Toyes and Giftes
S.W. Randall Toyes and Giftes	-79.9969	40.4422	davidbowlin	2014	354	6	17	0.000	Just posted a photo S.W. Randall Toyes and Giftes
S.W. Randall Toyes and Giftes	-79.9969	40.4422	davidbowlin	2014	354	6	17	0.000	Just posted a photo S.W. Randall Toyes and Giftes
S.W. Randall Toyes and Giftes	-79.9969	40.4422	davidbowlin	2014	354	6	17	0.000	Just posted a photo S.W. Randall Toyes and Giftes
Wtae-Tv Channel 4	-79.8691	40.4356	techburgh	2015	181	2	21	0.000	Just posted a photo Wtae-Tv Channel 4
Wtae-Tv Channel 4	-79.8691	40.4356	Karon_Ali	2014	354	6	22	0.000	Just posted a photo Wtae-Tv Channel 4
Wtae-Tv Channel 4	-79.8691	40.4356	susanlu	2015	17	6	14	0.000	Just posted a photo Wtae-Tv Channel 4
Wtae-Tv Channel 4	-79.8691	40.4356	techburgh	2015	181	2	22	0.000	Just posted a photo Wtae-Tv Channel 4
Wtae-Tv Channel 4	-79.8691	40.4356	techburgh	2015	181	2	22	0.000	Just posted a photo Wtae-Tv Channel 4
Bar Louie Station Square	-80.0049	40.4346	dsandherr	2014	145	0	18	0.000	Just posted a photo Bar Louie Station Square
Some Place Far Away	-79.9477	40.4489	Captain_Teebs	2014	119	2	14	0.000	Just posted a photo Some Place Far Away
Some Place Far Away	-79.9477	40.4489	Captain_Teebs	2014	119	2	14	0.000	Just posted a photo Some Place Far Away
Braddock, Pennsylvania	-79.8686	40.4033	iamseton	2014	206	5	3	0.000	Just posted a photo Braddock, Pennsylvania
Braddock, Pennsylvania	-79.8686	40.4033	iamseton	2014	206	5	3	0.000	Just posted a photo Braddock, Pennsylvania
Braddock, Pennsylvania	-79.8686	40.4033	iamseton	2014	206	5	3	0.000	Just posted a photo Braddock, Pennsylvania
Braddock, Pennsylvania	-79.8686	40.4033	iamseton	2014	206	5	3	0.000	Just posted a photo Braddock, Pennsylvania
S Q U A D	-80.0032	40.4442	Hilla_Rae	2015	143	6	23	0.000	Just posted a photo S Q U A D
Human Computer Interaction Institute	-79.9457	40.4435	josephcc	2014	87	5	21	0.000	Just posted a photo Human Computer Interaction Institute
Human Computer Interaction Institute	-79.9457	40.4435	josephcc	2014	87	5	21	0.000	Just posted a photo Human Computer Interaction Institute
Human Computer Interaction Institute	-79.9457	40.4435	josephcc	2014	87	5	21	0.000	Just posted a photo Human Computer Interaction Institute
P.F. Chang's	-79.9161	40.4071	GretaMittereder	2014	96	0	19	0.000	Just posted a photo P.F. Chang's
P.F. Chang's	-79.9161	40.4071	Dr__Essam__	2014	69	1	22	0.000	Just posted a photo P.F. Chang's
Greater Pittsburgh Coliseum	-79.8937	40.4563	cmccrearyyoga	2014	216	1	21	0.333	Just posted a photo Greater Pittsburgh Coliseum
Sandcastle Waterpark	-79.9280	40.3980	Ahmed_Alshewish	2014	242	6	16	0.000	Just posted a photo Sandcastle Waterpark
Sandcastle Waterpark	-79.9280	40.3980	Ahmed_Alshewish	2014	242	6	16	0.000	Just posted a photo Sandcastle Waterpark
Perrysville Ave	-80.0193	40.4916	jsheelmusic	2014	332	5	2	0.000	Just posted a photo Perrysville Ave
At the corner of bad&bitches	-80.0013	40.4386	AlenaLancia	2015	79	5	23	0.000	Just posted a photo At the corner of bad&amp;bitches
At the corner of bad&bitches	-80.0013	40.4386	AlenaLancia	2015	79	5	23	0.000	Just posted a photo At the corner of bad&amp;bitches
At the corner of bad&bitches	-80.0013	40.4386	AlenaLancia	2015	79	5	23	0.000	Just posted a photo At the corner of bad&amp;bitches
At the corner of bad&bitches	-80.0013	40.4386	AlenaLancia	2015	80	6	0	0.000	Just posted a photo At the corner of bad&amp;bitches
The Cheesecake Factory	-79.9655	40.4281	CaseyBence	2015	206	6	23	0.000	Just posted a photo The Cheesecake Factory
The Cheesecake Factory	-79.9655	40.4281	AdamVictoria114	2015	305	0	19	0.000	Just posted a photo The Cheesecake Factory
The Cheesecake Factory	-79.9655	40.4281	sophiajbrooks	2014	327	0	7	0.000	Just posted a photo The Cheesecake Factory
The Cheesecake Factory	-79.9655	40.4281	maxvolkguitar	2014	338	4	22	0.000	Just posted a photo The Cheesecake Factory
The Cheesecake Factory	-79.9655	40.4281	DrHazmi	2015	38	6	19	0.000	Just posted a photo The Cheesecake Factory
The Cheesecake Factory	-79.9655	40.4281	DrHazmi	2015	38	6	19	0.000	Just posted a photo The Cheesecake Factory
The Cheesecake Factory	-79.9655	40.4281	xxashleyhoakxx	2015	283	6	22	0.000	Just posted a photo The Cheesecake Factory
The Cheesecake Factory	-79.9655	40.4281	xxashleyhoakxx	2015	283	6	22	0.000	Just posted a photo The Cheesecake Factory
South Oakland, Pittsburgh, Pennsylvania	-79.9548	40.4328	channing563	2015	270	0	5	0.000	Just posted a photo South Oakland, Pittsburgh, Pennsylvania
South Oakland, Pittsburgh, Pennsylvania	-79.9548	40.4328	LoveMeSachse	2015	185	6	22	0.000	Just posted a photo South Oakland, Pittsburgh, Pennsylvania
South Oakland, Pittsburgh, Pennsylvania	-79.9548	40.4328	LoveMeSachse	2015	185	6	22	0.000	Just posted a photo South Oakland, Pittsburgh, Pennsylvania
South Oakland, Pittsburgh, Pennsylvania	-79.9548	40.4328	LoveMeSachse	2015	185	6	22	0.000	Just posted a photo South Oakland, Pittsburgh, Pennsylvania
South Oakland, Pittsburgh, Pennsylvania	-79.9548	40.4328	LoveMeSachse	2015	185	6	22	0.000	Just posted a photo South Oakland, Pittsburgh, Pennsylvania
South Oakland, Pittsburgh, Pennsylvania	-79.9548	40.4328	channing563	2015	270	0	5	0.000	Just posted a photo South Oakland, Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	camweinert	2015	199	6	17	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	gillygillyboy	2015	202	2	21	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	NJLansberry	2015	205	5	3	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	MaKaylaBrownn	2015	307	2	22	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	oooojoooo	2015	242	0	2	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	DarylkMapson	2015	151	0	22	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	des_santo	2015	151	0	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	WholeRen	2015	302	4	19	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	WholeRen	2015	302	4	14	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	Chiusy	2015	307	2	13	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	nicolllekellly	2015	305	0	0	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	mylifeasviols	2015	305	0	1	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	wxrman	2015	305	0	17	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	wxrman	2015	305	0	17	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	wxrman	2015	305	0	17	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	vleaumeus1	2015	305	0	18	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	WholeRen	2015	307	2	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	WholeRen	2015	308	3	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	WholeRen	2015	308	3	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	WholeRen	2015	309	4	18	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	WholeRen	2015	306	1	18	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	Chiusy	2015	306	1	21	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	DarylkMapson	2015	151	0	22	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	des_santo	2015	151	0	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	Conk36	2015	263	0	22	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	Revo_lutionMan	2015	265	2	4	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	tessfalcone	2015	267	4	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	asouljalykeme	2015	268	5	3	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	yungxtuna	2015	268	5	13	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	tone724	2015	269	6	6	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	tone724	2015	269	6	6	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	tone724	2015	269	6	6	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	hannah_mowod	2015	269	6	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	krisciesielka	2015	269	6	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	KadieCarrigan	2015	270	0	2	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	channing563	2015	270	0	5	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	kaittmorris	2015	270	0	15	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	zuni315	2015	270	0	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	zuni315	2015	270	0	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	hbswampy	2015	271	1	22	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	272	2	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	272	2	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	dj_two	2015	273	3	4	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	273	3	19	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	274	4	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	275	5	21	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	beefstu325	2015	65	5	2	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	emmapenrod	2014	187	0	1	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	theramirez21	2015	196	3	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	george_birman	2015	47	1	13	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	jbalinski	2015	68	1	0	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	smithwhitney	2014	82	0	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	stephenwildenyc	2014	100	4	17	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	marykleigerrr	2014	148	3	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	C_Treaddds	2014	157	5	17	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	Lysssaaa_xo	2014	180	0	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	DrDMBusch_DMDPA	2014	244	1	21	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	acideater	2014	319	6	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	WholeRen	2015	310	5	22	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	d7ooom184	2015	116	0	21	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	mattmetrovich	2015	117	1	0	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	mattmetrovich	2015	118	2	19	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	Joriiea	2015	257	1	18	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	WholeRen	2015	300	2	15	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	danny_pods	2015	87	6	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	Sdronez	2015	241	6	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	HaidyAlva	2015	251	2	0	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	theramirez21	2015	196	3	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	272	2	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	272	2	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	dj_two	2015	273	3	4	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	273	3	19	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	274	4	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	275	5	21	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	jennadiplacido	2015	277	0	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	mgamberdelli3	2015	278	1	2	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	daniellel33x0	2015	278	1	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	allerme	2015	282	5	13	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	ATSmithJr	2015	283	6	11	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	kajalpatel97	2015	283	6	21	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	dnywlsh	2015	76	2	12	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	dnywlsh	2015	76	2	12	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	zuni315	2015	270	0	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	zuni315	2015	270	0	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	hbswampy	2015	271	1	22	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	272	2	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	272	2	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	dj_two	2015	273	3	4	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	273	3	19	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	274	4	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	LegacyAvenue	2015	275	5	21	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	jennadiplacido	2015	277	0	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	mgamberdelli3	2015	278	1	2	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	daniellel33x0	2015	278	1	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	allerme	2015	282	5	13	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	ATSmithJr	2015	283	6	11	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	beefstu325	2015	65	5	2	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	emmapenrod	2014	187	0	1	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	DarylkMapson	2015	151	0	22	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	des_santo	2015	151	0	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	jenwarner2012	2014	323	3	8	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	TinaQuinnMarie	2014	185	5	16	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	danny_pods	2015	87	6	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	danny_pods	2015	87	6	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	d7ooom184	2015	116	0	21	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	mattmetrovich	2015	117	1	0	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	tessfalcone	2015	267	4	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	asouljalykeme	2015	268	5	3	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	yungxtuna	2015	268	5	13	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	tone724	2015	269	6	6	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	tone724	2015	269	6	6	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	tone724	2015	269	6	6	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	hannah_mowod	2015	269	6	20	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	krisciesielka	2015	269	6	23	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	KadieCarrigan	2015	270	0	2	0.000	Just posted a photo Pittsburgh, Pennsylvania
Pittsburgh, Pennsylvania_1	-79.9773	40.4414	channing563	2015	270	0	5	0.000	Just posted a photo Pittsburgh, Pennsylvania
