venue	lon	lat	user	year	doy	dow	hour	senti_val	txt
Parks & Recreation Dept	-79.9466	40.4349	ATSmithJr	2015	283	6	14	0.000	Just posted a photo Parks &amp; Recreation Dept
Allentown	-79.9950	40.4220	DJTMI	2014	40	0	20	0.000	Just posted a photo Allentown
Eddie Merlots	-80.0036	40.4412	davidbowlin	2014	176	3	19	0.000	Just posted a photo Eddie Merlots
Hampton Inn & Suites Pittsburgh Downtown	-79.9924	40.4470	TIMBARLAND691	2014	133	2	14	0.000	Just posted a photo Hampton Inn &amp; Suites Pittsburgh Downtown
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	obvi_g	2015	30	5	3	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	TresheaWade	2015	32	0	22	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	CelinaPompeani	2015	247	5	23	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	Chiusy	2015	307	2	13	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	CelinaPompeani	2015	247	5	23	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	obvi_g	2015	30	5	3	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	TresheaWade	2015	32	0	22	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	schtar	2015	143	6	20	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4416	CelinaPompeani	2015	247	5	23	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Carnegie Museum of Art and Natural History	-79.9498	40.4431	BryMiscoe	2014	136	5	21	0.217	Just posted a photo Carnegie Museum of Art and Natural History
Heniz Feild	-80.0166	40.4470	SamBarall	2015	263	0	22	0.000	Just posted a photo Heniz Feild
Nakama	-79.9820	40.4289	TannerGlaves	2014	165	6	19	0.000	Just posted a photo Nakama
The Yard Market Square	-80.0027	40.4413	_jordanmariemc	2015	284	0	20	0.000	Just posted a photo The Yard Market Square
Homewood u Smucc	-79.8932	40.4548	pgh1934	2015	246	4	23	0.000	Just posted a photo Homewood u Smucc
Showcase BBQ	-79.9060	40.4581	Bigblitzburgh	2015	242	0	2	0.000	Just posted a photo Showcase BBQ
Showcase BBQ	-79.9060	40.4581	Bigblitzburgh	2015	243	1	22	0.000	Just posted a photo Showcase BBQ
Showcase BBQ	-79.9060	40.4581	Bigblitzburgh	2015	242	0	2	0.000	Just posted a photo Showcase BBQ
Chatham University	-79.9235	40.4478	ArchBader_89	2015	306	1	0	0.000	Just posted a photo Chatham University
Arsenal Bowl	-79.9596	40.4711	churchjames	2015	201	1	0	0.000	Just posted a photo Arsenal Bowl
The Porch at Schenley	-79.9530	40.4429	AlexandruAleman	2015	277	0	20	0.000	Just posted a photo The Porch at Schenley
The Porch at Schenley	-79.9530	40.4429	AlexandruAleman	2015	277	0	20	0.000	Just posted a photo The Porch at Schenley
The Porch at Schenley	-79.9530	40.4429	AlexandruAleman	2015	277	0	20	0.000	Just posted a photo The Porch at Schenley
The Porch at Schenley	-79.9530	40.4429	AlexandruAleman	2015	277	0	20	0.000	Just posted a photo The Porch at Schenley
grandmas house, Pgh	-80.0031	40.3606	theChrisMalloy	2014	360	5	2	0.000	Just posted a photo grandmas house, Pgh
grandmas house, Pgh	-80.0031	40.3606	theChrisMalloy	2014	360	5	2	0.000	Just posted a photo grandmas house, Pgh
grandmas house, Pgh	-80.0031	40.3606	theChrisMalloy	2014	360	5	2	0.000	Just posted a photo grandmas house, Pgh
grandmas house, Pgh	-80.0031	40.3606	theChrisMalloy	2014	360	5	2	0.000	Just posted a photo grandmas house, Pgh
