venue	lon	lat	senti	txt
Pittsburgh International Children's Festival	-79.9519	40.4426	0.348	Just posted a photo Pittsburgh International Children's Festival
Lost Kennywood	-79.8673	40.3888	-0.365	Just posted a photo Lost Kennywood
Vance Joy -Riptide	-80.0244	40.4557	0.432	Just posted a photo Vance Joy -Riptide
Lazy Town	-80.0396	40.3886	-0.385	Just posted a photo Lazy Town
TGI Friday's - Consol Energy	-79.9901	40.4389	0.259	Just posted a photo TGI Friday's - Consol Energy
Arcade Comedy Theater	-79.9985	40.4428	0.333	Just posted a photo Arcade Comedy Theater
Liberty Ave	-79.9967	40.4431	0.459	Just posted a photo Liberty Ave.
Bicycle Heaven	-80.0321	40.4562	0.452	Just posted a photo Bicycle Heaven
Liberty & 25th Ave	-79.9788	40.4537	0.362	Just posted a photo Liberty &amp; 25th Ave
My Comfort Zone My Bed	-80.0140	40.3996	0.263	Just posted a photo My Comfort Zone My Bed
Home_2	-80.0013	40.4560	0.365	Just posted a photo Home :-)
