,cluster14,,,cluster15,,,cluster18,,,cluster27,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
131,2,1.232,1,0,4,1.115,1,0,2,1.534,1,0,0,0.000,0,0
132,0,0.000,0,0,4,-1.222,0,0,1,-0.142,0,0,0,0.000,0,0
133,0,0.000,0,0,4,-1.695,0,0,1,0.834,0,0,0,0.000,0,0
134,3,-1.790,1,1,1,-0.142,0,0,1,-0.142,0,0,0,0.000,0,0
135,4,1.888,1,0,4,-1.506,0,0,2,-0.284,0,0,0,0.000,0,0
136,1,-0.142,0,0,1,-0.480,0,0,0,0.000,0,0,0,0.000,0,0
137,5,5.240,4,1,3,-1.424,0,0,2,0.887,0,0,0,0.000,0,0
138,3,-0.884,0,1,9,-2.229,0,0,2,-0.284,0,0,0,0.000,0,0
139,3,0.298,0,0,1,-0.128,0,0,2,-0.284,0,0,0,0.000,0,0
140,2,-0.796,0,0,9,-2.162,0,0,0,0.000,0,0,0,0.000,0,0
141,1,-0.142,0,0,11,-2.388,0,0,5,0.138,0,0,1,-1.513,0,1
142,6,1.062,1,0,8,-0.723,0,0,3,1.452,0,0,0,0.000,0,0
143,8,2.844,2,0,5,0.705,0,0,4,1.698,1,0,1,-0.025,0,0
144,7,3.849,3,0,12,-1.821,0,0,5,-0.288,0,0,1,0.511,0,0
145,11,3.351,3,1,10,-1.895,0,0,10,3.380,1,0,0,0.000,0,0
146,3,-0.426,0,0,9,-2.439,0,0,2,-0.284,0,0,0,0.000,0,0
147,4,-2.362,0,1,0,0.000,0,0,1,-0.142,0,0,0,0.000,0,0
148,0,0.000,0,0,5,-1.709,0,0,1,-0.142,0,0,0,0.000,0,0
149,2,0.298,0,0,3,-0.331,0,0,0,0.000,0,0,0,0.000,0,0
150,3,-1.453,0,1,1,0.287,0,0,1,1.381,1,0,0,0.000,0,0
151,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0.000,0,0
152,10,0.323,1,1,12,-3.446,1,0,3,0.586,0,0,2,-1.999,0,1
153,4,0.333,1,1,8,-3.251,0,0,3,-1.183,0,0,0,0.000,0,0
154,8,5.656,3,0,11,-4.806,0,0,2,-0.284,0,0,0,0.000,0,0
155,6,-0.945,0,1,8,-1.588,0,0,10,3.449,3,0,0,0.000,0,0
156,8,2.634,2,1,11,-1.756,1,0,4,2.294,1,0,0,0.000,0,0
157,8,-1.013,1,1,19,0.818,1,0,5,2.628,2,0,0,0.000,0,0
158,6,0.003,2,1,16,-1.284,0,0,5,-3.368,0,1,0,0.000,0,0
