,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
34,75,-9.163,3.871,7.000,16,3.771,4.000,1.000,5,-0.059,0.001,0.050,8,1.437,2.000,2.000,5,0.043,1.000,0.000,12,-0.000,0.000,0.000,9,3.802,3.000,1.000,3,1.743,1.000,0.000
35,147,-8.745,5.000,3.368,34,0.994,3.000,3.420,24,-4.796,0.050,1.000,11,-2.253,0.000,0.000,10,-3.176,2.000,2.000,14,0.607,0.000,0.000,14,-1.346,1.002,1.004,5,-2.248,0.000,1.000
36,250,-9.391,15.382,16.154,87,6.543,10.106,5.050,37,3.083,5.136,1.000,33,-4.204,3.050,4.000,12,3.656,4.000,0.000,28,-3.326,2.000,4.000,30,-2.079,1.012,1.000,13,2.590,1.100,1.000
37,264,-6.416,11.687,9.163,141,1.490,17.321,15.522,36,5.153,5.118,1.368,60,2.572,5.256,3.436,29,-0.491,1.001,1.000,38,0.355,2.000,1.000,22,-4.950,2.368,5.004,16,0.099,1.050,0.000
38,303,-6.072,16.291,17.053,206,2.174,16.893,13.141,58,3.910,8.014,6.000,76,4.603,7.209,3.071,32,5.666,4.000,1.135,46,5.150,3.000,0.000,29,0.278,2.368,1.000,16,5.517,3.000,0.000
39,326,4.072,21.005,16.256,226,-14.835,17.856,24.068,75,-0.106,3.418,5.369,81,13.259,9.023,1.185,38,0.173,1.000,1.000,59,8.304,9.135,4.368,37,-0.099,5.000,3.549,22,1.459,1.000,0.000
40,347,7.390,22.423,12.522,264,-12.248,15.438,23.115,61,3.136,4.100,2.503,73,-5.991,5.207,5.001,63,5.869,4.871,3.000,38,4.619,4.000,0.000,39,2.962,3.142,3.000,34,11.782,8.774,1.135
41,350,14.143,21.851,11.343,327,1.223,26.964,20.010,91,8.850,7.037,2.136,80,2.687,11.745,7.000,49,1.425,5.018,5.000,47,-0.236,2.000,1.000,34,1.750,3.135,1.074,37,0.221,4.418,3.000
42,310,-16.510,16.172,10.394,269,13.042,23.111,14.393,125,12.938,8.375,4.104,94,2.317,6.373,4.368,48,7.785,5.000,2.368,46,5.368,4.000,0.000,33,-3.409,2.018,3.549,29,-3.416,2.000,1.368
43,351,-0.307,18.349,14.224,294,7.979,25.494,17.190,88,-4.061,4.038,4.019,85,-11.366,2.051,4.639,53,-2.948,4.018,5.000,58,1.042,3.000,2.000,51,-7.191,4.386,8.004,22,-1.392,1.000,1.000
44,313,3.223,15.389,12.513,270,5.581,25.176,21.159,90,2.688,9.782,6.000,60,4.952,4.370,4.368,67,4.307,8.503,4.000,43,5.070,5.135,4.000,50,-1.901,5.000,4.004,30,5.726,4.135,2.000
45,301,8.240,21.523,14.058,273,6.181,23.633,16.905,124,8.842,12.386,4.009,75,-0.521,4.274,4.019,78,8.071,10.418,3.000,57,3.940,7.000,3.000,46,13.518,9.000,1.004,55,0.834,5.135,2.025
46,273,17.295,20.105,8.424,287,5.634,18.241,15.105,98,13.905,11.277,4.136,96,4.664,15.375,8.553,140,28.541,19.601,2.000,53,5.013,5.000,2.000,61,-2.731,3.000,5.004,33,5.722,4.000,0.405
47,289,-3.729,22.154,16.260,264,-9.299,18.766,19.003,152,29.636,23.763,6.018,163,24.454,23.007,7.908,187,28.367,26.375,8.000,53,6.880,8.000,1.000,86,-10.882,5.000,8.553,31,4.337,4.135,1.368
48,271,4.475,13.142,6.100,326,15.200,28.199,16.882,159,15.572,18.738,5.138,182,25.017,21.328,6.647,147,-9.002,9.510,7.639,77,-0.819,3.000,3.000,65,6.266,8.368,4.004,32,-0.905,1.018,1.000
49,308,2.889,13.769,8.001,326,20.581,27.791,12.420,179,4.302,11.506,9.372,178,-14.246,17.612,23.006,121,8.389,14.000,8.000,77,-4.835,6.104,7.000,65,0.902,10.375,6.000,19,8.311,5.000,1.000
50,338,-0.840,6.635,4.516,366,6.061,31.446,21.059,152,-8.219,5.138,10.014,161,13.833,21.882,11.745,100,5.955,7.472,6.000,57,7.950,8.000,2.000,85,-0.869,10.871,9.037,27,3.565,3.000,2.018
51,233,-16.631,3.334,8.419,299,-7.227,16.685,12.410,158,15.767,11.029,3.102,129,-0.549,8.757,9.695,41,7.851,5.000,0.000,46,0.954,5.000,3.000,56,-2.033,2.386,0.553,19,-8.199,2.000,7.000
52,206,-8.882,5.590,10.007,272,-9.520,18.293,21.543,116,8.130,4.136,3.015,103,15.717,10.630,2.737,31,10.010,6.000,0.000,18,3.003,3.000,0.000,33,0.082,0.000,0.004,13,0.292,2.135,1.000
53,137,-6.190,3.505,3.425,202,-9.393,7.517,12.068,65,-0.102,5.506,2.885,86,4.673,5.471,1.298,15,0.749,0.000,0.000,9,-0.443,0.000,0.000,14,-3.127,0.001,1.000,6,-1.424,0.000,1.000
54,85,-6.239,1.000,1.368,98,-11.608,3.137,10.745,48,-4.563,3.736,5.000,43,0.116,2.000,1.271,10,-0.398,0.000,0.149,2,-0.000,0.000,0.000,15,2.793,1.003,0.000,1,1.218,1.000,0.000
55,70,-6.816,2.000,3.000,57,-3.639,0.386,2.000,23,0.037,0.002,0.018,30,-0.511,1.003,1.000,7,1.015,0.135,0.000,1,1.094,1.000,0.000,5,-0.201,0.000,0.000,3,1.939,1.000,0.000
