,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
24,149,-3.607,11.046,9.553,202,-13.981,12.634,20.188,93,8.293,11.418,5.000,69,4.587,5.405,2.369,11,-1.551,1.000,1.000,8,0.967,1.368,1.000,27,-1.088,5.007,3.000,10,-1.026,0.000,1.000
25,131,8.912,10.510,4.368,193,5.502,13.034,6.235,115,6.353,17.423,7.050,64,-11.215,4.100,10.185,8,-4.251,0.000,1.000,4,-0.478,0.000,0.000,34,6.293,3.369,1.751,12,1.909,2.000,1.000
26,144,-13.793,13.429,17.149,228,14.638,18.777,8.046,95,-17.172,5.204,13.075,81,-6.679,5.147,5.739,7,2.698,1.000,0.000,3,-0.194,0.000,0.000,42,-5.948,1.000,3.203,10,1.294,2.000,0.368
27,147,0.672,7.490,4.739,248,-21.118,10.054,19.422,106,0.525,7.496,7.481,228,9.014,26.416,17.021,7,1.022,0.369,0.000,1,-0.249,0.000,0.000,32,2.256,2.001,1.000,5,-1.527,0.000,1.000
28,155,-14.727,6.376,9.003,230,4.496,20.535,18.418,89,-2.101,6.009,7.007,150,14.362,21.126,10.511,8,-3.835,0.000,1.000,7,-1.006,0.000,0.000,33,-4.106,2.000,2.004,8,-1.706,0.000,1.368
29,125,-1.709,5.641,3.206,244,-5.585,18.887,14.913,105,3.514,4.050,1.154,82,-5.852,5.138,6.503,15,-0.340,1.000,0.000,5,-1.879,1.000,1.000,45,-7.785,2.436,5.206,4,2.227,2.000,0.000
30,175,-9.980,9.475,13.003,240,-11.428,18.485,14.398,84,8.350,8.368,2.779,75,-0.190,3.135,3.505,13,3.989,2.000,0.000,7,-2.103,0.000,1.368,11,-2.462,0.055,1.004,17,-2.433,0.000,1.000
31,120,-12.480,2.001,6.368,237,10.045,21.401,11.518,87,3.439,4.013,5.001,86,2.378,6.089,4.879,10,3.362,2.000,0.135,14,-0.245,1.000,2.000,50,4.721,7.425,1.000,32,8.786,6.050,2.000
32,114,5.209,8.381,5.057,201,9.771,14.525,8.356,133,19.872,21.057,9.185,81,9.591,12.527,5.001,8,-0.465,0.001,1.000,6,-0.194,0.000,0.000,47,-4.740,4.003,6.000,31,5.859,2.736,1.000
33,142,-14.645,5.106,9.006,348,1.107,34.738,28.690,127,3.487,12.740,8.026,86,-3.130,7.574,7.071,17,-2.024,1.736,2.104,12,5.472,2.000,0.000,44,-3.685,3.018,3.000,11,4.810,4.000,0.368
