,cluster0,,,,cluster2,,,,cluster4,,,,cluster9,,,,cluster6,,,,cluster1,,,,cluster3,,,,cluster7,,,,cluster22,,,,cluster5,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
30,109,21.632,5.376,3.002,28,12.087,3.000,3.000,12,0.287,0.000,0.000,5,0.142,0.000,0.000,9,2.856,0.001,1.000,93,31.997,5.375,4.057,33,7.564,0.039,4.271,2,0.284,0.000,0.000,1,0.142,0.000,0.000,4,2.332,1.000,0.000
31,96,30.720,6.007,2.000,8,4.493,1.000,1.000,8,0.578,0.000,0.000,3,0.062,0.018,0.000,15,5.519,1.386,2.000,52,13.865,4.368,1.792,28,11.592,2.100,2.368,0,0.000,0.000,0.000,0,0.000,0.000,0.000,3,0.142,0.000,0.000
32,65,10.555,0.000,1.000,15,1.293,0.000,0.000,2,0.000,0.000,0.000,1,0.142,0.000,0.000,4,2.696,1.000,1.000,22,7.394,2.013,1.050,12,7.879,3.000,0.002,1,1.864,1.000,0.000,2,0.282,0.000,0.000,5,0.000,0.000,0.000
33,57,15.662,0.000,2.018,15,5.003,2.000,0.000,1,0.000,0.000,0.000,4,0.760,0.000,0.000,6,5.248,3.000,0.000,12,5.199,1.000,0.000,10,4.285,0.000,1.000,1,0.142,0.000,0.000,3,1.041,0.000,0.000,3,0.000,0.000,0.000
34,75,29.971,3.871,7.000,5,0.061,0.001,0.050,5,2.003,1.000,0.000,1,0.142,0.000,0.000,9,7.276,3.000,1.000,16,7.629,4.000,1.000,8,7.495,2.000,2.000,3,2.311,1.000,0.000,0,0.000,0.000,0.000,12,0.000,0.000,0.000
35,147,37.872,5.000,3.368,24,8.558,0.050,1.000,10,9.268,2.000,2.000,1,0.142,0.000,0.000,14,3.396,1.002,1.004,34,15.420,3.000,3.420,11,3.482,0.000,0.000,5,2.496,0.000,1.000,2,0.422,0.000,0.000,14,1.175,0.000,0.000
36,250,95.718,15.382,16.154,37,16.122,5.136,1.000,12,5.908,4.000,0.000,8,1.129,0.000,0.000,30,7.345,1.012,1.000,87,39.813,10.106,5.050,33,21.001,3.050,4.000,13,7.868,1.100,1.000,7,1.102,0.000,0.000,28,12.762,2.000,4.000
37,264,76.174,11.687,9.163,36,14.495,5.118,1.368,29,7.417,1.001,1.000,10,1.544,0.000,0.000,22,14.429,2.368,5.004,141,72.164,17.321,15.522,60,21.733,5.256,3.436,16,5.563,1.050,0.000,8,5.791,2.000,0.000,38,9.239,2.000,1.000
38,303,97.304,16.291,17.053,58,32.329,8.014,6.000,32,9.723,4.000,1.135,14,6.734,1.000,1.000,29,11.052,2.368,1.000,206,82.774,16.893,13.141,76,34.033,7.209,3.071,16,6.475,3.000,0.000,4,1.130,0.185,0.000,46,8.572,3.000,0.000
39,326,107.389,21.005,16.256,75,26.285,3.418,5.369,38,13.033,1.000,1.000,10,3.908,1.000,0.000,37,20.376,5.000,3.549,226,101.530,17.856,24.068,81,33.262,9.023,1.185,22,8.953,1.000,0.000,6,2.553,1.000,0.000,59,27.826,9.135,4.368
40,347,117.106,22.423,12.522,61,19.965,4.100,2.503,63,28.268,4.871,3.000,17,8.852,2.000,2.000,39,18.632,3.142,3.000,264,99.869,15.438,23.115,73,28.886,5.207,5.001,34,23.080,8.774,1.135,5,2.262,0.000,0.000,38,9.917,4.000,0.000
41,350,113.393,21.851,11.343,91,28.813,7.037,2.136,49,23.250,5.018,5.000,19,10.143,3.018,1.000,34,11.431,3.135,1.074,327,133.492,26.964,20.010,80,42.171,11.745,7.000,37,17.565,4.418,3.000,8,3.264,1.000,0.000,47,9.886,2.000,1.000
42,310,94.123,16.172,10.394,125,41.651,8.375,4.104,48,19.005,5.000,2.368,18,5.748,1.000,1.000,33,16.406,2.018,3.549,269,106.816,23.111,14.393,94,32.857,6.373,4.368,29,10.692,2.000,1.368,11,1.985,0.000,0.000,46,10.708,4.000,0.000
43,351,117.896,18.349,14.224,88,30.607,4.038,4.019,53,23.570,4.018,5.000,27,11.265,4.000,1.639,51,24.504,4.386,8.004,294,127.902,25.494,17.190,85,24.486,2.051,4.639,22,5.908,1.000,1.000,9,4.058,0.000,0.000,58,12.400,3.000,2.000
44,313,103.990,15.389,12.513,90,40.450,9.782,6.000,67,29.759,8.503,4.000,26,8.672,1.000,2.000,50,24.105,5.000,4.004,270,112.842,25.176,21.159,60,25.251,4.370,4.368,30,15.020,4.135,2.000,10,3.514,1.000,0.000,43,17.878,5.135,4.000
45,301,115.153,21.523,14.058,124,43.057,12.386,4.009,78,30.513,10.418,3.000,27,17.493,4.135,3.000,46,27.042,9.000,1.004,273,107.603,23.633,16.905,75,27.342,4.274,4.019,55,21.180,5.135,2.025,8,2.227,0.000,0.000,57,24.258,7.000,3.000
46,273,90.212,20.105,8.424,98,42.306,11.277,4.136,140,60.266,19.601,2.000,40,17.706,4.005,1.018,61,24.431,3.000,5.004,287,103.644,18.241,15.105,96,54.992,15.375,8.553,33,11.175,4.000,0.405,7,2.787,0.000,0.002,53,16.581,5.000,2.000
47,289,103.072,22.154,16.260,152,67.006,23.763,6.018,187,86.711,26.375,8.000,44,23.835,6.381,4.386,86,41.503,5.000,8.553,264,99.869,18.766,19.003,163,79.334,23.007,7.908,31,15.061,4.135,1.368,10,6.757,1.135,2.000,53,17.334,8.000,1.000
48,271,62.368,13.142,6.100,159,59.312,18.738,5.138,147,50.603,9.510,7.639,56,13.607,3.368,3.368,65,31.873,8.368,4.004,326,119.281,28.199,16.882,182,86.788,21.328,6.647,32,8.999,1.018,1.000,9,6.604,1.000,2.000,77,21.645,3.000,3.000
49,308,65.846,13.769,8.001,179,58.488,11.506,9.372,121,57.792,14.000,8.000,49,20.954,5.271,3.019,65,38.544,10.375,6.000,326,121.649,27.791,12.420,178,87.822,17.612,23.006,19,13.320,5.000,1.000,10,7.617,1.418,2.000,77,31.677,6.104,7.000
50,338,55.720,6.635,4.516,152,42.134,5.138,10.014,100,34.876,7.472,6.000,43,13.019,3.135,3.000,85,43.876,10.871,9.037,366,131.738,31.446,21.059,161,74.973,21.882,11.745,27,11.535,3.000,2.018,9,3.050,0.000,1.000,57,21.124,8.000,2.000
51,233,49.152,3.334,8.419,158,46.966,11.029,3.102,41,11.849,5.000,0.000,24,4.624,0.018,0.000,56,13.719,2.386,0.553,299,80.564,16.685,12.410,129,49.829,8.757,9.695,19,16.297,2.000,7.000,9,4.867,2.418,0.000,46,22.004,5.000,3.000
52,206,45.064,5.590,10.007,116,28.781,4.136,3.015,31,14.208,6.000,0.000,14,3.064,1.000,0.000,33,5.832,0.000,0.004,272,100.615,18.293,21.543,103,42.294,10.630,2.737,13,6.687,2.135,1.000,4,1.470,0.000,0.002,18,8.927,3.000,0.000
53,137,27.486,3.505,3.425,65,19.731,5.506,2.885,15,0.988,0.000,0.000,7,2.272,1.000,0.000,14,4.740,0.001,1.000,202,64.150,7.517,12.068,86,20.921,5.471,1.298,6,3.284,0.000,1.000,1,0.142,0.000,0.000,9,1.497,0.000,0.000
54,85,13.431,1.000,1.368,48,16.478,3.736,5.000,10,0.398,0.000,0.149,8,1.640,0.000,0.000,15,5.939,1.003,0.000,98,35.789,3.137,10.745,43,11.533,2.000,1.271,1,1.218,1.000,0.000,4,1.891,0.271,0.000,2,0.000,0.000,0.000
55,70,14.201,2.000,3.000,23,0.943,0.002,0.018,7,1.028,0.135,0.000,3,1.059,0.018,0.000,5,0.201,0.000,0.000,57,12.649,0.386,2.000,30,7.565,1.003,1.000,3,2.223,1.000,0.000,1,0.561,0.000,0.000,1,1.094,1.000,0.000
56,68,16.895,0.000,3.000,13,2.810,0.000,1.018,8,0.204,0.000,0.050,2,0.508,0.000,0.000,5,2.644,1.018,0.000,32,5.165,0.000,0.503,8,1.250,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,8,0.000,0.000,0.000
57,38,5.917,0.000,0.000,10,0.838,0.000,0.000,5,0.284,0.000,0.000,1,0.841,0.000,0.000,3,0.793,0.135,0.000,24,13.730,2.000,3.368,10,2.091,1.000,0.000,1,0.353,0.000,0.000,1,0.142,0.000,0.000,4,0.000,0.000,0.000
58,68,17.199,2.000,2.000,14,5.217,1.000,0.000,3,0.142,0.000,0.000,2,1.094,1.000,0.000,10,4.889,2.368,0.000,18,5.335,1.000,0.000,7,2.352,0.000,0.000,0,0.000,0.000,0.000,2,0.142,0.000,0.000,20,0.540,0.000,0.000
59,151,50.515,8.443,7.103,30,8.402,1.000,2.118,9,4.570,0.000,2.000,6,1.668,0.000,1.018,18,11.006,2.889,1.202,51,24.134,2.406,6.203,17,15.211,3.104,5.002,6,2.712,1.000,0.000,3,1.168,0.000,0.000,18,1.665,1.000,0.000
60,253,81.728,14.643,8.063,44,13.429,2.008,1.135,21,3.357,0.503,0.000,11,3.761,1.000,0.018,21,8.299,1.000,2.004,89,38.208,4.504,9.188,36,16.618,5.050,2.368,14,7.585,2.000,0.000,11,3.017,0.368,0.000,20,2.141,1.000,0.000
61,301,96.832,16.299,11.392,56,14.188,2.007,1.736,16,6.299,1.000,1.000,7,2.753,0.135,1.000,31,20.892,5.008,2.202,153,60.267,10.434,8.053,68,15.780,1.009,4.000,16,4.890,2.000,0.000,10,3.161,0.000,0.000,34,7.298,2.000,2.000
62,332,115.597,27.438,11.426,59,22.764,7.368,2.908,22,7.447,1.000,1.000,8,2.469,0.000,0.135,39,20.943,5.370,4.000,236,108.766,21.698,12.558,84,39.069,9.611,3.418,21,13.224,5.000,1.000,10,4.396,1.185,0.000,43,9.034,3.000,1.368
63,373,124.417,26.182,13.288,74,20.129,5.156,3.055,54,13.895,4.000,1.000,17,4.529,1.037,1.000,42,17.145,5.000,2.001,263,126.870,27.642,27.873,86,32.767,7.664,5.922,21,9.950,3.050,1.000,7,3.294,0.368,1.000,55,8.669,1.736,1.000
64,376,132.613,27.897,13.090,102,38.801,9.738,2.154,30,10.306,1.368,3.000,15,9.369,2.135,3.000,48,15.219,0.368,2.206,264,108.339,17.759,19.464,85,27.103,7.066,3.022,41,15.562,3.368,1.007,15,6.085,3.000,0.000,44,11.196,5.000,0.368
65,360,135.449,27.942,19.058,105,37.101,10.641,3.050,22,6.498,2.000,0.000,23,5.852,2.000,0.000,38,12.253,4.271,1.055,285,107.926,21.391,21.141,87,25.666,4.757,3.508,47,29.179,9.050,3.000,6,4.856,1.000,0.000,42,8.527,2.000,0.135
66,348,121.315,20.518,21.366,89,22.996,3.890,5.000,34,10.610,2.000,1.000,21,6.516,0.000,1.000,32,11.090,2.000,1.000,290,125.224,24.578,21.518,86,45.531,9.135,9.000,38,15.734,4.467,0.000,8,2.963,0.050,0.000,35,8.379,1.368,0.000
67,363,111.764,24.902,12.822,107,35.841,8.664,2.071,59,16.674,7.000,0.000,27,7.255,0.050,1.000,44,22.242,4.000,5.000,274,93.165,18.120,14.760,80,29.352,5.738,4.872,22,8.503,1.000,2.368,11,3.581,0.000,1.368,49,9.029,3.000,1.135
68,354,115.056,21.739,8.305,114,31.581,8.640,6.001,42,15.580,4.472,3.368,34,12.594,1.000,3.375,56,20.395,5.001,2.027,296,120.961,16.775,26.484,80,32.913,8.160,5.002,27,8.746,3.000,0.007,11,4.091,2.368,0.000,49,9.341,0.368,2.135
69,346,129.400,22.406,16.024,137,48.444,11.610,8.368,60,24.602,6.368,0.000,44,15.087,3.368,0.786,52,20.648,5.032,0.000,275,96.848,20.150,17.387,113,43.936,13.393,4.698,39,13.224,4.000,1.000,13,9.687,3.135,0.000,58,14.234,3.000,1.000
70,284,101.456,21.786,12.661,161,57.854,14.553,8.340,135,43.911,13.386,3.000,48,11.733,1.000,3.013,45,21.343,4.368,4.623,270,109.845,29.482,15.498,161,76.780,18.753,7.745,35,19.913,5.185,3.000,7,0.767,0.000,0.000,48,19.703,4.000,6.135
